name01#0,"""Хильда"""
cu_090010_0200#0,"""Подтверждаю множество<br>врагов поблизости.<br>Старайтесь избегать<br>вражеских атак."""
text00#0,"""Уклонение"""
text100#0,"""Для уклонения нажмите дважды на кнопку перемещения!"""
text101#0,"""Используйте <%Avoid> для уклонения!"""
text1000#0,"""Для уклонения нажмите дважды на кнопку перемещения!"""
text1001#0,"""Используйте <%Avoid> для уклонения!"""
text201#0,"""Уклоняйтесь от атак!"""
text202#0,"""Уклоняйтесь от атак!"""
text203#0,"""Уклонение: нажмите дважды на кнопку перемещения"""
text204#0,"""Уклонение: <%Avoid>"""
text205#0,"""Уклонение: <%LStick>＋<%Avoid>"""
