name01#0,"""Хильда"""
cu_090010_0070#0,"""Хорошо.<br>Теперь давайте разберёмся<br>как атаковать."""
cu_090010_0080#0,"""Выполняем перенос<br>имитационных целей.<br>Атакуйте их своим оружием."""
text00#0,"""Обычные атаки"""
text100#0,"""Используйте обычную атаку с помощью <%NormalAttack>!"""
text1000#0,"""Используйте обычную атаку с помощью <%NormalAttack>!"""
text201#0,"""Уничтожьте имитационные цели с помощью обычных атак!"""
text202#0,"""Уничтожьте имитационные цели с помощью обычных атак!"""
text203#0,"""Обычная атака: <%NormalAttack><br>※Зажмите или нажмите несколько<br>раз для непрерывных атак"""
text204#0,"""Обычная атака: <%NormalAttack><br>※Зажмите или нажмите несколько<br>раз для непрерывных атак"""
text205#0,"""Обычная атака: <%NormalAttack><br>※Зажмите, чтобы зарядить атаку"""
