name01#0,"""Хильда"""
cu_090010_0140#0,"""Переносим имитационные цели.<br>Уничтожьте их всех."""
text00#0,"""Фотон Арты"""
text10#0,"""Техники"""
text100#0,"""Чтобы использовать Фотон Арт, нажмите<%PhotonArts>!"""
text101#0,"""Чтобы использовать технику, нажмите<%PhotonArts>!"""
text1000#0,"""Чтобы использовать Фотон Арт, нажмите<%PhotonArts>!"""
text1001#0,"""Чтобы использовать технику, нажмите<%PhotonArts>!"""
text201#0,"""Уничтожьте все цели с помощью Фотон Артов!"""
text202#0,"""Уничтожьте все цели с помощью техник!"""
text203#0,"""Использовать ФА:<%PhotonArts>"""
text204#0,"""Использовать технику:<%PhotonArts><br>※Удерживайте для зарядки<br>Отпускайте для использования"""
text205#0,"""Уничтожьте все цели, командуя своим питомцем чтобы использовать ФА!"""
text206#0,"""Использовать ФА:<%PhotonArts>"""
