name01#0,"""Хильда"""
cu_090010_0030#0,"""Хорошо.<br>С этим проблем нет."""
cu_090010_0040#0,"""Далее мы научимся двигаться.<br>Дойдите до указанного места."""
cu_090010_0030#1,"""Хорошо.<br>С этим проблем нет."""
cu_090010_0040#1,"""Далее мы научимся двигаться.<br>Дойдите до указанного места."""
text101#0,"""Используйте <%LStick>, чтобы дойти до назначенного места!"""
text1000#0,"""Двигайтесь, используя <%MoveForward><%MoveBack><%MoveLeft><%MoveRight>"""
text1001#0,"""Двигайтесь, используя <%LStick>!"""
text201#0,"""Дойдите до указанного места!"""
text202#0,"""Дойдите до указанного места!"""
text203#0,"""Вперёд: <%MoveForward><br>Назад: <%MoveBack><br>Влево:<%MoveLeft><br>Вправо:<%MoveRight>"""
text204#0,"""Для движения персонажа: <%LStick>"""
text205#0,"""Перемещение"""
