name01#0,"""Хильда"""
text10#0,"""Теперь давайте разберёмся<br>как восстанавливать свои HP."""
text11#0,"""Теперь давайте разберёмся<br>как восстанавливать свои HP.<br>Вас временно ослабят."""
text00#0,"""Восстановление"""
text100#0,"""Восстановите свои HP с помощью Monomate!"""
text1000#0,"""Используйте Monomate с помощью <%SubPalette1>, чтобы восстановить свои HP!"""
text1001#0,"""Используйте Monomate с помощью <%SubPalette1>, чтобы восстановить свои HP!"""
text201#0,"""Используйте Monomate (восстанавливающее лекарство) из подпалитры, чтобы восстановить свои HP!"""
text202#0,"""Используйте Monomate (восстанавливающее лекарство) из подпалитры, чтобы восстановить свои HP!"""
text203#0,"""Иконка активации подпалитры:<%SubPalette1>"""
text204#0,"""Иконка выбора подпалитры:<%SubPaletteLeft>、<%SubPaletteRight><br>Иконка активации подпалитры:<%SubPalette>"""
text205#0,"""Иконка активации подпалитры:<br>アイコンをタッチ"""
