name01#0,"""Хильда"""
cu_090010_0120#0,"""Теперь давайте разберёмся<br>как использовать ФА.<br>Переносим имитационные цели."""
cu_090010_0130#0,"""Теперь давайте разберёмся <br>как использовать техники.<br>Переносим имитационные цели."""
text00#0,"""Фотон Арты"""
text10#0,"""Техники"""
text100#0,"""Чтобы использовать Фотон Арт, нажмите<%PhotonArts>!"""
text101#0,"""Чтобы использовать технику, нажмите<%PhotonArts>!"""
text1000#0,"""Чтобы использовать Фотон Арт, нажмите<%PhotonArts>!"""
text1001#0,"""Чтобы использовать технику, нажмите<%PhotonArts>!"""
text201#0,"""Уничтожьте все цели с помощью Фотон Артов (особых движений)!"""
text202#0,"""Уничтожьте все цели с помощью техник (заклинаний)!"""
text203#0,"""Использовать ФА:<%PhotonArts><br>Переключение на обратную палитру:<%WeaponAction_2>"""
text204#0,"""Использовать технику:<%PhotonArts><br>Переключение на обратную палитру:<%WeaponAction_2><br>※Удерживайте для зарядки<br>Отпускайте для использования"""
text205#0,"""Уничтожьте все цели с помощью Фотон Артов (особых движений)!"""
text206#0,"""Использовать ФА:<%PhotonArts><br>※РР нужны для использования ФА<br>※Попадание во врагов восполняет РР"""
text207#0,"""Использовать ФА:<%PhotonArts><br>Переключение на обратную палитру:<%WeaponAction>"""
text208#0,"""Использовать ФА:<%PhotonArts><br>Переключение на обратную палитру:<%WeaponAction_2><br>※Удерживайте для зарядки<br>Отпускайте для использования"""
text209#0,"""Использовать ФА:<%PhotonArts><br>Переключение на обратную палитру:<%WeaponAction><br>※Удерживайте для зарядки<br>Отпускайте для использования"""
text210#0,"""Использовать технику:<%PhotonArts><br>Переключение на обратную палитру:<%WeaponAction><br>※Удерживайте для зарядки<br>Отпускайте для использования"""
