name01#0,"""Зено"""
name02#0,"""Афин"""
name03#0,"""Эко"""
skit01#0,"""/ci1 2 Ч-что это такое!<br>Разве можно победить такую<br>громадину..."""
cu_090020_0090#0,"""Зено! Я подготовлю телепайп<br>для возвращения, так что<br>сначала одолейте большого<br>даркера!"""
skit03#0,"""/ci1 2 Принял, Эко. Я разберусь с этим<br>с помощью фотон бласта.<br>Новобранцы, выиграйте мне<br>время!"""
skit04#0,"""/ci1 2 Не пытайтесь победить.<br>Думайте в первую очередь<br>о выживании."""
skit01#1,"""Ч-что это такое!<br>Разве можно победить такую<br>громадину..."""
cu_090020_0090#1,"""Зено! Я подготовлю телепайп<br>для возвращения, так что<br>сначала одолейте большого<br>даркера!"""
skit03#1,"""Принял, Эко. Я разберусь с этим<br>с помощью фотон бласта.<br>Новобранцы, выиграйте мне<br>время!"""
skit04#1,"""Не пытайтесь победить.<br>Думайте в первую очередь<br>о выживании."""
