name01#0,"""Хильда"""
cu_090010_0010#0,"""На связи оператор Хильда.<br>Ваш последний экзамен<br>начинается прямо сейчас."""
cu_090010_0020#0,"""Для начала,<br>проверим зону видимости.<br>Оглянитесь вокруг."""
skit03#0,"""А теперь, пройдите в указанное<br>место. Не спешите."""
text00#0,"""Желаете ли вы пройти обучение?"""
text01#0,"""Начать"""
text02#0,"""Пропустить"""
cu_090010_0010#1,"""На связи оператор Хильда.<br>Ваш последний экзамен<br>начинается прямо сейчас."""
cu_090010_0020#1,"""Для начала,<br>проверим зону видимости.<br>Оглянитесь вокруг."""
text201#0,"""Управляя камерой, осмотритесь!"""
text202#0,"""Управляя камерой, осмотритесь!"""
text203#0,"""Смена угла камеры: Двигайте мышь<br>※Чуствительность можно изменить<br>в меню настроек главного меню."""
text204#0,"""Смена угла камеры:<%RStick><br>※Чуствительность можно изменить<br>в меню настроек<br>главного меню <%MainMenu>."""
text205#0,"""Смена угла камеры: Двигайте мышь<br>※Чуствительность можно изменить<br>в меню настроек главного меню.<br>※Используйте <%ChangeView>, чтобы<br>переключиться на<br>вид из-за плеча."""
text206#0,"""Смена угла камеры:<%RStick><br>※Чуствительность можно изменить<br>в меню настроек<br>главного меню <%MainMenu>.<br>※Используйте <%ChangeView>, чтобы<br>переключиться на<br>вид из-за плеча."""
text207#0,"""Регулировка камеры"""
