name01#0,"""Хильда"""
11_voice_navi02_122#0,"""Каждое оружие имеет множество применений.<br>Опробуйте из чтобы привыкнуть."""
text00#0,"""Использование оружий"""
text01#0,"""Использование оружий"""
text100#0,"""Действия оружия"""
text101#0,"""Обратная палитра"""
text1000#0,"""Защита: <%WeaponAction><br>※Активируется Just Guard, если вы<br>защищаетесь сразу после атаки на вас"""
text1000_3b#0,"""Защита: <%MainPaletteC><br>※Активируется Just Guard, если вы<br>защищаетесь сразу после атаки на вас"""
text1001#0,"""Смена палитры: <%WeaponAction><br>Использование ФА: <%NormalAttack>"""
text1001_3b#0,"""Смена палитры: <%WeaponAction_2><br>Использование ФА: <%NormalAttack>"""
text1002#0,"""Смена палитры: <%WeaponAction><br>Техники: <%NormalAttack>"""
text1002_3b#0,"""Смена палитры: <%WeaponAction_2><br>Техники: <%NormalAttack>"""
text1003#0,"""Смена палитры: <%WeaponAction><br>Использование ФА: <%NormalAttack>"""
text1003_3b#0,"""Смена палитры: <%WeaponAction_2><br>Использование ФА: <%NormalAttack>"""
text1004#0,"""Действие оружия: <%WeaponAction><br>※Выполняет различные действия<br>в зависимости от ситуации"""
text1004_3b#0,"""Действие оружия: <%MainPaletteC><br>※Выполняет различные действия<br>в зависимости от ситуации"""
text1005#0,"""Смена палитры: <%WeaponAction><br>Использование ФА: <%NormalAttack>"""
text1005_3b#0,"""Смена палитры: <%WeaponAction_2><br>Использование ФА: <%NormalAttack>"""
