ssc_503020_0010#0,"""こんなところで会うとは、奇遇だな。"""
ssc_503020_0020#0,"""ブルーダーはなにを？"""
ssc_503020_0030#0,"""ちょっと、食材を探しに。"""
ssc_503020_0040#0,"""哨戒任務中に、たまたま通りがかってな。"""
ssc_503020_0050#0,"""少し、昔のことを思い出していた。"""
ssc_503020_0060#0,"""そうか。"""
ssc_503020_0070#0,"""私は、哨戒任務中に、立ち寄ってな。"""
ssc_503020_0080#0,"""少し、昔のことを思い出していた。"""
ssc_503020_0090#0,"""私も、星渡りなのだ。<br>キミやマノンと同じように。"""
ssc_503020_0100#0,"""そしてこの海岸は、私が降り立った場所だ。"""
ssc_503020_0110#0,"""……忘れもしない。"""
ssc_503020_0120#0,"""ポッドから出たばかりの私は、<br>状況がわからず、立ち尽くしていた。"""
ssc_503020_0130#0,"""そこで、気がつくと、<br>エネミーに囲まれていたのだ。"""
ssc_503020_0140#0,"""手元に武器があり、なぜか使いかたも心得ていたが、<br>多勢に無勢だった。"""
ssc_503020_0150#0,"""じりじりと追い詰められていってな。"""
ssc_503020_0160#0,"""自分が何者かもわからないままに、<br>ここで終わるのかと思ったときに……。"""
ssc_503020_0170#0,"""突然、ひとりのアークスが現れた。"""
ssc_503020_0180#0,"""その男は、次々とエネミーを倒していった。<br>稲妻のように、鋭い身のこなしで。"""
ssc_503020_0190#0,"""それが、クロフォードだった。"""
ssc_503020_0200#0,"""彼がまだセントラルリーダーではなく、<br>ひとりのアークスとして活動していた頃だ。"""
ssc_503020_0210#0,"""彼は、たまたま私のポッドが落ちるのを見かけて、<br>救助に来てくれたらしい。"""
ssc_503020_0220#0,"""彼は、私をシティまで背負い、<br>各部の修理を施してくれた。"""
ssc_503020_0230#0,"""そして、セントラルシティの一員として、<br>迎え入れてくれた。"""
ssc_503020_0240#0,"""それからは、<br>彼からハルファでの生きかたを教わった。"""
ssc_503020_0250#0,"""もちろん戦いかたも。<br>基礎からしっかりとな。"""
ssc_503020_0260#0,"""クロフォードは命の恩人だったんだね。"""
ssc_503020_0270#0,"""クロフォードが戦いかたを？"""
ssc_503020_0280#0,"""ああ。<br>彼には返しきれないほどの恩がある。"""
ssc_503020_0290#0,"""完璧主義者の彼らしい、<br>緻密なカリキュラムだった。"""
ssc_503020_0300#0,"""教えかたも、なかなかに厳しくてな。<br>あれに比べたら、私の指導など易しいものだ。"""
ssc_503020_0310#0,"""今の私があるのは、クロフォードのおかげだ。"""
ssc_503020_0320#0,"""その恩に報いるために、<br>私はこうしているのだ。"""
ssc_503020_0330#0,"""キミも、彼のことを支えてやってほしい。"""
ssc_503020_0340#0,"""人好きのする男ではあるが、<br>その実、本当の理解者はあまり多くない。"""
ssc_503020_0350#0,"""よろしく頼む。"""
