ssc_502050_0010#0,"""<%me>も、<br>来ていたのね。"""
ssc_502050_0020#0,"""マノンは、ここでなにを？"""
ssc_502050_0030#0,"""なにか探し物？"""
ssc_502050_0040#0,"""レゾルの森で、<br>エネミーの調査をしていたのよ。"""
ssc_502050_0050#0,"""いいえ。レゾルの森で、<br>エネミーについて調べていたの。"""
ssc_502050_0060#0,"""エネミー……とくにドールズ同士の<br>ネットワークについて。"""
ssc_502050_0070#0,"""ドールズは、それぞれの個体が、<br>バラバラに動いているように見えるけれど……。"""
ssc_502050_0080#0,"""ある種の集団的意識をもって、<br>一斉に行動することがあるわ。"""
ssc_502050_0090#0,"""知っているかしら？<br>ドールズには統制型と呼ばれるタイプがいることを。"""
ssc_502050_0100#0,"""代表的なのはペダス・ヴェラね。"""
ssc_502050_0110#0,"""統制型ドールズは、<br>文字どおりほかのドールズを統率する存在。"""
ssc_502050_0120#0,"""要するに、ドールズの指揮官ということね。"""
ssc_502050_0130#0,"""このレゾルの森に出現したネクス・エアリオは、<br>そのなかでも特に強力な存在のひとつ。"""
ssc_502050_0140#0,"""データベースでは、<br>戦域統制型と分類されているわ。"""
ssc_502050_0150#0,"""ブルーダーと音信不通になったあのとき、<br>ネクス・エアリオはエアリオ全域に命令を発していたの。"""
ssc_502050_0160#0,"""その命令を受けたドールズは、<br>セントラルシティに向けて、一斉に進軍し始めた。"""
ssc_502050_0170#0,"""司令塔であるネクス・エアリオを放置していたら、<br>セントラルシティは大変なことになっていたわ。"""
ssc_502050_0180#0,"""迅速に行動できて、本当によかった。"""
ssc_502050_0190#0,"""……分の悪い戦いで、<br>たまたま結果がよかっただけかもしれないけれど。"""
ssc_502050_0200#0,"""というのは、クロフォードから受け取った<br>レポートに書かれた内容の受け売り。"""
ssc_502050_0210#0,"""本当に、よく研究しているわ。"""
ssc_502050_0220#0,"""で、ここからが本題なのだけれど……。"""
ssc_502050_0230#0,"""いきなり、いろいろと話しすぎたかしら。"""
ssc_502050_0240#0,"""フフフ。<br>じゃあ、今日の講義はここまでにしましょう。"""
ssc_502050_0250#0,"""また、なにかわかったら教えるわ。"""
