ssc_503040_0010#0,"""よく会うな。<br>今はなにをしているところかね？"""
ssc_503040_0020#0,"""エネミーの討伐を。"""
ssc_503040_0030#0,"""この辺をぶらぶらと。"""
ssc_503040_0040#0,"""うむ。<br>よい心がけだ。"""
ssc_503040_0050#0,"""安全確保のためには、<br>日々の哨戒が欠かせない。"""
ssc_503040_0060#0,"""任務でなくとも、<br>率先して行動してくれるのは、とてもありがたい。"""
ssc_503040_0070#0,"""そうだな。<br>たまには休息も必要だ。"""
ssc_503040_0080#0,"""常に緊張状態にあっては、<br>心も体も疲弊してしまうだろう。"""
ssc_503040_0090#0,"""肝心なときに力を発揮できなくては、<br>本末転倒だ。"""
ssc_503040_0100#0,"""あのときは、<br>その……世話になったな。"""
ssc_503040_0110#0,"""このレゾルの森に<br>“ネクス・エアリオ”が出現した日のことだ。"""
ssc_503040_0120#0,"""当時の私には、慢心があったのだと思う。"""
ssc_503040_0130#0,"""レゾルは、入り組んだ森ではあるが、<br>何度も足を運び、おおよその地形は頭に入っている。"""
ssc_503040_0140#0,"""あの場所のドールズの行動も、<br>熟知している……はずだった。"""
ssc_503040_0150#0,"""だが、あの日はすべてが違っていた。"""
ssc_503040_0160#0,"""攻撃性の増した多数のドールズ。<br>強力なジャミング。"""
ssc_503040_0170#0,"""そして、ネクス・エアリオ。"""
ssc_503040_0180#0,"""経験が、まったく役に立たない状態だった。"""
ssc_503040_0190#0,"""倒した敵の数よりも、増える数のほうが多く、<br>私たちは包囲されつつあった。"""
ssc_503040_0200#0,"""私は、隊の全滅を覚悟した。"""
ssc_503040_0210#0,"""キミたちが来てくれなければ、<br>それが現実のものとなっていただろう。"""
ssc_503040_0220#0,"""……ネクス・エアリオとの因縁は、<br>十年前にさかのぼる。"""
ssc_503040_0230#0,"""同じようなことが、<br>十年前にもあったのだ。"""
ssc_503040_0240#0,"""突如現れたネクス・エアリオとドールズの軍勢。"""
ssc_503040_0250#0,"""あの頃は、<br>セントラルシティの防御も万全ではなくてな。"""
ssc_503040_0260#0,"""激しい戦いの末、どうにか撃退はしたが、<br>こちらにも大きな損害が出た。"""
ssc_503040_0270#0,"""私も戦いには参加したものの、<br>敵の攻撃に翻弄されて、ろくに動けなかった。"""
ssc_503040_0280#0,"""戦いの大局も見極められず、<br>多くの仲間を失った。"""
ssc_503040_0290#0,"""先日の戦いのさなかに、そのときの記憶や感情が、<br>ようやくよみがえってきたというわけだ。"""
ssc_503040_0300#0,"""……大いに反省せねばなるまい。"""
ssc_503040_0310#0,"""キミたちのおかげで、<br>今の私はここにある。"""
ssc_503040_0320#0,"""おかげで、ネクス・エアリオへの<br>雪辱も果たすことができた。"""
ssc_503040_0330#0,"""あらためて礼を言わせてくれ。<br>本当にありがとう。"""
ssc_503040_0340#0,"""この借りは、<br>いずれ戦場で返すとしよう。"""
ssc_503040_0350#0,"""約束だ。"""
