ssc_503030_0010#0,"""やあ、キミか。"""
ssc_503030_0020#0,"""なにをしているの？"""
ssc_503030_0030#0,"""マグナス山……。"""
ssc_503030_0040#0,"""ちょうど任務を終えて、<br>帰途につくところだ。"""
ssc_503030_0050#0,"""キミとこの場所に立つと、<br>あの日のことを思い出すな。"""
ssc_503030_0060#0,"""……ああ。"""
ssc_503030_0070#0,"""こうしていると、<br>あの日のことを思い出すな。"""
ssc_503030_0080#0,"""キミや、アイナ、マノンの初任務。"""
ssc_503030_0090#0,"""基礎訓練を終えたばかりだというのに、<br>キミたちはよく戦ってくれた。"""
ssc_503030_0100#0,"""トレイニアでの動きを見て、<br>すぐにでも実戦投入が可能と判断したのは私だが……。"""
ssc_503030_0110#0,"""まさか、本当に直後の戦いに参加させるとは。"""
ssc_503030_0120#0,"""……結果としては、<br>クロフォードの判断が正しかったようだがな。"""
ssc_503030_0130#0,"""キミとマノンの適応力は、<br>降り立ったばかりの“星渡り”のなかでも群を抜いている。"""
ssc_503030_0140#0,"""そのまま、己が道を歩んでほしい。"""
ssc_503030_0150#0,"""一方で、アイナは<br>肉親を失い、自身も負傷から回復してすぐのこと。"""
ssc_503030_0160#0,"""聞けば、あの頃はまだ武器の扱いも、<br>おぼつかなかったと言うではないか。"""
ssc_503030_0170#0,"""それで、あの立ち回り。<br>恐るべき精神力と胆力だ。"""
ssc_503030_0180#0,"""キミたち“星渡り”と比べれば、<br>彼女はまだまだ粗削りだ。"""
ssc_503030_0190#0,"""だが、経験を積めば、<br>いくらでも伸びる可能性を秘めている。"""
ssc_503030_0200#0,"""最も重要なのは、<br>心のありようだ。"""
ssc_503030_0210#0,"""彼女は、結果を出すために、<br>焦っているように見える。"""
ssc_503030_0220#0,"""一方で、エアリオタウンの悲劇は、<br>理性的に受け止めようとしている。"""
ssc_503030_0230#0,"""怒りに囚われることもなく……。"""
ssc_503030_0240#0,"""怒りや憎しみは、<br>強くあろうとする心を歪めてしまう。"""
ssc_503030_0250#0,"""今のまま、<br>己を磨いていけば、なんの問題もない。"""
ssc_503030_0260#0,"""ゆっくりと、着実に。"""
ssc_503030_0270#0,"""キミと、マノンは、<br>彼女のことを支えてやってほしい。"""
ssc_503030_0280#0,"""いや……。<br>マノンもまた、心になにかを抱えている。"""
ssc_503030_0290#0,"""君の行動で、<br>彼女たちを導いてやってくれ。"""
