un_020210_0010#0,"""<%me>님…<br>저… 오랜만입니다."""
un_020210_0020#0,"""아… 저 말인가요? 덕분에<br>예전보다는 컨디션도 돌아왔습니다."""
un_020210_0030#0,"""여기에 오면 그때 일이<br>떠올라서, 가슴이 꽉 조이는 듯<br>괴로워지지만…"""
un_020210_0040#0,"""극복하지 않으면…<br>앞으로 나아갈 수 없으니까요."""
un_020210_0050#0,"""다만 한 가지 마음에 걸리는 건<br>그때 어딘가로 사라져 버린<br>클라리사의 행방입니다."""
un_020210_0060#0,"""그건… 위험합니다.<br>회수하려고 찾아보고 있지만<br>어디에도 없어서…"""
un_020210_0070#0,"""저는 그걸 사용하지 않았습니다.<br>그저 들고 있었을 뿐입니다.<br>그래도 알 수 있었습니다."""
un_020210_0080#0,"""아아, 이건 저 같은 사람이<br>사용해서는 안 되는 거구나, 하고요."""
un_020210_0090#0,"""들고 있는 것만으로도 마음이 갈기갈기<br>찢겨 나가는 듯한<br>그런 기분이 들어서…"""
un_020210_0100#0,"""제가 무엇을 하고 있는지<br>알 수 없게 되는 듯한…<br>심연으로 끌려 들어가는 듯한…"""
un_020210_0110#0,"""그것의 본래 주인은<br>대체 어떻게 그런 것을<br>다루고 있었던 걸까요…"""
un_020210_0120#0,"""하지만 그건 분명…<br>올바른 주인에게 돌려주어야 합니다.<br>그런 느낌이 듭니다."""
un_020210_0130#0,"""…죄송합니다.<br>조금 몸이 좋지 않아서<br>이만 실례하겠습니다."""
