un_020360_0010#0,"""오, <%me>.<br>오랜만이군, 잘 지냈냐?"""
un_020360_0020#0,"""나? 나는 보다시피<br>멀쩡해 보이긴 하지만<br>상당히 지친 상태라고?"""
un_020360_0030#0,"""설마 누님의 특훈이<br>이렇게까지 혹독하다 못해<br>불합리할 줄은 몰랐어."""
un_020360_0040#0,"""한 번이라도 공격을 막으면 죽인다.<br>공격이 막혀도 죽인다. 전부 피하고<br>전부 맞혀라, 라든가."""
un_020360_0050#0,"""필사적으로 공격을 맞히면<br>맞았다는 데 화를 내면서<br>엄청난 살기를 뿜어낸다고?"""
un_020360_0070#0,"""그 말도 안 되는 나날 덕분에<br>상당히 단련된 것 같긴 하지만<br>솔직히 살아 있는 기분이 전혀 안 들어."""
un_020360_0080#0,"""아아, 물론 지금도 특훈 중이야.<br>다른 아크스에게 목격되지 않고<br>다커를 섬멸하라는 식으로."""
un_020360_0090#0,"""이것도 실패하면 「죽인다」고<br>말하겠지.<br>늙어서도 혈기가 더 왕성한 할멈이야."""
un_020360_0100#0,"""어? 네가 보고 있다고?<br>…아, 뭐, 괜찮겠지?<br>괜찮지 않을까, 아마도…"""
un_020360_0110#0,"""…왠지 안 될 것 같기도 하네.<br>내가 당하는 모습이<br>쉽게 상상돼 버린다고."""
un_020360_0120#0,"""…만일의 때에 내가<br>달려오지 않는다면, 그때는<br>누님에게 당했다고 생각해 줘."""
