un_020290_0010#0,"""이런 이런,<br><%me>.<br>건강해 보여 다행입니다."""
un_020290_0020#0,"""당신의 힘은 앞으로의 아크스에<br>필요한 것이 될 겁니다."""
un_020290_0030#0,"""의욕적인 건 좋지만<br>몸도 잘 챙기십시오."""
un_020290_0040#0,"""하지만 이 주변도 다커가<br>늘어난 모양이군요.<br>당신이 출격하고 있는 게 무엇보다 확실한 증거죠."""
un_020290_0050#0,"""제 목적 말입니까? 정보 수집입니다.<br>만약 섬멸전이라면<br>클라리스 클레이스가 파견되었겠죠."""
un_020290_0060#0,"""삼영웅도 역할이 나뉘어 있습니다.<br>…오해를 무릅쓰고 말하자면<br>그녀는 걸어 다니는 폭탄 같은 존재입니다."""
un_020290_0070#0,"""앞뒤 생각 없이 날려 버릴 수 있는<br>다수전이 가장 적합하죠."""
un_020290_0080#0,"""화력이 너무 높은 데다 제어가 서툴러서<br>금방 지쳐 버리는 것이 약점입니다만<br>뭐, 성질상 어쩔 수 없겠죠."""
un_020290_0090#0,"""저는 완전히 반대입니다. 코스트 중시로<br>높은 가동률을 유지하는 식의 전투라<br>장기전이나 철수전에 적합합니다."""
un_020290_0100#0,"""반대로 상대가 단숨에 몰아붙이면<br>제 능력으로는 어쩔 수 없어진다는<br>약점도 있습니다만."""
un_020290_0110#0,"""레기아스는… 글쎄요.<br>그는 마주하는 순간 끝입니다."""
un_020290_0120#0,"""어떻게 마주하지 않고 일을 끝낼 것인가.<br>그걸 생각하며 움직이는 게 정답이겠죠."""
un_020290_0130#0,"""그래도 굳이 약점을 꼽자면…<br>그는 앞뒤 생각 없이 싸울 수 없는<br>입장에 놓여 있다는 점입니다."""
un_020290_0140#0,"""하핫. 역할 분담이라기보다는<br>일장일단이라고 해야 할까요."""
un_020290_0150#0,"""가장 강한 건 레기아스.<br>가장 위험한 건 클라리스 클레이스.<br>그리고 가장 성가신 건 저."""
un_020290_0160#0,"""그래서 말 그대로<br>정보 수집 같은 성가신 일은<br>저에게 떠넘겨지는 겁니다."""
