un_020350_0010#0,"""…제노!?<br>…아니, 아니네.<br><%me>."""
un_020350_0020#0,"""미안, 착각했어.<br>응, 맞아. 제노의 발자취를<br>따라와 본 거야."""
un_020350_0030#0,"""제노 녀석, 전혀<br>돌아올 기미가 없으니까<br>데리러 와 줬다, 뭐 그런 거지."""
un_020350_0040#0,"""뭐, 마중하려고 해도 어디 있는지<br>모르니까 어떻게 할 수도<br>없지만…"""
un_020350_0050#0,"""…있지,<br><%me>."""
un_020350_0060#0,"""제노는… 제노는 돌아오겠지?<br>꼭 돌아오겠지?"""
un_020350_0070#0,"""반드시 돌아온다"""
un_020350_0080#0,"""…아하, 그 자신감은 뭐야.<br>격려해 주는 거야?"""
un_020350_0090#0,"""고마워.<br>후배한테 걱정받다니<br>선배 실격이네, 나."""
un_020350_0100#0,"""침묵을 지킨다"""
un_020350_0110#0,"""…후훗, 그럴 때는 말이야.<br>거짓말이라도 좋으니까 격려해야 해."""
un_020350_0120#0,"""물론 겉치레뿐인 격려로<br>누나를 속일 수 있다고 생각했다면<br>큰 착각이지만."""
un_020350_0130#0,"""뭐랄까.<br>헌터가 된 뒤부터일까,<br>제노가 사라진 뒤부터일까."""
un_020350_0140#0,"""주변을 볼 여유가 생겼다고 해야 하나,<br>상대의 생각이 보이기<br>시작했거든, 나."""
un_020350_0150#0,"""그러니까 네 행동의 의미도<br>어렴풋이는 알겠어.<br>신경 써 줘서 고마워."""
un_020350_0160#0,"""자, 언제까지고 우중충한<br>얼굴을 하고 있을 순 없지."""
un_020350_0170#0,"""나는 제노 대신이니까<br>여러모로 힘내야 해.<br>…그럼 또 봐."""
