ra_010610_0010#0,"""<%me> 씨<br>보고드릴 게 있습니다."""
ra_010610_0020#0,"""얼마 전 조사해 주신<br>나베리우스의 지질 말입니다만<br>분석할수록 이상한 점이 드러납니다."""
ra_010610_0030#0,"""우선 그 행성은 삼림 지대의 지질이<br>기초를 이루고 있습니다.<br>동토는 나중에 생겨난 지형입니다."""
ra_010610_0040#0,"""하지만 동토가 생긴 원인은…<br>보통 운석 낙하나 이상 기후 등인데<br>…그 흔적을 찾을 수 없습니다."""
ra_010610_0050#0,"""…게다가 동토 안에서도<br>데이터에 편차가 있고, 파라미터를<br>얻지 못한 장소도 있었습니다."""
ra_010610_0060#0,"""마치 전파 방해라도<br>받고 있는 것처럼…"""
ra_010610_0070#0,"""…이제 이건 추론이 아닙니다.<br>저 행성은 뭔가 이상합니다."""
ra_010610_0080#0,"""나베리우스… 미개척 원시 행성이라고<br>우리는 들어 왔습니다.<br>하지만 이건… 이 데이터는…"""
ra_010610_0090#0,"""…저는 다음에 허가를 받아<br>직접 조사하러 가려 합니다.<br>위험하다는 건 잘 알고 있습니다."""
ra_010610_0100#0,"""하지만 지금까지의 조사결과를<br>다름 아닌 당신에게만<br>알려드리고 싶어서…"""
ra_010610_0110#0,"""…연구도 일단락됐으니<br>로비에 얼굴을 비추도록 하겠습니다.<br>또 뵙겠습니다."""
ra_010610_0120#0,"""A.P.238/3/18"""
