Begin#0,"""개시 5150"""
Success#0,"""성공 5150"""
Failure#0,"""실패 5150"""
Dead#0,"""자신의 사망 5150"""
BuddyDead#0,"""상대의 사망 5150"""
Evolution#0,"""발전 5150"""
Begin#1,"""내 먹잇감엔 손대지 마!"""
Success#1,"""헷! 제법 하잖아!"""
Failure#1,"""제기랄…!<br>나머지는 맡긴다!"""
Dead#1,"""내가 진다고…"""
BuddyDead#1,"""거 참, 어쩔 수 없는 녀석이군!<br>나머지는 나한테 맡기고 쉬고 있어!"""
Begin#2,"""내 먹잇감엔 손대지 마!"""
Success#2,"""헷! 제법 하잖아!"""
Failure#2,"""제기랄…!<br>나머지는 맡긴다!"""
Dead#2,"""내가 진다고…"""
BuddyDead#2,"""거 참, 어쩔 수 없는 녀석이군!<br>나머지는 나한테 맡기고 쉬고 있어!"""
Begin#3,"""내 먹잇감엔 손대지 마!"""
Success#3,"""헷! 제법 하잖아!"""
Failure#3,"""제기랄…!<br>나머지는 맡긴다!"""
Dead#3,"""내가 진다고…"""
BuddyDead#3,"""거 참, 어쩔 수 없는 녀석이군!<br>나머지는 나한테 맡기고 쉬고 있어!"""
Begin#4,"""내 먹잇감엔 손대지 마!"""
Success#4,"""헷! 제법 하잖아!"""
Failure#4,"""제기랄…!<br>나머지는 맡긴다!"""
Dead#4,"""내가 진다고…"""
BuddyDead#4,"""거 참, 어쩔 수 없는 녀석이군!<br>나머지는 나한테 맡기고 쉬고 있어!"""
