un_044040_0010#0,"""Oh-my-oh-my. It seems like you brought another odd person with you today."""
un_044040_0020#0,"""Really <%me>, I'm jealous that you keep making sooo many wonderful and strange friends as you go."""
un_044040_0030#0,"""Would you mind sharing some with me? It looks like they'll give me a strange euphoric feeling. I would definitely want to try shooting them someday."""
un_044040_0040#0,"""Oi, <%me>. What's wrong with this person?"""
un_044040_0050#0,"""I'm Lisa. Nice to meet you."""
un_044040_0060#0,"""Ah... yea. Nice to meet you too."""
un_044040_0070#0,"""Fufufu. You're being cautious of me, aren't you? Don't worry, I won't do anything to you."""
un_044040_0080#0,"""By the way, you're someone who fires a gun right? Adding to that, you prefer snipers, right?"""
un_044040_0090#0,"""Why do you think so?"""
un_044040_0100#0,"""When you were cautious of Lisa, your legs were the first to react during that brief moment of fear. You tried to gain distance."""
un_044040_0110#0,"""However, there weren't any movements in your hands. Therefore, you're not the type who prepares a gun, perhaps someone who creates a gun, am I right?"""
un_044040_0120#0,"""Just by shaking your hand, did it actually reveal everything to that extent?"""
un_044040_0130#0,"""Fufufu. A sniper requires a perceptive eye. After all, catching even the slightest abnormality is the most important skill on the battlefield."""
un_044040_0140#0,"""Oh no! This isn't good at all. I was caught up in my happiness and started talking since I met someone with the same smell."""
un_044040_0150#0,"""Well then, I'll be taking my leave here. I want to keep shooting and killing more and more of those mysterious Phantoms on Earth."""
un_044040_0160#0,"""Their sensation is so fluffy, filled with uncertainty and vile to the point where it feels sooo good! Fufufu- Fufufufufu!"""
un_044040_0170#0,"""Hey... Do the weirdos tend to be more powerful within ARKS?"""
