un_044030_0010#0,"""어라, <%me><br>혼자 뭐 해?"""
un_044030_0020#0,"""아, 알겠다!<br>나를 만나러 와 준 거지?<br>이야~, 대인기 아이돌은 힘드네~!"""
un_044030_0030#0,"""맞아"""
un_044030_0040#0,"""우연히야"""
un_044030_0050#0,"""…그렇게 담담하게 말하면<br>대충 말하는 것 같아서<br>좀 상처받는데."""
un_044030_0060#0,"""정말, 그럴 땐 빈말로라도<br>「어떻게 알았어」 같은 말하면서<br>허둥대 주지 않을래?"""
un_044030_0070#0,"""…그렇지!<br>이쪽 모습이라면 조금은 놀라거나<br>해 주려나!"""
un_044030_0080#0,"""…어떻습니까.<br>조금은 놀라셨나요?"""
un_044030_0090#0,"""이쪽 모습을 보이는 건 오랜만입니다.<br>…최근에는 제 역할이 끝난 셈이었으니까요."""
un_044030_0100#0,"""삼영웅 카스라의 지시로 정보부 차석에<br>앉게 되었습니다만, 그것도 직함뿐.<br>하는 일은 사무 처리와 승인 처리뿐입니다."""
un_044030_0110#0,"""…솔직히 말하자면<br>돌아와 주셨을 때는 무서웠습니다, <%me>"""
un_044030_0120#0,"""어쩌면 마이의 부작용 때문에<br>제 존재를 잊어버렸을지도<br>모른다고…"""
un_044030_0130#0,"""하지만 괜찮았습니다.<br><%me> 그리고 모두가<br>저를 계속 기억해 주셨으니까요."""
un_044030_0140#0,"""이제… 더 이상 제가<br>무리해서 싸울 필요도 없습니다."""
un_044030_0150#0,"""돌아와 주셨으니까요, <%me>"""
un_044030_0160#0,"""그리고 무엇보다도…"""
un_044030_0170#0,"""난 역시 싸우는 것보다 모두 앞에서<br>노래하고 춤추고, 사람들을 미소 짓게 하는 게<br>제일 좋으니까 말이야."""
un_044030_0180#0,"""모두의 아이돌, 쿠나는 영원히 불멸이야!<br>그러니까, <%me><br>앞으로도 응원 부탁해!"""
