st_044075_0001#0,"""A.D.2028/xx/xx/xx:xx"""
st_044075_0010#0,"""……그러고보니 여기 라스베가스는 몇 번이나<br>습격당했는데 어째서 마더는<br>이 지하를 직접 공격하지 않는 걸까."""
st_044075_0020#0,"""베토르가 하던 짓을 보면<br>지하를 폭격하거나 할 거 같은 기세였으니까<br>좀 의외랄까, 무섭달까……"""
st_044075_0030#0,"""도쿄에서 마구 날뛰던 그 엉터리 감독이<br>예외였단 거겠지.<br>그게 원인이 돼서 숙청당한 거 같고."""
st_044075_0040#0,"""그래요…… 마더 클러스터는<br>지구 자체를 손상하는 행위를 피하려는<br>그런 경향이 있습니다."""
st_044075_0050#0,"""게다가 공격하려고 해도 이 지하의<br>정확한 좌표를 모르는 걸지도 모르고요."""
st_044075_0060#0,"""광범위하게 피해를 끼치기보단, 조금 날뛰어서<br>끌어내는 쪽이 빠르다는 거지."""
st_044075_0070#0,"""그렇지만 매번 요격하고 있으니<br>슬슬 녀석들이 참지 못할 때가 돼도<br>이상하지 않을텐데……"""
st_044075_0080#0,"""환창종의 반응을 탐지했습니다!<br>……그리고 사람의 반응도 몇 개."""
st_044075_0090#0,"""사람의 반응……!"""
st_044075_0100#0,"""말하자마자 나오시는구만.<br>……뭐 좋아, 받아칠 뿐이지."""
st_044075_0110#0,"""엔가, 네게 무슨 말을 해도 소용 없겠지만<br>일단 말해두지. 조심해."""
st_044075_0120#0,"""격려하고 싶으면 솔직하게 격려하라고."""
st_044075_0130#0,"""……오빠, 나도!"""
st_044075_0140#0,"""……사람이 상대야.<br>게다가 베토르 때와는 다르게<br>진짜로 정면충돌이지."""
st_044075_0150#0,"""너, 그래도 싸울 수 있어?<br>너, 사람을 벨 수 있어?"""
st_044075_0160#0,"""……다, 당연하지!<br>마더 클러스터 녀석들 따윈<br>내가 전부 쓰러뜨려주겠어!"""
skit01#0,"""Why are you there?"""
skit02#0,"""슬픈 재회"""
