un_044020_0001#0,"""A.P.241/？/？/？"""
un_044020_0010#0,"""아, <%me>!<br>마침 <%me> 얘기를<br>하고 있었어, 이리 와봐!"""
un_044020_0020#0,"""선배 얘기를 하는데 선배를 부르는 건가……<br>무서움을 모르는구나, 히츠기는."""
un_044020_0030#0,"""그렇게 말하는 이오도<br><%me>를 만나고 싶다고<br>생각하고 있었잖아? 얼굴에 다 드러나."""
un_044020_0040#0,"""음……"""
un_044020_0050#0,"""……그, 그런 것보다 히츠기는 어쨰서<br>선배를 반말로 부르는 거야?"""
un_044020_0060#0,"""응, 어라? 그러고보니……?<br>처음 만났을 땐 시에라도 포함해서<br>「씨」라고 불렀던 거 같은데……"""
un_044020_0070#0,"""……어느새 안 붙이게 된거지<br>급하게 외쳤을 때 불렀던 게 입에 붙었나?"""
un_044020_0080#0,"""우리는 서로 존칭 없이 부르기로 했지만<br>선배한테는 경의를 표하는 게 좋지 않아?<br>목숨의 은인이기도 하잖아?"""
un_044020_0090#0,"""확실히 이오 말이 맞을지도……<br>……그러면 정해달라고 하자!"""
un_044020_0100#0,"""정해달라고?"""
un_044020_0110#0,"""<%me>가, 내가<br>어떻게 불렀으면 좋겠는지 정해줘!"""
un_044020_0120#0,"""근데 「씨」라고 붙이기는<br>이제 와서 그렇고 좀 약하잖아……<br>아예 「님」이나 「왕」같은 게……?"""
un_044020_0130#0,"""……대체 히츠기한테 선배는<br>어떤 존재인 거야, 그거."""
un_044020_0140#0,"""「님」이 좋아"""
un_044020_0150#0,"""「왕」이 좋아"""
un_044020_0160#0,"""「선배」가 좋아"""
un_044020_0170#0,"""그렇군. 「님」이라.<br><%me> 님!"""
un_044020_0180#0,"""어라, 이거 어디서 들어본 적 없어?"""
un_044020_0190#0,"""……카토리 씨네."""
un_044020_0200#0,"""알겠어, 왕이지.<br>내 왕되신 <%me>시여!<br>같은 식으로 부르면 되나?"""
un_044020_0210#0,"""……아무리 그래도 부끄럽지 않아?"""
un_044020_0220#0,"""그래?<br>중세 같아서 난 좋은데."""
un_044020_0230#0,"""잠깐……!?"""
un_044020_0240#0,"""<%me> 선배!<br>라고 부르라고? 좀 마니악한 느낌이네."""
un_044020_0250#0,"""아, 아니, 그렇지 않아!<br>선배는 선배야!"""
un_044020_0260#0,"""그렇지만 좀 이상한가.<br>그렇다면 씨를 붙여야 하는데……<br><%me> 씨, 라."""
un_044020_0270#0,"""……말하기 미안하지만 이제 와서란 느낌이네."""
un_044020_0280#0,"""흥, 그럼 됐어.<br>여태까지 하던대로 존칭 없이 부를게."""
