st_044070_0001#0,"""A.D.2028/4/10/15:00"""
st_044070_0010#0,"""…자, 도착했다."""
st_044070_0020#0,"""우와…! 예뻐! 그리고 넓어!<br>라스베가스 지하에 이런 걸 만들다니<br>어스 가이드는 조직력이 얼마나 대단한 거야…"""
st_044070_0030#0,"""라스베가스 카지노에 들어가서<br>거기서 지하로 가는 엘리베이터를<br>두 번 정도 갈아타고 도착…"""
st_044070_0040#0,"""정확한 위치를 들키지 않도록<br>상당히 주의하고 있는 것 같네요."""
st_044070_0050#0,"""뭐, 혹시 모를 때를 대비해서 말이지.<br>에테르 인프라가 보급된 이 시대에<br>얼마나 효과가 있는지는 모르겠다."""
st_044070_0060#0,"""…하핫.<br>꽤 활기차네, 엔가."""
st_044070_0070#0,"""그러니까 미리 그렇게 말했잖아.<br>그래도 데려오라고 한 건<br>너라고, 왕자님?"""
st_044070_0080#0,"""상관없어.<br>난 활기찬 쪽이 더 좋거든."""
st_044070_0090#0,"""<%me> 씨, 히츠기 씨.<br>처음 뵙겠습니다."""
st_044070_0100#0,"""아뎀 세이크리드라고 합니다.<br>저를 놀리듯 「왕자」라고 부르는 이도 있지만<br>부디 이름으로 불러 주십시오."""
st_044070_0110#0,"""왕자라니…<br>그럼 혹시 아뎀 씨가…?"""
st_044070_0120#0,"""네, 송구하게도 어스 가이드의 지도자를<br>맡고 있습니다.<br>잘 부탁드립니다."""
st_044070_0130#0,"""아, 저, 저야말로<br>친절하신 말씀 감사합니다."""
st_044070_0140#0,"""<%me> 씨.<br>소문은 전부터 들었습니다.<br>뵙게 되어 영광입니다."""
st_044070_0150#0,"""굳이 이런 곳까지<br>발걸음을 옮기게 만들어<br>죄송합니다."""
st_044070_0160#0,"""소문은 전부터?"""
st_044070_0170#0,"""신경 쓰지 마"""
st_044070_0180#0,"""엔가한테 못 들으셨나요?<br>전부터 어스 가이드는 아크스와<br>극비리에 교류를 해왔습니다."""
st_044070_0190#0,"""<%me> 씨에 대해선<br>그때 여러 이야기를 들었습니다.<br>강하고 올바르고… 친절한 분이라고."""
st_044070_0200#0,"""…하핫, 친절하신 분이라는 점도<br>들은 그대로군요."""
st_044070_0210#0,"""제가 들은 이야기는<br>온통 칭찬하는 수식어뿐이었지만<br>직접 뵙고 보니 납득이 되는군요."""
st_044070_0220#0,"""게다가 <%me> 씨 일행은<br>차원을 사이에 둔 우주에서 오신 셈이니<br>이 만남은 지구인으로서 감회가 깊습니다."""
st_044070_0230#0,"""아, 그렇지… PSO2는 게임 세계가 아니라<br>다른 차원의 우주. 그러면<br>우주인이라고 봐야 하는 거구나, <%me>"""
st_044070_0240#0,"""아니면 이세계인인가? 다른 차원 사람?<br>어떻게 부르는 게 좋을까… 아니<br>그런 건 아무래도 상관없나."""
st_044070_0250#0,"""너무 많은 일이 있었고 평범하게<br>대화하고 있었으니까 의식한 적 없었는데…<br>사실 엄청난 일이지, 이거."""
st_044070_0260#0,"""외계 생물을 연구하는 학자들은<br>깜짝 놀라 뒤집어질 수준이겠지."""
st_044070_0270#0,"""자, 이렇게 모여 주신 이유는 다름이 아닙니다.<br>지구의 현 상황에 대해 말씀드리겠습니다."""
st_044070_0280#0,"""마더 클러스터의 활동이 활발해진 것은<br>아크스 쪽에서도 인식하고 있을 거라 생각합니다."""
st_044070_0290#0,"""지구 쪽에서도 어스 가이드에 대한 공격이 격해지고<br>각 지부나 소속 멤버가 습격당하고 있습니다.<br>솔직히 형세는 상당히 좋지 않습니다."""
st_044070_0300#0,"""여태까지는 서로 노려보기만 하는 상황도<br>많았지만 이번에는 저쪽도 체면 차리지 않고<br>꽤 강압적으로 이쪽을 짓밟으려 하고 있지."""
st_044070_0310#0,"""준비가 다 됐다고 본 건지, 서둘러야 하는<br>이유가 있는 건지는 모르겠지만<br>…별로 좋은 상황은 아니군."""
st_044070_0320#0,"""…저기.<br>마더 클러스터의 목적은 뭐야?<br>어스 가이드를 없애고 뭘 할 생각이야?"""
st_044070_0330#0,"""저희 어스 가이드를 괴멸시킨 뒤…<br>저항 세력이 사라진 지구를 완전히 정복한다.<br>…그것도 어디까지나 발판인 듯합니다."""
st_044070_0340#0,"""에테르 인프라를 장악한 시점에<br>어느 정도 정복했다고 봐도 되니 말이죠."""
st_044070_0345#0,"""게다가 그것만으로는 PSO2를 통해<br>오라클 쪽에 침입하려 한 이유가 되지 않습니다."""
st_044070_0350#0,"""이쪽 세계도 정복하려고 하나?"""
st_044070_0360#0,"""이쪽 세계에 필요한 게 있나?"""
st_044070_0370#0,"""그렇죠… 아크스 쪽 세계에<br>모종의 집착이 있는 것은 분명하다고 생각합니다."""
st_044070_0380#0,"""전 마더 클러스터 소속인 우리 바보 여동생 씨.<br>그 부분은 어떻게 생각하냐."""
st_044070_0390#0,"""일일이 가시 돋친 소리 하지 마!<br>하지만, 으음, 마더의 목적이라…"""
st_044070_0400#0,"""내가 마더 클러스터에 들어간 건<br>꽤 오래전 얘기니까… 권유받은 이유도<br>「소질이 있다」는 말 한마디뿐이었고."""
st_044070_0410#0,"""소질이란 건 PSO2 안으로 들어가는 능력 말이지.<br>그건 에테르를 다루는 능력의 일부니까<br>결국 에테르 적합자를 모으고 있단 말인가?"""
st_044070_0420#0,"""그리고 가능성이 있는 사람도 포함되겠지.<br>에테르 능력의 습득은 기술의 숙련과 같아.<br>구조를 이해하고 올바르게 연마하면 성장할 거야."""
st_044070_0430#0,"""어, 노력하면 익힐 수 있는 거야?<br>에테르로 무기를 만들어 내는 것도."""
st_044070_0434#0,"""알기 쉽게 표현하자면<br>에테르 적성이 올라갈수록<br>할 수 있는 게 늘어나는 이미지입니다."""
st_044070_0438#0,"""우선 에테르 적성이 없는 일반인도<br>PSO2를 통해 오라클 쪽에 생성한 아바타를<br>원격 조작해 게임으로 즐길 수 있습니다."""
st_044070_0440#0,"""하지만 PSO2라는 것은<br>마더가 오라클 쪽에 접근하기 위해<br>준비한 위장 활동용 어플입니다."""
st_044070_0444#0,"""그 때문에 일반인이 평범하게 게임으로<br>PSO2를 플레이하는 동안에도 마더에게는<br>아크스 쪽 정보가 축적됩니다."""
st_044070_0448#0,"""그리고 PSO2의 역할은 또 하나…<br>에테르 적성이 높은 인재를<br>선별하기 위한 어플이기도 합니다."""
