un_044050_0010#0,"""오, <%me>!<br>이런데서 만날 줄이야!"""
un_044050_0020#0,"""클라리스 클레이스한테 가끔 얘기는 들었지만<br>이렇게 만나니 역시 다르군.<br>실감이 든다고 말하면 될까."""
un_044050_0030#0,"""뭐하고 있었어?"""
un_044050_0040#0,"""그쪽도 건강해보여서 다행이야"""
un_044050_0050#0,"""딱히 뭘 하고 있던 건 아니고<br>정기적으로 나베리우스 순찰을 돌고 있어!"""
un_044050_0060#0,"""전투부 사령관 같은 거에 임명돼버렸지만<br>그런 건 관계 없어! 현장지상주의다!"""
un_044050_0070#0,"""후하하핫! 당연하지!<br>난 그게 장점이니까!"""
un_044050_0080#0,"""게다가 잘 생각해봐!<br>내가 기운차지 않으면 그야말로<br>기분 나쁘잖아?"""
un_044050_0090#0,"""지구라 그랬던가? 그 이세계에 존재하는<br>행성에 대응하느라, 이쪽 행성들의 대응이<br>약간 허술해져버렸으니까."""
un_044050_0100#0,"""나나 클라리스 클레이스도 틈만 나면<br>여기저기 순찰 중이란 거다!"""
un_044050_0110#0,"""지구, 라는 행성에 의한 문제도 이해하지만<br>우리 아크스는 다커의 대항이라는<br>지속적인 문제도 남아있지!"""
un_044050_0120#0,"""어느쪽을 우선하자는 말은 아니다!<br>적재적소, 라는 거지!"""
un_044050_0130#0,"""우리가 이쪽<br><%me>가 저쪽.<br>필요에 따라 서로 협력한다."""
un_044050_0140#0,"""동료란 그런 게 아닌가."""
un_044050_0150#0,"""그러니 우리는 네가 돌아와줘서<br>정말 든든하고 기쁘다고!"""
un_044050_0160#0,"""……음!<br>어디선가 내 도움을 요청하는 소리가!<br><%me>! 그럼 나중에 보자!"""
