Begin#0,"""개시 5150"""
Success#0,"""성공 5150"""
Failure#0,"""실패 5150"""
Dead#0,"""자신의 사망 5150"""
BuddyDead#0,"""상대의 사망 5150"""
Evolution#0,"""발전 5150"""
Begin#1,"""함께 임무를 수행합시다."""
Success#1,"""조력에 감사드립니다."""
Failure#1,"""전투 지속불가…… 후퇴합니다.<br>면목 없습니다."""
Dead#1,"""이런 일이……!"""
BuddyDead#1,"""……무리는 금물입니다.<br>뒷일은 맡기고 쉬어주십시오."""
Begin#2,"""함께 임무를 수행합시다."""
Success#2,"""조력에 감사드립니다."""
Failure#2,"""전투 지속불가…… 후퇴합니다.<br>면목 없습니다."""
Dead#2,"""이런 일이……!"""
BuddyDead#2,"""……무리는 금물입니다.<br>뒷일은 맡기고 쉬어주십시오."""
Begin#3,"""함께 임무를 수행합시다."""
Success#3,"""조력에 감사드립니다."""
Failure#3,"""전투 지속불가…… 후퇴합니다.<br>면목 없습니다."""
Dead#3,"""이런 일이……!"""
BuddyDead#3,"""……무리는 금물입니다.<br>뒷일은 맡기고 쉬어주십시오."""
Begin#4,"""함께 임무를 수행합시다."""
Success#4,"""조력에 감사드립니다."""
Failure#4,"""전투 지속불가…… 후퇴합니다.<br>면목 없습니다."""
Dead#4,"""이런 일이……!"""
BuddyDead#4,"""……무리는 금물입니다.<br>뒷일은 맡기고 쉬어주십시오."""
