un_044060_0010#0,"""시에라가 하는 일은 뭐야?"""
un_044060_0020#0,"""가, 갑자기 무슨 말이에요, 알?"""
un_044060_0030#0,"""<%me>나 누나는<br>지구에 가거나 해서 싸우는 게<br>일이잖아?"""
un_044060_0040#0,"""……뭐, 나는 둘째치고<br><%me>는 그럴지도."""
un_044060_0050#0,"""시에라는 안 가도 돼?<br>아니면 여기서 말하는 게 일이야?"""
un_044060_0060#0,"""우우, 왠지 알이 말하는 게 제가 계속<br>여기서 수다나 떨며 농땡이피운다는<br>말처럼 들려요……!"""
un_044060_0070#0,"""아니야"""
un_044060_0080#0,"""아니야?"""
un_044060_0090#0,"""나이스에요 <%me> 씨.<br>잘 들으세요~, 알.<br>제겐 제 일이 있다고요~."""
un_044060_0100#0,"""<%me> 씨, 잠깐만!<br>알이 믿어버리니까<br>제대로 해명해주세요!"""
un_044060_0110#0,"""알, 알.<br>제게는 말이죠, 저의, 저만 할 수 있는<br>일이란 게 있답니다~."""
un_044060_0120#0,"""시에라의 일?"""
un_044060_0130#0,"""제 정식 직함은<br>연산 특화 관리용 하이 캐스트에요.<br>아크스 쉽의 관리, 연산이 주된 일이죠."""
un_044060_0140#0,"""쉽 안에 사는 분들이<br>쾌적하게 지낼 수 있도록 조절하고<br>아크스 여러분께 정보를 보내고 있답니다."""
un_044060_0150#0,"""그런 걸 하고 있었구나……<br>전혀 그렇게 안 보였어."""
un_044060_0160#0,"""말 안에 가시가 느껴지네요…… 하지만<br>이래봬도 전 엄청 열심히 일한다고요.<br>에헴!"""
un_044060_0170#0,"""이러고 있는 도중에도 출격한<br>아크스가 있을 것 같은데……<br>그쪽 서포트는 안해도 되는 거야?"""
un_044060_0180#0,"""흐흥, 저를 얕보지 말아주세요.<br>그 정도의 병렬처리는 수다떨면서도<br>식은 죽 먹기. 제 특기에요."""
un_044060_0190#0,"""관리에 관련된 연산이라면<br>샤오한테도 안 지거든요~.<br>……다른 건 참패지만 말이죠."""
un_044060_0200#0,"""게다가 이렇게 여러분과 얘기하는 것도<br>제 일의 일환이에요."""
un_044060_0210#0,"""한때의 관리자…… 포토너는 사람의 마음을<br>전혀 이해하려하지 않고 장기말처럼 부렸죠.<br>그 결과는 체제의 붕괴였어요."""
un_044060_0220#0,"""사람의 마음은 연약하고 부서지기 쉬운 약점……<br>하지만 때로는 강하게 빛나는 무기가 된다."""
un_044060_0230#0,"""전 관리자지만 동시에 마음을 가진 사람이에요.<br>정보 제공 뿐 아니라 여러분과 교류해서<br>마음으로 교류하고 힘이 되고 싶어요."""
un_044060_0240#0,"""……그래서 전 수다떠는 거에요!<br>자 여러분, 저랑 잔뜩<br>쓸데없는 대화를 합시다!"""
un_044060_0250#0,"""그 마지막 말만 없었으면<br>멋지게 끝났을텐데."""
