11_voice_NPC_5162_111#0,"""뭐가 궁금한 거야?"""
text01#0,"""『블랙 냐크』가 뭐야?"""
text02#0,"""『블랙 냐크』 플레이 방법(기본편)"""
text03#0,"""『블랙 냐크』 플레이 방법(응용편)"""
text04#0,"""이 자리를 떠난다"""
text00#0,"""『블랙 냐크』에 대해"""
text01#1,"""『블랙 냐크』에 대해 설명해 줄게.<br><br>블랙 냐크는 최대 5명이 동시에<br>플레이할 수 있는 카지노 게임이야.<br><br>각 테이블의 딜러를 이기고<br>카지노 코인을 늘리는 게임이야."""
text02#1,"""손패 합계가 21점을 넘지 않도록<br><red>21점에 가깝게 만드는 게임이야<c>.<br>딜러보다 21점에 가까우면<br>승리하게 돼.<br>합계가 <red>21점을 넘으면 패배<c>가 확정되고<br>BET한 카지노 코인은 몰수돼.<br>딜러와 비기면<br>BET한 카지노 코인을 전액<br>돌려받을 수 있어.<br><br>받은 카드로 승부할지<br>카드를 더 받을지가<br>승패를 가르게 돼."""
text03#1,"""카드는 스페이드, 하트, 클럽,<br>다이아의 네 가지 슈트로 나뉘고, A부터 K까지<br>각 13장씩 총 52장과<br>스페셜 카드로 구성돼.<br><br>카드는 게임마다 셔플돼."""
text04#1,"""『카드 점수·A』<br>A/에이스는 1점이나 11점 중<br>플레이어가 원하는 값으로 선택할 수 있어.<br><br>『카드 점수·J~K』<br>J/잭, Q/퀸,<br>K/킹은 10점으로 계산해.<br><br>※딜러는 합계가 16점 이하일 때<br>반드시 카드를 뽑아.<br>17점 이상이면 보통 카드를 그만 뽑지만<br>변덕으로 한 장 더 뽑을 때도 있어.<br><br>※손패 합계가 「21」이 되면<br>자동으로 「STAY」 상태가 돼."""
text05#0,"""<red>스페셜 카드<c><br><br>주사위 눈에 따라 카드 점수가 바뀌는<br>특수 카드야.<br>스페셜 카드가 나올 때마다 주사위를<br>굴려서 카드 점수를 정해.<br>필드에 스페셜 카드가 여러 장 나오면<br>모든 주사위 눈을 더해.<br>딜러와 플레이어는<br>서로 다른 주사위를 굴려서 눈도 달라.<br><br>현재 스페셜 카드의 합계 점수는<br>화면 오른쪽 위에 표시돼."""
