name01#0,"""Сиерра"""
text01#0,"""Талис - <red>это оружие<br>метательного типа<c><br>способное атаковать врагов<br>на расстоянии."""
text02#0,"""Главной особенностью данного<br>оружия заключается в том, что<br>после броска, <red>талис остаётся<br>в воздухе на некоторое время,<br>и можно от туда использовать<br>технику<c>."""
text03#0,"""Давайте попробуем использовать<br><red>заряженную технику<c> после<br>броска талиса."""
text101#0,"""4-я задача: <yellow>Используйте технику талисом"""
train_title#0,"""4-я задача: <yellow>Используйте технику талисом"""
tut_title#0,"""Талисы"""
text100#0,"""・Обычная атака <%NormalAttack><br>・Зарядите технику <%PhotonArts><br>и разрядите её во врага."""
text100_3b#0,"""・Обычная атака <%NormalAttack><br>・Зарядите технику с помощью<br><%PhotonArts> или <%MainPaletteC>,<br>и разрядите её во врага."""
tut_win_title#0,"""Талисы"""
tut_win_text100#0,"""Это руководство по талисам.<br><br>Талис - уникальное оружие, стреляющее снарядами<br>карточного типа и использующее уникальный способ<br>активаций техники через брошенный снаряд.<br><br>Талис даёт дополнительные возможности в бою,<br>например такие, как использование техники<br>из трудодоступного места."""
