a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Trick or Treat 2020!"""
Explanation#0,"""This is an emergency notice for all ARKS.<br>We have received reports that large<br>numbers of enemies have appeared at<br>the planned Halloween venue on Lillipa.<br>Luminmechs and other powerful enemy<br>readings have been confirmed, so use of<br>defensive weapons has been authorized.<br>Secure the venue as soon as possible.<br>――――――――――――――――――――<br>Failure Conditions / Time limit runs out"""
NpcComMsg1#0,"""Everyone, we need your help!<br>A large number of enemies<br>has appeared at the location<br>that we were planning to use<br>for the Halloween event!"""
NpcComMsg2#0,"""We're picking up Darkers, Mechs<br>and even Luminmechs! And on top<br>of that, there's a powerful reading<br>coming from the final area...!"""
NpcComMsg3#0,"""However! We thought something like<br>this might happen, so we prepared<br>some powerful defensive weapons!<br>Use them to wipe the enemies out!"""
SimpleExplanation#0,"""Head to the final area!"""
