Accomplished#0,"""Завершено"""
InProgress#0,"""В процессе"""
CATEGORY_STORY#0,"""Основные"""
CATEGORY_SUB_STORY#0,"""Дополнительные"""
CATEGORY_DAILY#0,"""Ежедневные"""
CATEGORY_WEEKLY#0,"""Еженедельные"""
CATEGORY_LIMITED#0,"""Временные"""
SORT_NORMAL#0,"""Обычная сортировка"""
SORT_ASC_DATE#0,"""По дате по возрастанию"""
SORT_DESC_DATE#0,"""По дате по убыванию"""
BUTTON_BACK#0,"""Назад"""
NOT_FOUND_ANY_TASKS#0,"""На данный момент нет задач."""
NOT_FOUND_ANY_TASKS_2#0,"""Нет выполненных задач."""
NOT_FOUND_ANY_TASKS_3#0,"""Нет доступных задач."""
PLEASE_WAIT#0,"""Пожалуйста, подождите"""
FOCUS_TASK#0,"""Помощь с задачей"""
UNFOCUS_TASK#0,"""Отказаться от помощи"""
CHECK_TASK_DETAILS#0,"""Проверить инфо задачи"""
ACCEPT_TASK#0,"""Взять задачу"""
CONFIRM_ACCEPT_TASK_TITLE#0,"""Подтверждение задачи"""
CONFIRM_ACCEPT_TASK_MESSAGE#0,"""Желаете взяться за $(0)?"""
DISCARD_TASK#0,"""Отказаться"""
CONFIRM_DISCARD_TASK_TITLE#0,"""Подтверждение отмены задачи"""
CONFIRM_DISCARD_TASK_MESSAGE#0,"""Желаете отменить $(0)?<br><br><yellow>※Прогресс задачи сбросится.<c>"""
WINDOW_TITLETELOP#0,"""Задачи"""
WINDOW_CONTROLGUIDE#0,"""Принять:<%Decide>\u3000\u3000Отмена:<%Cancel>\u3000\u3000Перемещение курсора:<%NextWidget>"""
FULLSIZE_FORM_TITLE#0,"""Задачи"""
RemainingDays#0,"""Осталось $(0) день(ня/ней)"""
RemainingHour#0,"""Осталось около $(0) часа(ов)"""
RemainingMinutes#0,"""Осталось около $(0) минут(ы)"""
Task_Requester#0,"""Запрос"""
Task_Requester_None#0,"""-"""
Task_List_Tilte#0,"""Список задач"""
Accept_Task_Limit#0,"""あと$(0)件受注可能\u3000($(1)/$(2))"""
Task_Chapter_Num#0,"""$(0)章"""
FORM_TITLE#0,"""Инфо $(0)"""
REWIND_CONDITION#0,"""Повторяемость"""
TASK_OVERVIEW#0,"""Сводка"""
TASK_REWARD#0,"""Награда"""
TASK_PROGRESSES#0,"""Прогресс"""
TASK_TO_ACHIEVEMENT#0,"""Осталось"""
ITEMDETAIL_CONTROLGUIDE#0,"""Инфо награды: <%Function><pict 4space>"""
ITEMDETAIL_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>で報酬詳細\u3000\u3000<%MultiSelect><pict 4space>でミッションパス"""
ITEMDETAIL_MissionPass#0,"""*<%NextTabDetails> Mission Pass"""
BASICINFO_CONTROLGUIDE#0,"""Основное инфо: <%Function><pict 4space>"""
BASICINFO_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>で基本情報\u3000\u3000<%MultiSelect><pict 4space>でミッションパス"""
NO_REWARD_ITEM#0,"""Нет награды."""
Task_Detial_Tilte#0,"""Инфо задачи"""
TASK_PROGRESSES_2#0,"""Прогресс"""
BASIC_INFO#0,"""Основная информация"""
REWARD_INFO#0,"""Информация о награде"""
REWARD_ITEMNAME#0,"""Название предмета"""
REWARD_QUANTITY#0,"""Количество"""
TASK_DETAILS_UNSELECTED#0,"""Нет выбранных заказов."""
REWARD_QUANTITY_NUM#0,"""×$(0)"""
