BoxGacha_Top_Title#0,"""Коробка с наградой"""
BoxGacha_Top_Step#0,"""Этап $(0) (В процессе)"""
BoxGacha_Top_Step2#0,"""Этап $(0)"""
BoxGacha_Top_Step3#0,"""Этап $(0) (Петля)"""
BoxGacha_Top_Step4#0,"""Этап $(0) (В процессе/Петля)"""
BoxGacha_Top_RestGift#0,"""Оставшиеся предметы"""
BoxGacha_Top_RestGift_Num#0,"""$(0)/$(1)"""
BoxGacha_Top_SeasonName#0,"""$(0)"""
BoxGacha_Top_Ticket_Name#0,"""$(0)"""
BoxGacha_Top_Tickets_Num#0,"""$(0)枚"""
BoxGacha_Top_Period#0,"""Период"""
BoxGacha_Top_Lots_Draw#0,"""$(0) попытка(и/ок)<br>Требуется медалей: $(1)"""
BoxGacha_Top_ItemStuckNum#0,"""×$(0)"""
BoxGacha_Top_Confirm_Title1#0,"""Сообщение"""
BoxGacha_Top_Confirm_Detail#0,"""Желаете потратить $(1) медаль(и/ей),<br>чтобы получить “$(0)” предмет(а/ов)?"""
BoxGacha_Top_Confirm_Decide#0,"""Да"""
BoxGacha_Top_Confirm_Cancel#0,"""Нет"""
BoxGacha_Top_AllComplete#0,"""Все полученные предметы"""
BoxGacha_Result_Title#0,"""Предмет(ы) получены"""
BoxGacha_Result_Detail#0,"""Получены следующие предметы:"""
BoxGacha_Result_End#0,"""Закрыть"""
BoxGacha_Guide#0,"""Принять: <%Decide>\u3000\u3000Отменить: <%Cancel>\u3000\u3000Для выбора: <%NextWidget>"""
BoxGacha_Notice1#0,"""Все предметы получены.<br>Переходим к $(0) этапу."""
BoxGacha_Notice2#0,"""Все предметы получены.<br>Можете попробовать текущий этап<br>ещё раз, не продвигаясь вперёд."""
BoxGacha_Notice3#0,"""Получены все награды текущей коробки."""
Title#0,"""Сообщение"""
EmergencyStopClose#0,"""Выбранная функция сейчас не доступна<br>из-за проблем. С доп. информацией<br>можете ознакомиться на официальном<br>сайте."""
MatchingClose#0,"""Недоступно во время подбора.<br>Закрываем коробку с наградой."""
OtherErrorClose#0,"""Произошла непредвиденная ошибка.<br>Закрываем коробку с наградой."""
NoTicket#0,"""Недостаточно медалей.<br>Повторите попытку, когда у вас<br>будут медали."""
NotEnoughTicket#0,"""Недостаточно медалей.<br>Повторите попытку, когда у вас<br>будут медали."""
NoSpaceInWarehouse#0,"""Недостаточно свободного места.<br>Освободите место для получения награды."""
NotEnoughSpaceInWarehouse#0,"""Недостаточно свободного места.<br>Освободите место для получения награды."""
OutOfStock#0,"""Все награды этого этапа уже получены."""
NotEnoughStock#0,"""Недостаточно наград для этого."""
Matching#0,"""Недоступно во время подбора."""
OtherError#0,"""Произошла непредвиденная ошибка."""
UseItem#0,"""アイテムが使用できませんでした。"""
UnexpetedClose#0,"""Произошла непредвиденная ошибка.<br>Закрываем коробку с наградой."""
