Param_Value#0,"""$(0)"""
Param_Percent#0,"""$(0)％"""
Param_MaxValue#0,"""（МАКС. $(0)）"""
Param_MaxValue_Limit#0,"""<bright_orange>（МАКС. $(0)）<c>"""
Param_MaximumValue#0,"""（МАКС. $(0)）"""
Param_MaximumValue_Limit#0,"""<bright_orange>（МАКС. $(0)）<c>"""
Param_ComparePlus#0,"""<light_orange2>＋$(0)<c>"""
Param_ComparePlus_Percent#0,"""<light_orange2>＋$(0)％<c>"""
Param_CompareMinus#0,"""<vivid_cyan2>－$(0)<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
Label_Slash#0,"""/"""
Label_Hyphen#0,"""－"""
Label_WavyLine#0,"""～"""
Label_Rarity#0,"""Редкость"""
Label_AttackPower#0,"""Атака"""
Label_Defense#0,"""Защита"""
Label_HP#0,"""HP"""
Label_PP#0,"""PP"""
Label_AttackElement#0,"""Атрибут"""
Label_Resist_Damage#0,"""Сопрот-е урону"""
Label_Resist_Element#0,"""Сопрот-е атрибуту"""
Label_Resist_Fire#0,"""Сопрот-е огню"""
Label_Resist_Ice#0,"""Сопрот-е льду"""
Label_Resist_Thunder#0,"""Сопрот-е молнии"""
Label_Resist_Wind#0,"""Сопрот-е ветру"""
Label_Resist_Light#0,"""Сопрот-е свету"""
Label_Resist_Dark#0,"""Сопрот-е тьме"""
Label_EquipClass#0,"""Доступно классу"""
Label_EquipNeed#0,"""Условие экипировки"""
Param_Level_Need#0,"""$(0) ур."""
Param_Level_Now#0,"""（Сейчас $(0) ур.）"""
Label_Trade#0,"""Торговля"""
Label_Trade_OK#0,"""Подлежит торговле"""
Label_Trade_NG#0,"""<pict unavailable_t>Нельзя торговать"""
Label_Trade_Ownered#0,"""<pict register_owner>Владелец зарегистрирован"""
Label_Grind#0,"""Ур. заточки"""
Label_Element#0,"""Особые способности"""
Label_BonusElement#0,"""Фактор особой способности"""
Label_SpecialElement#0,"""S-классовая способность"""
Label_SpecialElement_Supported#0,"""Соответствующий тип"""
Label_Potential#0,"""Потенциал"""
Label_Potential_1#0,"""1-й потенциал"""
Label_Potential_2#0,"""2-й потенциал"""
Label_Potential_3#0,"""3-й потенциал"""
Label_DamageBlur#0,"""Корекц-я урона"""
Label_DamageBlur_Under#0,"""Мин. корекц-я урона"""
Label_DamageBlur_Limit#0,"""Макс. корекц-я урона"""
Label_AttackSpeed#0,"""Скорость атаки"""
Label_AttackRange#0,"""Дальность атаки"""
Label_SetEffect#0,"""Эффект комплекта"""
Label_SetEffect_1#0,"""1-й эффект комплекта"""
Label_SetEffect_2#0,"""2-й эффект комплекта"""
Label_SetEffect_3#0,"""3-й эффект комплекта"""
Label_TraceItem#0,"""Исходная форма оружия"""
Label_MultiWeapon#0,"""Мульти-оружие"""
Label_Lowest_ListingAmount#0,"""Минимальная цена продажи"""
Label_Add_HpPp#0,"""Доп. HP/PP"""
Label_RaceSex#0,"""Раса (пол)"""
Label_CostumeColor#0,"""Цвет"""
Label_CostumeGauge#0,"""Привязанность"""
Label_SG_Received#0,"""Получено SG"""
Label_EffectTime#0,"""Продолжительность эффекта"""
Label_ExpirationDate#0,"""Срок истекает"""
Label_UndecidedExpirationDate#0,"""Определится после покупки"""
Label_ConsumptionPP#0,"""Треб.PP"""
Label_Power#0,"""Сила"""
Label_CostumeFixityColor#0,"""Фикс-й цвет"""
Label_WeaponRise#0,"""Улучш-е оружия"""
Labal_Resist_Condition#0,"""Сопротивление состояниям"""
item_RebootAttackUp_1#0,"""Сила +18%"""
item_RebootAttackUp_2#0,"""Сила +20%"""
item_RebootAttackUp_3#0,"""Сила +23%"""
item_RebootAttackUp_4#0,"""Сила +26%"""
item_RebootAttackUp_5#0,"""Сила +29%"""
item_RebootDamageReduction_4#0,"""Сила +26%<br>Сопрот-е урону +10%"""
item_AtpDam_1#0,"""Сила +18%<br>Сопрот-е урону +10%"""
item_AtpDam_2#0,"""Сила +20%<br>Сопрот-е урону +10%"""
item_AtpDam_3#0,"""Сила +23%<br>Сопрот-е урону +10%"""
item_AtpDam_4#0,"""Сила +26%<br>Сопрот-е урону +10%"""
item_AtpDam_5#0,"""Сила +29%<br>Сопрот-е урону +10%"""
item_AtpPpRed_1#0,"""Сила +18%<br>Расход РР -10%"""
item_AtpPpRed_2#0,"""Сила +20%<br>Расход РР -10%"""
item_AtpPpRed_3#0,"""Сила +23%<br>Расход РР -10%"""
item_AtpPpRed_4#0,"""Сила +26%<br>Расход РР -10%"""
item_AtpPpRed_5#0,"""Сила +29%<br>Расход РР -10%"""
item_SuperArmor_1#0,"""Сила +19%／<br>Предотвращение отбрасывания<br>при максимальном НР"""
item_SuperArmor_2#0,"""Сила +21%／<br>Предотвращение отбрасывания<br>при максимальном НР"""
item_SuperArmor_3#0,"""Сила +24%／<br>Предотвращение отбрасывания<br>при максимальном НР"""
item_SuperArmor_4#0,"""Сила +27%／<br>Предотвращение отбрасывания<br>при максимальном НР"""
item_SuperArmor_5#0,"""Сила +30%／<br>Предотвращение отбрасывания<br>при максимальном НР"""
