Window_Titletelop_WeeklyRanking#0,"""Случайная запись события"""
Window_TwolineGuide_WeeklyRanking#0,"""Здесь можно проверить инфо хранящегося сейчас Рекорда ARKS."""
Window_Title_Main#0,"""Инфо Рекордов ARKS"""
Window_Title_RankingList#0,"""Список рекордов"""
Window_Title_ClearInfo#0,"""Инфо прохождения"""
Window_Title_RewardDetail#0,"""Инфо награды"""
RankingList_Headline_Open#0,"""Текущая сессия"""
RankingList_Headline_Notice#0,"""Предстоящая сессия"""
RankingList_Headline_Archive#0,"""Закончилось"""
RankingList_Headline_All#0,"""Показать всё"""
RankingList_StartDate#0,"""Началось: $(0)<br>$(1)"""
RankingList_StartDate_All#0,"""Началось: $(0) ($(1))<br>$(2)"""
RankingList_Open_Description#0,"""Нет рекордов для отображения."""
RankingList_Notice_Description#0,"""Нет рекордов для отображения."""
RankingList_Archive_Description#0,"""Нет рекордов для отображения."""
RankingList_Loading#0,"""Загрузка списка рекордов..."""
Main_Headline_TitleName#0,"""Имя рекорда"""
Main_Headline_Category#0,"""Категория"""
Main_Headline_Description#0,"""Подробности"""
Main_Headline_Period_Open#0,"""Период активности"""
Main_Headline_Period_Notice#0,"""Дата начала"""
Main_Headline_Period_Close#0,"""Дата/время"""
Main_Headline_MyRank_Open#0,"""Текущий рекорд (Обновляется ежедневно: $(0))"""
Main_Headline_MyRank_Close#0,"""Предыдущий рекорд"""
Main_Headline_Reward#0,"""Награда за участие"""
Main_Headline_Reward_Description#0,"""Доступные награды будут меняться в зависимости от финального статуса."""
Main_Headline_TopRank_Open#0,"""Текущий ТОП (Показано до $(0))"""
Main_Headline_TopRank_Close#0,"""ТОП рейтингов (Показано до $(0))"""
MyRank_Description#0,"""Вы ещё не приседенились к Рекордам ARKS.<br>Для участия сыграйте в указанный конетент."""
TopRank_Description#0,"""Инфо ТОПа рейтингов недоступна.<br>(Обновляется ежедневно $(0) после первого дня)"""
Reward_ControlGuide#0,"""Проверить ТОП: <%Function>"""
TopRank_ControlGuide#0,"""Проверить вашу награду: <%Function>"""
TabButton_Class_All#0,"""Все классы"""
Ranking_Period_Open#0,"""С $(1) до<br>$(0)"""
Ranking_Period_Notice#0,"""Начнётся в $(0)"""
Ranking_Period_Notice_Soon#0,"""Скоро начало."""
Ranking_Period_Close#0,"""Закончится в $(0)"""
Rank_Name_Tier1#0,"""Золото"""
Rank_Name_Tier2#0,"""Серебро"""
Rank_Name_Tier3#0,"""Сбронза"""
RewardDetail_Headline1#0,"""Подробности награды"""
RewardDetail_Headline2#0,"""Награды"""
Window_Titletelop_TeamtaskRanking#0,"""Рекорды задач команды"""
Window_TwolineGuide_TeamtaskRanking#0,"""Можно проверить подробную информацию о текущих рейтингах команды."""
Ranking_Reward_Nmeseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Ranking_Reward_StarGem#0,"""$(0)<pict 4space><pict StarGem>"""
Ranking_Reward_Item#0,"""$(0)"""
Ranking_Reward_Item_Num#0,"""$(1) x $(0)"""
Ranking_Reward_Other#0,"""$(0)\u3000в т.ч. ниже"""
ScoreCategory#0,"""$(0)/$(1)"""
Main_Headline_MyRank_Best#0,"""Текущий лучший рекорд"""
Main_Headline_MyRank_Update#0,"""<yellow>Обновить лучший рекорд<c>"""
ScoreDisplay_Best#0,"""<yellow>$(0)<c>"""
ScoreDisplay_Max#0,"""<pure_orange>$(0)<c>"""
ScoreDisplay_Star#0,"""★"""
ScoreDisplay_TimeSS#0,"""$(0):$(1).$(2)"""
Main_Headline_UpdateTime_Open#0,"""Подсчёт: ---"""
Main_Headline_UpdateTime#0,"""Подсчёт: $(0)"""
Main_Headline_UpdateTime_Close#0,"""Окончание подсчёта: $(0)"""
ScoreCategory_Score#0,"""Счёт"""
ScoreCategory_ClearTime#0,"""Время прохождения"""
ScoreCategory_Score_and_ClearTime#0,"""Счёт/Время прохождения"""
ScoreCategory_Mission_Success_Level#0,"""Успех уровня"""
ScoreCategory_ClearTime2#0,"""Время прохождения"""
ScoreCategory_Clear_Difficulty_Multiplier#0,"""Множитель сложности"""
ScoreCategory_Teamtask_Name#0,"""Имя команды"""
ScoreCategory_Teamtask_Score#0,"""Счёт"""
ScoreList_RecruitMembers#0,"""Поиск членов"""
WeeklyRanking_Category_Score#0,"""На корабль: Рекорд за класс"""
WeeklyRanking_Category_ClearTime#0,"""На корабль: Рекорд времени за класс"""
WeeklyRanking_Category_Score_AllClasses#0,"""На корабль: Общий по счёту"""
WeeklyRanking_Category_ClearTime_AllClasses#0,"""На корабль: Общий по времени прохождения"""
WeeklyRanking_Category_Mission_AllClasses#0,"""На корабль: Общий по рекорду миссии"""
WeeklyRanking_Quest_Description#0,"""Выполняйте квесты и<br>повышайте свой ранг!"""
WeeklyRanking_Trial_Description#0,"""Выполняйте Trial'ы и<br>повышайте свой ранг!"""
WeeklyRanking_Description_Trinites_Solo#0,"""Пройдите указанный тринитес трениа<br>в одичноку."""
WeeklyRanking_Description_Trinites_Party#0,"""Пройдите указанный тринитес трениа<br>в группе 2+."""
WeeklyRanking_Description_Trinites_R2_Solo#0,"""Пройдите указанный тринитес трениа<br>в одичноку."""
WeeklyRanking_Description_Trinites_R2_Party#0,"""Пройдите указанный тринитес трениа<br>в группе 2+."""
WeeklyRanking_Description_Goalgetter_Solo#0,"""Пройдите указанный продвинутый трениа<br>бункер Type.1 в одиночку."""
WeeklyRanking_Description_Goalgetter_Party#0,"""Пройдите указанный продвинутый трениа<br>бункер Type.1 в группе 2+."""
WeeklyRanking_Description_FieldRace#0,"""Пройдите указанную гонку в области<br>в одиночку."""
WeeklyRanking_Description_Cocoon#0,"""Пройдите указанный кокон трениа в одиночку<br>или в группе 2+."""
WeeklyRanking_Description_Cocoon_Mission_Solo#0,"""Пройдите указанный кокон трениа квест<br>в одиночку."""
WeeklyRanking_Teamtask_Description#0,"""Слаженно выполняйте задачи команды, чтобы<br>заработать лучшую награду.<br><yellow>※Для подачи заявки на вступление -> <pict party_request>.<c>"""
WeeklyRanking_Title_Trinites#0,"""Геометрический Лабиринт:<br>В одиночку"""
WeeklyRanking_Title_Minigame1#0,"""Забег на юге Эарио （Этап.1）：<br>В одиночку"""
