Date#0,"""$(0).$(1).$(2)"""
Date_v#0,"""$(2)/$(1)/$(0)"""
January#0,"""1"""
February#0,"""2"""
March#0,"""3"""
April#0,"""4"""
May#0,"""5"""
June#0,"""6"""
July#0,"""7"""
August#0,"""8"""
September#0,"""9"""
October#0,"""10"""
November#0,"""11"""
December#0,"""12"""
Date_NoYear#0,"""$(1)/$(0)"""
Sunday#0,"""Вск"""
Monday#0,"""Пн"""
Tuesday#0,"""Вт"""
Wednesday#0,"""Ср"""
Thursday#0,"""Чт"""
Friday#0,"""Пт"""
Saturday#0,"""Сб"""
Short_January#0,"""1"""
Short_February#0,"""2"""
Short_March#0,"""3"""
Short_April#0,"""4"""
Short_May#0,"""5"""
Short_June#0,"""6"""
Short_July#0,"""7"""
Short_August#0,"""8"""
Short_September#0,"""9"""
Short_October#0,"""10"""
Short_November#0,"""11"""
Short_December#0,"""12"""
TimeCountSec#0,"""$(0) сек"""
TimeCount#0,"""$(0):$(1)"""
TimeCountHour#0,"""$(0):$(1):$(2)"""
TimeHour#0,"""$(0)ч. $(1)мин."""
TimeHourJust#0,"""$(0)ч."""
TimeDayOfHour#0,"""$(1)$(0)"""
Time#0,"""$(0)ч. $(1)мин."""
TimeSec#0,"""$(0)ч. $(1)мин. $(2)сек."""
UtcYmdt_MonthDay#0,"""$(0).$(3) $(1):$(2)"""
UtcYmdt_YearMonthDay#0,"""$(0).$(3).$(4) $(1):$(2)"""
DateTime#0,"""$(0).$(3).$(4) $(1):$(2)"""
DateTime_v#0,"""$(4)/$(3)/$(0) $(1):$(2)"""
DateTimeSec#0,"""$(0).$(3).$(5) $(1):$(2):$(4)"""
DateTimeSec_v#0,"""$(5)/$(3)/$(0) $(1):$(2):$(4)"""
EmptyDateTime#0,"""--年--月--日--時--分"""
Period#0,"""$(0): $(1) мин."""
PeriodMin#0,"""$(0) мин."""
PeriodDay#0,"""$(0)д, $(1)ч, $(2)мин"""
LeaveHour#0,"""$(0): $(1) мин."""
LeaveMin#0,"""$(0) мин."""
LeaveDay#0,"""$(0)д, $(1)ч, $(2)мин"""
hyphen#0,"""--"""
LeaveTime#0,"""ещё $(0)"""
LeaveDayOnly#0,"""$(0)д."""
LeaveHourOnly#0,"""$(0)ч."""
