Title_DeadMenu#0,"""Меню небоеспособности"""
Label_Return#0,"""Вернуться на челнок"""
Label_Revival#0,"""Восстановиться здесь"""
Title_Return#0,"""Вернуться на челнок"""
Message_Return#0,"""Возвращаемся на челнок.<br>Вы уверены?"""
Message_Return_NoReward#0,"""Возвращаемся на челнок.<br>Вы уверены?<br><br><red>※Вернувшись на челнок, вы<br>не получите награды.<c>"""
Title_Revival#0,"""Восстановиться здесь"""
Message_Revival#0,"""Восстанавливаемся здесь.<br>Вы уверены?"""
Message_Revival_NoReward#0,"""Восстанавливаемся здесь.<br>Вы уверены?<br><br><red>※Восстановившись здесь, вы<br>не получите награды.<c>"""
Message_ReturnFailure#0,"""На данный момент возвращение на челнок невозможно. """
Message_RevivalFailure#0,"""На данный момент восстановление невозможно."""
Label_Failure#0,"""Уход с квеста"""
Message_Failure#0,"""Покидаем квест.<br>Вы уверены?"""
Label_FailurePartyExit#0,"""Уход с квеста (выход из группы)"""
Message_FailurePartyExit#0,"""Покидаем квест и выходим из группы.<br>Вы уверены?"""
Label_Chat#0,"""Чат"""
Label_UseHalf#0,"""Использовать Half Scape Doll"""
Title_HalfDollUse#0,"""Использование Half Scape Doll"""
Message_HalfDollUse#0,"""Восстанавливаемся с помощью Half Scape Doll.<br>Вы уверены?<br><br><yellow>※Half Scape Doll можно использовать ещё $(1) (раз(а)).<br>По возвращении на челнок количество использований вернётся в норму.<c><br>（В наличии: $(0)）"""
Message_HalfDollNotRemain#0,"""Half Scape Doll нельзя использовать, так как была использована уже $(1) раз(а).<br><br><yellow>※По возвращении на челнок количество использований вернётся к $(2).<c><br>（В наличии: $(0)）"""
Message_HalfDollNotHave#0,"""Восстановление невозможно по причине отсутствия Half Scape Doll.<br><br><yellow>※При использовании Half Scape Doll<br>можно восстановиться до $(0) раз(а).<br>Количество использований восстановится после возвращения на челнок.<c>"""
Message_CanNowUseHalfDoll#0,"""Восстановлено количество использований Half Scape Doll."""
Message_Revive_count#0,"""Авто-восстановление через 10 секунд"""
Message_Revive_count_5#0,"""Авто-восстановление через 5 секунд"""
Message_Revive_count_Time#0,"""Авто-восстановление через $(0) секунд"""
Title_RetryConform#0,"""Меню повтора"""
Label_Retry#0,"""Повторить"""
Title_RetrySelect#0,"""Повтор"""
Message_Retry#0,"""Желаете повторить квест?<br><br><red>※Квест сбросится до начального состояния.<c>"""
FastTravelTerminal_Revival#0,"""Возвращение к устройству Рюкера"""
FastTravelTerminal_Revival_NoReward#0,"""Возвращаемся к устройству Рюкера.<br>Вы уверены?"""
FastTravelTerminal_Revival_NoReward_name#0,"""Возвращение к устройству Рюкера:<br>$(0).<br>Вы уверены?"""
Central_Revival#0,"""Возвращение в Централ-Сити"""
