NoLimit#0,"""Без ограничений"""
LimitedByAccount#0,"""$(0) раз(а) на аккаунт"""
LimitedByCharacter#0,"""$(0) раз(а) на персонажа"""
template_enemy#0,"""Одолеть: $(1) $(0)"""
template_CollisionAccess#0,"""Отправиться: %(CollisionId)"""
template_GatheringPlayed#0,"""Собрать %(num) %(ObjectId)"""
template_NpcTalk#0,"""Поговорить с %(NpcId)"""
template_QuestClear#0,"""Пройти %(QuestNo)"""
template_EnemyKill#0,"""Одолеть %(num) %(EnemyName)"""
location_guide_arrival#0,"""Вы вошли в область выполнения задачи “$(0)”"""
location_guide_leave#0,"""Вы покинули область выполнения задачи “$(0)”"""
recommend_focus_main_task#0,"""Вы получили запрос на новую задачу.<br>Войдите в меню задач для использования помощи."""
acquired_reward_items#0,"""Получена награда"""
discarded_task#0,"""Прервана задача: “$(0)”"""
discarded_task_error#0,"""Не удалось прервать задачу: “$(0)”"""
subobjective_progress_fifty_percent#0,"""Цель “$(0)” достигнута на 50%"""
subobjective_progress_eighty_percent#0,"""Цель “$(0)” достигнута на 80%"""
subobjective_appeared#0,"""Доступна новая цель: “$(0)”"""
subobjective_achieved#0,"""Достигнута цель: “$(0)”"""
multi_tasks_accepted#0,"""Вы взялись за несколько задач разом"""
task_accepted#0,"""Вы взялись за задачу: “$(0)”"""
focused_task#0,"""Отображена информация о задаче: “$(0)”"""
focused_task_error#0,"""Не удалось отобразить информацию о задаче: “$(0)”"""
cancelled_focus_task#0,"""Отключена вспомогательная информация о задаче: “$(0)”"""
cancelled_focus_task_error#0,"""Не удалось отключить вспомогательную<br>информацию о задаче: “$(0)”"""
accomplished_task#0,"""Задача “$(0)” успешно выполнена"""
accepted_task_error#0,"""Не удалось выполнить задачу “$(0)”"""
quest_focus_task_cannot#0,"""Нельзя переключить информацию о задании во время квеста."""
task_unknown_error#0,"""Неизвестная ошибка."""
task_order_expired#0,"""Нельзя продолжить так как срок действия задачи истёк."""
task_order_restrictions_error#0,"""受注上限を超えているので受注できません。"""
task_order_unfulfilled#0,"""未達成の期間限定タスクが残っています。"""
