extra_assign#0,"""exq_$(0)"""
exq_EnemyAtkDown_010#0,"""Атака -10%"""
exq_EnemyAtkDown_020#0,"""Атака -20%"""
exq_EnemyAtkDown_030#0,"""Атака -30%"""
exq_EnemyAtkDown_040#0,"""Атака -40%"""
exq_EnemyAtkDown_050#0,"""Атака -50%"""
exq_EnemyAtkDown_060#0,"""Атака -60%"""
exq_EnemyAtkDown_070#0,"""Атака -70%"""
exq_EnemyAtkDown_080#0,"""Атака -80%"""
exq_EnemyAtkDown_090#0,"""Атака -90%"""
exq_EnemyAtkUp_010#0,"""Атака +10%"""
exq_EnemyAtkUp_020#0,"""Атака +20%"""
exq_EnemyAtkUp_030#0,"""Атака +30%"""
exq_EnemyAtkUp_040#0,"""Атака +40%"""
exq_EnemyAtkUp_050#0,"""Атака +50%"""
exq_EnemyAtkUp_060#0,"""Атака +60%"""
exq_EnemyAtkUp_070#0,"""Атака +70%"""
exq_EnemyAtkUp_080#0,"""Атака +80%"""
exq_EnemyAtkUp_090#0,"""Атака +90%"""
exq_EnemyAtkUp_100#0,"""Атака 100%"""
exq_EnemyAtkUp_200#0,"""Атака +200%"""
exq_EnemyAtkUp_300#0,"""Атака +300%"""
exq_EnemyAtkUp_400#0,"""Атака +400%"""
exq_EnemyAtkUp_500#0,"""Атака +500%"""
exq_EnemyDefDown_010#0,"""Защита -10%"""
exq_EnemyDefDown_020#0,"""Защита -20%"""
exq_EnemyDefDown_030#0,"""Защита -30%"""
exq_EnemyDefDown_040#0,"""Защита -40%"""
exq_EnemyDefDown_050#0,"""Защита -50%"""
exq_EnemyDefDown_060#0,"""Защита -60%"""
exq_EnemyDefDown_070#0,"""Защита -70%"""
exq_EnemyDefDown_080#0,"""Защита -80%"""
exq_EnemyDefDown_090#0,"""Защита -90%"""
exq_EnemyDefUp_010#0,"""Защита +10%"""
exq_EnemyDefUp_020#0,"""Защита +20%"""
exq_EnemyDefUp_030#0,"""Защита +30%"""
exq_EnemyDefUp_040#0,"""Защита +40%"""
exq_EnemyDefUp_050#0,"""Защита +50%"""
exq_EnemyDefUp_060#0,"""Защита +60%"""
exq_EnemyDefUp_070#0,"""Защита +70%"""
exq_EnemyDefUp_080#0,"""Защита +80%"""
exq_EnemyDefUp_090#0,"""Защита +90%"""
exq_EnemyHpUp_10#0,"""*HP +10%"""
exq_EnemyHpUp_20#0,"""*НР +20%"""
exq_EnemyHpUp_30#0,"""*HP +30%"""
exq_EnemyHpUp_40#0,"""*НР +40%"""
exq_EnemyHpUp_50#0,"""*HP +50%"""
exq_EnemyHpUp_60#0,"""*НР +60%"""
exq_EnemyHpUp_70#0,"""*HP +70%"""
exq_EnemyHpUp_80#0,"""*HP +80%"""
exq_EnemyHpUp_90#0,"""*HP +90%"""
exq_EnemyHpUp_100#0,"""*HP +100%"""
exq_EnemyHpUp_200#0,"""*HP +200%"""
exq_EnemyHpUp_300#0,"""*HP +300%"""
exq_EnemyHpUp_400#0,"""*HP +400%"""
exq_EnemyHpUp_500#0,"""*HP +500%"""
exq_EnemyHpDown_10#0,"""*HP -10%"""
exq_EnemyHpDown_20#0,"""*HP -20%"""
exq_EnemyHpDown_30#0,"""*HP -30%"""
exq_EnemyHpDown_40#0,"""*HP -40%"""
exq_EnemyHpDown_50#0,"""*HP -50%"""
exq_EnemyHpDown_60#0,"""*HP -60%"""
