DetailsFormTitle#0,"""Подробности Mission Pass"""
GoToArksMission#0,"""<%Function>: Задачи"""
GoToArksMission_Key#0,"""<%MultiSelect>: Задачи"""
GoToReward#0,"""<%Function>: Подробности награды"""
GoToReward_Key#0,"""[Ctrl]＋[Tab]: Подробности награды"""
EndDateAndTime#0,"""Конец: <utcymdt>$(0)</utcymdt>"""
Receipt_periodAndTime#0,"""Конец: <utcymdt>$(0)</utcymdt>"""
StarGaugeNum#0,"""$(0) / $(1)"""
TierButtonLabel#0,"""Покупка уровня"""
TierTitle#0,"""Уровень"""
AndMoreLabel#0,"""and more"""
TierPurchaseFormTitle#0,"""Подтверждение покупки уровня"""
ConfirmText#0,"""Выберите количество уровней для покупки.<br>Цена за 1 уровень: $(0) <pict StarGem>"""
NeedAcText#0,"""Необходимо SG"""
HaveAcText#0,"""В наличии SG"""
DecidedText#0,"""Подтвердить"""
CancelText#0,"""Отменить"""
YesText#0,"""Да"""
NoText#0,"""Нет"""
RewardAcceptanceFormTitle#0,"""Получение наград"""
RewardAcceptanceFormMessage#0,"""Выберите награду, которую хотите получить.<br><br><yellow>※Убедитесь перед выбором предметов,<br>что можете использовать их.<c>"""
RewardConfirmationFormTitle#0,"""Подробности награды"""
RewardReceiptFormAcceptanceTitle#0,"""Подтверждение получения"""
RewardReceiptFormAcceptanceMessage#0,"""Вы получите предмет(ы) ниже.<br>Это те предметы, которые вам нужны?<br><yellow>※Обратите внимание, что вы не можете<br>обменять эти награды на другие<br>предметы, даже если позже обнаружите,<br>что не можете использовать их.<br>※Вы можете получить эти награды только<br>один раз на аккаунт.<br>※Пожалуйста, обратите внимание на то,<br>на каком корабле вы их получите.<c>"""
RewardReceiptFormPurchaseTitle#0,"""Подтверждение покупки"""
RewardReceiptFormPurchaseMessage#0,"""Приобретение следующих предметов:<br>$(2)$(0). Вы уверены?<br><br>(SG в наличии: $(1))"""
RewardReceiptFormTierPurchaseMessage#0,"""Приобретение следующих предметов:<br>$(2)$(0). Вы уверены?<br><br>(SG в наличии: $(1))<br>Уровень перед покупкой: $(3)<br>Уровень после покупки: $(4)"""
LimitedTimeMessage#0,"""$(0)<br>\u3000<br>Срок: <utcymdt>$(1)</utcymdt>"""
RewardUpTicketFormTitle#0,"""Подтверждение покупки предмета"""
RewardUpTicketFormMessage#0,"""<pict StarGem><c 1dedd7>Требуется плата SG<c><br>Либо у вас нет разрешения на использование<br>выбранной функции, либо вам доступ истёк.<br><br>Вы можете приобрести<br><yellow>Билет: Mission Pass Gold<c><br>чтобы немедленно активировать эту функцию.<br>Приступить к покупке?<br><br><red>※Билеты для разблокировки можно приобрести<br>в магазине SG главного меню.<c>"""
RewardGetEffectTitle#0,"""Награда получена"""
ExtraModeStratLineMessage#0,"""Достигнут максимальный уровень. Разблокировка сверх-режима."""
TierUpToastMessage#0,"""Повышен уровень Mission Pass Tier."""
ShopTitle#0,"""МО: Mission Badge"""
PurchaseTierItemName#0,"""Уровень x $(0)"""
PurchaseGoldPassItemName#0,"""Билет: Mission Pass Gold $(0) шт"""
RewardItemName#0,"""$(0)×$(1)"""
TierBuyToastMessage#0,"""Завершено приобретение уровня."""
GoldPassBuyToastMessage#0,"""Завершено приобретение Билета: Mission Pass Gold"""
DefaultSeasonTitle#0,"""Название сезона"""
GoldPassInfoMessage#0,"""Gold награды необходимо разблокировать с помощью Билет: Mission Pass Gold."""
GoldPassInfoMessage2#0,"""Разблокированы Gold награды."""
ErrorMessageTitle#0,"""Сообщение"""
ErrorMessageTitle2#0,"""*Mission Pass"""
ErrorMessageTierBuy#0,"""Не удалось приобрести уровень."""
