YesText#0,"""Да"""
NoText#0,"""Нет"""
CloseText#0,"""Закрыть"""
OpenText#0,"""Открыть"""
MaxText#0,"""Максимум"""
MinText#0,"""Минимум"""
Sort#0,"""Сортировать"""
Copy#0,"""Копировать"""
Peaste#0,"""Вставить"""
NextText#0,"""Следующий"""
PrevText#0,"""Предыдущий"""
DecideText#0,"""Принять"""
CancelText#0,"""Отмена"""
OKText#0,"""OK"""
ReturnText#0,"""Вернуться"""
TitleText#0,"""Сообщение"""
CheckText#0,"""Не показывать это окно снова."""
NoneText#0,"""Отсутствует"""
Preview#0,"""Превью"""
SimplePreview#0,"""Обычное превью"""
Skip#0,"""Вы уверены что хотите пропустить<br>сцену до ближайшего выбора?"""
SkipMovie#0,"""Вы собираетесь остановить видео.<br><br>Хотите продолжить?"""
SymbolArt_BANtext#0,"""Невозможно сохранить Символ Арт."""
BlockBurstIntoNG#0,"""Вы не можете присоединиться к группе потому что статус группы изменился."""
TimeText#0,"""$(0)мин.,$(1),$(2)"""
NumItem#0,"""$(0) $(1)инд."""
NumItem2#0,"""$(0) ×$(1)"""
Bracket#0,""" （$(0)）"""
SquareBracket#0,"""「$(0)」"""
ErrorResetAmCoinWithoutWarning#0,"""Невозможно перевести в монеты казино так как исчерпан лимит."""
Ranking#0,"""$(3) $(2) ранг: $(1) $(0)"""
RankingVita#0,"""$(3) $(2) ранг: $(1) $(0) PS Vita блок"""
VolcanoClearTime#0,"""Время прохождения: $(0)"""
Contribution#0,"""Всего очков получено: $(0)<pict Target_CP>"""
SkipNaviKey#0,"""Нажмите <yellow>клавишу [Esc]<c> чтобы пропустить"""
SkipNaviButton#0,"""Нажмите <yellow>клавишу<c> <%AllWindowClose> <yellow><c>чтобы пропустить"""
BoostLevelUp#0,"""Уровень бонуса связанных квестов повысился до $(0)!<br>Новые эффекты доступны в соответствующих квестах!"""
PreviewZoom#0,"""（Параллельное движение: переключение <%Exception>）"""
PreviewZoom_mouse#0,"""（Параллельное движение: переключение <pict mouse_right>）"""
PreviewMove#0,"""（Вращение/Zoom： переключение <%Exception>）"""
PreviewMove_mouse#0,"""（Вращение/Zoom： переключение <pict mouse_right>）"""
ErrorMackQuest#0,"""Невозможно начать, поскольку не все члены группы на квесте."""
ErrorIgnoreQuest#0,"""На данный момент этот квест не доступен. Для подробностей, пожалуйста, проверьте игровой сайт pso2.jp ."""
BlockType_01#0,"""Блоки PSO2"""
BlockType_02#0,"""Блоки PSO2:NGS"""
Hyphen#0,"""‐"""
All#0,"""Всё"""
FreeSgScratch#0,"""Сегодня вам доступна одна<br>бесплатная попытка в SG лотерее.<br>Перейти к окну лотереи?"""
BlockMoveFailure#0,"""Не удалось сменить блок."""
BlockadeMsg_Title1#0,"""Информация"""
BlockadeMsg_Text1#0,"""Данный объект сейчас недоступен.<br>Подробнее с причинами можете ознакомиться на игровом сайте."""
SimpleTimeText#0,"""$(0)：$(1)"""
Lupe_TextStart#0,"""Режим лупы активирован."""
Lupe_TextEnd#0,"""Режим лупы отключен."""
Lupe_TextTerminate1#0,"""機能割当が変更されたため、拡大鏡モードを終了しました。"""
Lupe_TextTerminate2#0,"""設定が変更されたため、拡大鏡モードを終了しました。"""
Lupe_ControlGuide#0,"""Управление: <swguidetype CursorMove>\u3000\u3000Зум: <swguidetype Zoom>\u3000\u3000Выход из режима лупы: $(0)+$(1)"""
NotReceptQuestPartyGuest#0,"""Нельзя взять квест, так как вы не лидер группы."""
NotFoundQuestSearch#0,"""Согласно вашим критериям, не найдено ни одного квеста."""
CantStartQuestCapacityOverRoom#0,"""Нельзя принять участие, так как превышено количество игроков в комнате."""
NotFoundPartyList#0,"""Группа не найдена."""
CantStartQuestCapacityOverParty#0,"""Нельзя принять участие, так как превышено количество игроков в группе."""
PasswordNG#0,"""Неверный пароль."""
BurstIntoNG#0,"""Участие ограничено квестом."""
CautionQuestEnd#0,"""Нельзя принять участие, так как квест завершён."""
CantStartQuestTimeLimitOver#0,"""Срок принятия квеста истёк."""
CautionQuestReleaseNG#0,"""Нельзя принять участие в данном квесте."""
CautionRoomDelete#0,"""Нельзя присоедениться, так как комнаты не существует."""
CautionBlockMoveNG#0,"""Не удалось сменить блок."""
CautionUnknown#0,"""Неизвестная ошибка."""
Loading#0,"""NOW LOADING"""
Non_Text#0,"""Нет отображаемого текста"""
Menu_Main#0,"""Главное меню"""
Menu_Sub#0,"""Подменю"""
Menu_Money#0,"""Меню AC и SG"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Камуфляж оружия """
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>Мой магазин """
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>Карта мира """
MainMenu_World_WorldSecret#0,"""<pict ba_secret><pict 4space>世界の秘密"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Сообщения """
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Задачи """
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>*Mission Pass"""
Category_Item#0,"""Предметы"""
Category_Equip#0,"""Снаряжение/Палитра"""
Category_SubPallet#0,"""Под-палитра"""
Category_Task#0,"""Задачи/Квесты"""
Category_WorldMap#0,"""Мир"""
Category_LogOut#0,"""Выход"""
Category_Communication#0,"""Общение"""
Category_Personal#0,"""Персональное"""
Category_Chat#0,"""Чат"""
Category_Info#0,"""Информация"""
Category_System#0,"""Система"""
Category_Scratch#0,"""Лотерея"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>Магазин AC/SG<pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>Магазин SG<pict StarGem>"""
Category_MyShop#0,"""Мой магазин"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Переработка предметов"""
Category_SG_BlackMarket#0,"""<pict ba_treasure><pict 4space>Магазин ценных предметов<pict 4space><pict StarGem>"""
Category_Meseta_BlackMarket#0,"""<pict ba_treasure><pict 4space>Магазин ценных предметов<pict 4space><pict reb_meseta>"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>История покупок/Срок"""
Category_Shop#0,"""Магазин"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Инвентарь """
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Список друзей """
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>Группа """
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>Команда """
Popup_Mail#0,"""<pict ba_mail><pict 4space>Почта """
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>Поиск ARKS """
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>История общений """
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>Ближайшие персонажи """
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>Информация о персонаже """
Popup_Honor#0,"""<pict ba_title><pict 4space>Титулы """
Popup_ArksCard#0,"""<pict ba_card><pict 4space>Карточка ARKS """
Popup_Honor_ArksCard#0,"""Титулы/Карточка ARKS """
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>Игровые достижения """
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>Настройки группового чата """
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>Настройка шаблонов чата """
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>Настройка авточата """
Popup_Motion#0,"""<pict ba_motion><pict 4space>Настройка победной позы """
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Символ Арты """
Popup_Information#0,"""<pict ba_info><pict 4space>Уведомления """
Popup_Help#0,"""<pict ba_help><pict 4space>Помощь """
Popup_Option#0,"""<pict ba_option><pict 4space>Опции """
Popup_StreamerMode#0,"""<pict ba_stream><pict 4space>Режим стримера"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>Получение предметов компаний """
Popup_AutoSale#0,"""<pict ba_autosell><pict 4space>Настройка авто-продажи дропа<pict 4space><pict Arcscash><pict StarGem>"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Ввести код предмета """
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>Настройки управления """
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>Маg """
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Штампы """
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>Сыграть в лотерею<pict 4space><pict Arcscash> """
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Хранилище лотерей """
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>Информация о квесте """
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>Экипировка оружия """
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>Экипировка брони """
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Под-палитра """
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>Редактирование стиля """
Popup_QuestMenue#0,"""Меню квеста """
Operation_MenuCommon#0,"""Общие настройки меню находятся в справочном меню."""
MenuEquipmentOpen#0,"""Экип-ка выбранного предмета"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>Регулировка положения"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus>Бонус за вход"""
Menu_Matching_Blockade#0,"""Нельзя использовать во время подбора на квест."""
Menu_Ad_Guide#0,"""Переключение активного окна: <%ChangeCtrlWindowForward>\u3000\u3000Переключение страниц: <%TabBack><%TabForward>"""
Menu_Ad_Title#0,"""Уведомление"""
MainMenu_CharacterInfo#0,"""Информация о персонаже"""
MainMenu_Palette#0,"""Редактирование палитры"""
MainMenu_Inventory#0,"""Инвентарь"""
MainMenu_Party#0,"""Группа"""
MainMenu_FriendList#0,"""Список друзей"""
MainMenu_Mail#0,"""Почта"""
MainMenu_Macro#0,"""Настроить автотекст"""
