Button_Move_Pad#0,"""<pict Alpha_ls>"""
Button_Move_Keyboard#0,"""<%MoveForward><pict 4space><%MoveLeft><pict 4space><%MoveBack><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_Dush#0,"""Зажать <%Avoid>"""
Button_DushJump#0,"""Во время рывка <%Jump>"""
Button_Attack#0,"""<%NormalAttack>"""
Button_Avoid#0,"""<%Avoid>"""
Button_LockOn#0,"""<%LockOn>"""
Button_PhotonArts#0,"""<%PhotonArts>"""
Button_SubPallet_Select#0,"""<%SubPaletteLeft><pict 4space><%SubPaletteRight>"""
Button_SubPallet_Action#0,"""<%SubPalette>"""
Button_Glide_01#0,"""Во время прыжка <%Jump>"""
Button_Glide_02#0,"""Или хажать <%Jump>"""
Label_Move#0,"""Перемещение"""
Label_Jump#0,"""Прыжок"""
Label_Dush#0,"""Фотонный рывок"""
Label_DushJump#0,"""Прыжок в фотонном рывке"""
Label_Attack#0,"""Обычная атака"""
Label_Avoid#0,"""Уклонение"""
Label_LockOn#0,"""В прицел (Lock-on)"""
Label_PhotonArts#0,"""Фотон Арт"""
Label_SubPallet_Select#0,"""Выбор под-палитры"""
Label_SubPallet_Action#0,"""Исп.ь из под-палитры"""
Label_Glide#0,"""Фотонное парение"""
