Window_Titletelop_Exchange_General#0,"""Магазин обмена предметов"""
Window_TwolineGuide_Exchange_General#0,"""<c f0df60>Пожалуйста, выберите магазин<c>"""
Window_Titletelop_Exchange#0,"""Обмен предметов"""
Window_TwolineGuide_Exchange#0,"""<c f0df60>Обмен предмета на другой из списка.<c>"""
Window_Controlguide#0,"""Принять: <%Decide>\u3000 Отмена: <%Cancel>\u3000 Переключение активного окна: <%ChangeCtrlWindowForward>"""
Window_Exchange_Itemselection#0,"""Выбор предмета обмена"""
Window_Material_Itemselection#0,"""Выбор материала"""
Window_Target_Itemselection#0,"""Выбор целевого предмета"""
Window_Exchange_Quantity#0,"""Подтверждение обмена"""
Mes_Exchange_Quantity#0,"""Желаете обменять указанные ниже элементы на<br><yellow>$(0)<c>.<br>Выберите количество, на которое хотите обменять.<br><br><yellow>※Если хотите вернуться к старой версии этого меню, нажмите<c><br>\u3000<%Function><yellow>.<c>"""
Mes_Exchange_Quantity2#0,"""Желаете обменять указанные ниже элементы на<br><yellow>$(0) x $(1)<c>.<br>Выберите количество, на которое хотите обменять.<br><br><yellow>※Если хотите вернуться к старой версии этого меню, нажмите <c><br>\u3000<%Function><yellow>.<c>"""
Window_Target_Itemlist#0,"""Список целевых предметов"""
Window_Target_Itemlist_ExchangePattern#0,"""<%MultiSelect> паттерн обмена*"""
Window_ExchangeCandidate_Itemlist#0,"""Список обмен-х предметов"""
Label_Item_Name#0,"""Название предмета"""
Label_Required_Number#0,"""Треб."""
Label_Possession_Number#0,"""В наличии:"""
Label_Exchange_Number#0,"""В итоге"""
Window_Special_Ability_Transfer#0,"""Перенос способностей"""
Content_Special_Ability_Transfer#0,"""Возможные для переноски"""
Content_Iteminfo_Capacity#0,"""Места в [$(0)] после покупки"""
Button_Exchange#0,"""Обменять"""
Button_Item_Search#0,"""Поиск предметов"""
Window_Want_Item#0,"""Желаемые предметы"""
Window_Item_Exchange#0,"""Обмен предметов"""
Mes_Item_Unequipped#0,"""<yellow>Экипированы<c> следующие предметы.<br>Желаете снять и продолжить?"""
Mes_Item_Unlock#0,"""<yellow>Заблокированы<c> следующие предметы.<br>Желаете разблокировать и продолжить?"""
Mes_Item_Unequipped_Unlock#0,"""<yellow>Экипированы и заблокированы<c> следующие предметы.<br>Желаете снять, разблокировать и продолжить?"""
Label_Unequipped#0,"""Экипировано"""
Label_Unlock#0,"""Заблокировано"""
Label_NoItem#0,"""Нет целевого предмета"""
Mes_Exchange_Start#0,"""Следующие предметы будут обменяны<br>на $(0)<br>в количестве $(1) шт.<br><br>Желаете обменять?"""
Mes_Exchange_Start2#0,"""Следующие предметы будут обменяны<br>на $(0)<br>в количестве ($(1) частей) $2 шт.<br><br>Желаете обменять?"""
Mes_Exchange_Completed#0,"""Предметы обменены."""
Window_Get_Method#0,"""Как получить предметы"""
Label_Recommended_TaskList#0,"""Список рекомендуемых задач"""
Label_Myshop_History#0,"""История покупок в вашем магазине"""
Button_Myshop_Search#0,"""Искать у себя"""
Label_Strengthening_Value#0,"""Ур. заточки"""
Label_Quantity#0,"""Кол-во"""
Label_Price#0,"""Цена"""
Window_Titletelop_Recycle#0,"""Переработка предметов"""
Window_Titletelop_MangaMemory#0,"""*[PSO2] Manga Memory"""
Window_Titletelop_AdvanceCorps#0,"""遠征準備特別票交換（<utcymdt>2023-1/25/2:00</utcymdt>まで）"""
Window_Titletelop_KvarisItem#0,"""ПредметыКварис"""
Window_Titletelop_StiaItem#0,"""Предметы Стиа"""
Window_Titletelop_Ages#0,"""Предметы Эджис интегра"""
Window_Titletelop_Ranking#0,"""*ARKS Record Badge"""
Window_Titletelop_Slayer#0,"""スレイヤー運用準備特別票交換（$(0)まで）"""
Window_Titletelop_Gigas#0,"""Гигас Страгмент"""
Window_Titletelop_Dev#0,"""Эмблемы подготовки к разработке"""
Window_Titletelop_Sglegacy#0,"""SG Стиль Наследия"""
Window_Titletelop_G-Up#0,"""Ороста"""
Window_Titletelop_SpScratch#0,"""Особая Лотерея"""
Window_Titletelop_D-Stone#0,"""Чешуя дредов"""
Window_Titletelop_G-Up2#0,"""グロウスメントⅡ交換"""
Window_TwolineGuide_Recycle#0,"""<c f0df60>Можно получить предмет в обмен на другой. Если предлагаемое вами количество будет больше запрашиваемого, вы получите больше одного предмета.<c>"""
Window_Titletelop_TeamBadge#0,"""Обмен значков команды"""
Window_TwolineGuide_TeamBadge#0,"""Позволяет обменять значки команды на предметы. Обменяв необходимые значки, вы получите несколько предметов."""
Label_Acquisition_Quantity#0,"""В итоге"""
Mes_Shop_Access_NG#0,"""Нельзя использовать во время квеста"""
Special conditions_1#0,"""Ур. заточки $(0) или выше"""
Special conditions_2#0,"""Атрибут: $(0)"""
Special conditions_3#0,"""Один из атрибутов"""
Special conditions_4#0,"""Редкостью $(0) или выше"""
Special conditions_5#0,"""Разблок-й потенциал: $(0)"""
Special conditions_6#0,"""Ур. потенциала: $(0)"""
Special conditions_7#0,"""Аффикс способности: $(0)"""
Special conditions_8#0,"""Кол-во способностей: $(0)"""
Special conditions_9#0,"""Категория оружия: $(0)"""
