CorrectionAssignMapTitle#0,"""Восстановление настроек управления"""
CorrectionAssignMapMessage#0,"""Возникла проблема с назначением важных команд,<br>таких как [Подтвердить] или [Отменить] в настройках<br>управления. Первоначальные настройки управления<br>восстановлены автоматически."""
Title#0,"""Настройки"""
Category_Game#0,"""Основные настройки"""
Category_Game_Hint#0,"""Для настройки параметров, связанных<br>с камерой и основными настройками игры"""
Category_Device#0,"""Настройки управления"""
Category_Device_Hint#0,"""Для настроек параметров, связанных<br>с клавиатурой, мышью и <%GamePad>."""
Category_Sound#0,"""Настройки звука"""
Category_Sound_Hint#0,"""Для настройки параметров, связанных<br>со звуком."""
Category_Graphics#0,"""Настройки графики"""
Category_Graphics_Hint#0,"""Для настройки параметров, связанных<br>с графикой."""
SubCategory_GameFunction#0,"""Функции игры"""
SubCategory_GameFunction_Hint#0,"""Для настройки параметров, связанных<br>с различными игровыми функциями."""
SubCategory_Camera#0,"""Настройки камеры"""
SubCategory_Camera_VITA#0,"""Настройки камеры"""
SubCategory_Camera_Hint#0,"""Для настройки параметров, связанных<br>с камерой."""
SubCategory_TextEffect#0,"""Отображение текста"""
SubCategory_TextEffect_Hint#0,"""Для настройки параметров, связанных<br>с отображением текста внутри игры,<br>например: урона, опыта и получаемых<br>предметов."""
SubCategory_Notice#0,"""Настройки уведомлений"""
SubCategory_Notice_Hint#0,"""Для настройки параметров, связанных<br>с уведомлениями."""
SubCategory_Talk#0,"""Настройки чата"""
SubCategory_Talk_Hint#0,"""Для настройки параметров, связанных<br>с чатом."""
SubCategory_Capture#0,"""Настройки скриншотов"""
SubCategory_Capture_Hint#0,"""Для настройки параметров, связанных<br>с функциями внутриигровых скриншотов."""
SubCategory_Other#0,"""Различные настройки"""
SubCategory_Other_Hint#0,"""Для настройки параметров, связанных<br>с Dark Blast, райд-роидами, салоном<br>преображения и т.д."""
SubCategory_InputGuide#0,"""Тип отображения ввода"""
SubCategory_InputGuide_Hint#0,"""Для настройки параметров, связанных<br>с типом ввода ссылаемым игрой<br>по-умолчанию."""
SubCategory_PadDefine#0,"""Основные настройки геймпада"""
SubCategory_PadDefine_Hint#0,"""Для настройки параметров, связанных<br>с геймпадом."""
SubCategory_KeyBind_Pad#0,"""Кнопки (<%GamePad>)"""
SubCategory_KeyBind_Pad_Hint#0,"""Для настройки кнопок: <%GamePad>."""
SubCategory_KeyBind_Mouse#0,"""Кнопки (Мышь)"""
SubCategory_KeyBind_Mouse_Hint#0,"""Для настройки кнопок мыши."""
SubCategory_KeyBind_Keyboard#0,"""Клавиши (Клавиатура)"""
SubCategory_KeyBind_Keyboard_Hint#0,"""Для настройки клавиш клавиатуры."""
SubCategory_MainInputDevice#0,"""Основной способ ввода"""
SubCategory_MainInputDevice_Hint#0,"""Для установления основных<br>настроек управления."""
SubCategory_ActionType#0,"""Выбор типа управления"""
SubCategory_ActionType_Hint#0,"""Для выбора между 2-кнопочным и 3-кнопочным<br>способами управления."""
SubCategory_SoundVolume#0,"""Громкость"""
SubCategory_SoundVolume_Hint#0,"""Для изменения громкости."""
SubCategory_SoundFunction#0,"""Воспроизведение звука"""
SubCategory_SoundFunction_Hint#0,"""Для изменения настроек связанных<br>с воспроизведением звука."""
SubCategory_GraphicsFunction#0,"""Особенности графики"""
SubCategory_GraphicsFunction_Hint#0,"""Продвинутые настройки графики."""
SubCategory_GraphicsQuality#0,"""Качество графики"""
SubCategory_GraphicsQuality_Hint#0,"""Для изменения качества тененей<br>и отображения."""
SubCategory_FilterView#0,"""Фильтры <pict Arcscash>"""
SubCategory_FilterView_Hint#0,"""Премиум функция, доступная только при<br>наличии активного премиума."""
SubCategory_ResetWindow#0,"""Настройки окон"""
SubCategory_ResetWindow_Hint#0,"""Это сбросит размер и расположение<br>всех окон."""
SubCategory_GraphicsPreset#0,"""Настройки графики"""
SubCategory_GraphicsPreset_Hint#0,"""Настройка всех настроек графики. Чем выше<br>значения, тем больше нагрузка."""
GraphicsPreset_Info#0,"""Если вы установите слишком высокое<br>значение, то качество будет высоким,<br>однако это повысит нагрузку на<br>ваше железо.<br>Рекомендуемый для вас уровень: <yellow>$(0)<c>."""
GraphicsPreset_Info_CS#0,"""Если вы установите слишком высокое<br>значение, то качество будет высоким,<br>однако это повысит нагрузку на<br>ваше железо."""
GraphicsPreset_Button_Change#0,"""Изменить"""
GraphicsPreset_Button_Cancel#0,"""Отменить"""
GraphicsPreset_choice_1#0,"""1: Минимальный"""
GraphicsPreset_choice_2#0,"""2: Низкий"""
GraphicsPreset_choice_3#0,"""3: Средний"""
