Title#0,"""Информация"""
Menu_Notify#0,"""Объявление"""
Title_Campaign#0,"""開催中のキャンペーン"""
Menu_LoginStamp#0,"""Логин штамп"""
Menu_Tutorial#0,"""Обучение"""
Menu_Help#0,"""Меню помощи"""
Menu_Tips#0,"""Совет при загрузке"""
Menu_Element#0,"""Словарь особых способностей"""
Title#1,"""Обучение"""
Search#0,"""Поиск"""
EditBoxText#0,"""<c a0a0a0>Введите ключевые слова для поиска<c>"""
NotFound#0,"""Нет результатов поиска"""
Title#2,"""Совет при загрузке"""
Title#3,"""Словарь особых способностей"""
Name#0,"""Способность"""
Info#0,"""Подробности"""
ParameterTltle#0,"""Модификатор характеристик"""
HP#0,"""НР"""
PP#0,"""РР"""
Strike#0,"""*S-ATK"""
Firearm#0,"""*R-ATK"""
Technic#0,"""*T-ATK"""
Dex#0,"""*DEX"""
DfpStrike#0,"""*S-DEF"""
DfpFirearm#0,"""*R-DEF"""
DfpTechnic#0,"""*T-DEF"""
AttributeResistFire#0,"""Сопр. огню"""
AttributeResistIce#0,"""Сопр. льду"""
AttributeResistThunder#0,"""Сопр. молнии"""
AttributeResistWind#0,"""Сопр. ветру"""
AttributeResistLight#0,"""Сопр. свету"""
AttributeResistDark#0,"""Сопр. тьме"""
