MySpaceCommonLabel_EditMode#0,"""Редактирование"""
MySpaceMenuText_OverPeople#0,"""Достигнуто максимальное количество одновременных редакторов."""
MySpaceMenuText_NoEditAuth2#0,"""Нет прав для редактиврования."""
MySpace_Notice_Editing#0,"""Сейчас используется другим игроком."""
MySpace_EditPublicBlueprintMachine#0,"""Этот терминал чертежа нельзя переместить или удалить, так как он доступен публично."""
MySpaceMenuText_RunOwner#0,"""Этот предмет доступен только владельцу пространства."""
UnusablePaletteText_BuildParts#0,"""Эта деталь сборки недоступна в этом Пространстве для Творчества."""
UnusablePaletteText_BuildParts_Blueprint#0,"""Эта деталь сборки доступна только владельцу пространства."""
UnusablePaletteText_BuildParts_CSpaceOnly#0,"""Эта деталь сборки не доступна в Пространстве Команды."""
UnusablePaletteText_BuildParts_TeamSpaceOnly#0,"""Эта деталь сборки доступна только в Пространстве Команды."""
UnusablePaletteText_Blueprint#0,"""Этот чертёж не доступен в этом Пространстве для Творчества."""
MyspaceInfoText_CrowdedPlaces#0,"""Близко друг к другу размещено слишком много деталей. Пожалуйста, разместите их подальше друг от друга."""
MyspaceInfoText_BlueprintNonEditable#0,"""Это действие недоступна с деталями сборки, размещёнными посредством чертежа."""
MyspaceInfoText_Outside_Player#0,"""Вас автоматически переместило, как только вы покинули пределы Пространства для Творчества."""
MyspaceInfoText_Outside_BuildParts#0,"""Детали сборки нельзя разместить здесь."""
MySpaceMenuText_SearchTag#0,"""Поисковый тег"""
MySpaceMenuText_Tag1#0,"""1 тег"""
MySpaceMenuText_Tag2#0,"""2 тег"""
MySpaceMenuText_Tag3#0,"""3 тег"""
MySpaceFloating_up1#0,"""Подняться:"""
MySpaceFloating_up2#0,"""Зажмите <%Jump> + <%MoveForward>"""
MySpaceFloating_down1#0,"""Спуститься:"""
MySpaceFloating_down2#0,"""Зажмите <%Jump> + <%MoveBack>"""
MySpaceFloating_speed_up1#0,"""Ускориться:"""
MySpaceFloating_speed_up2#0,"""Зажмите <%Avoid>"""
BuildMenu_DisallowBlueprintName#0,"""Чертежи недоступны"""
