tut_006207#0,"""*Resta Sign"""
tut_006208#0,"""Под-палитра"""
tut_006213#0,"""Lock-On／Смена цели"""
tut_006219#0,"""Восстановление РР обычной атакой"""
tut_006221#0,"""Контейнеры"""
tut_006222#0,"""Инвентарь"""
tut_006223#0,"""Экипировка брони"""
tut_006225#0,"""Слабость к атрибутам"""
tut_006226#0,"""Слабые точки"""
tut_006229#0,"""Ｅ маркеры"""
tut_006230#0,"""Мультиплеер"""
tut_006231#0,"""Коконы"""
tut_006232#0,"""Отскок от стены"""
tut_006233#0,"""Настройка под-палитры"""
tut_006234#0,"""Фотон Бласт"""
tut_006235#0,"""Очки умений (SP)"""
tut_006236#0,"""Координатор классов"""
tut_006237#0,"""Древо умений"""
tut_006238#0,"""Сброс умений"""
tut_006239#0,"""Хантеры"""
tut_006240#0,"""Рейнджеры"""
tut_006241#0,"""Форсы"""
tut_006242#0,"""Файтеры"""
tut_006243#0,"""Ганнеры"""
tut_006244#0,"""Тектеры"""
tut_006245#0,"""AC (ARKS Cash) и магазин AC"""
tut_006246#0,"""SG (Star Gem'ы) и магазин SG"""
tut_006247#0,"""Контратака при отскоке (Step Counter)"""
tut_006248#0,"""Мечи"""
tut_006249#0,"""Протазаны"""
tut_006250#0,"""Цепные ленсы"""
tut_006251#0,"""Винтовки"""
tut_006252#0,"""Пусковая Установка"""
tut_006253#0,"""Роды"""
tut_006254#0,"""Талис"""
tut_006255#0,"""Кастеты"""
tut_006256#0,"""Двойные глефы"""
tut_006257#0,"""Парные кинжалы"""
tut_006258#0,"""Парные пистолеты-пулемёты"""
tut_006259#0,"""Ванды"""
tut_006261#0,"""Хранилища"""
tut_006262#0,"""Общность между PSO2 и PSO2:NGS"""
tut_006263#0,"""Экипировка оружия"""
tut_006264#0,"""Цикличное переключение по основным палитрам"""
tut_006265#0,"""Цикличное переключение по под-палитрам"""
tut_006266#0,"""Основные задачи"""
tut_006267#0,"""Доп-задачи"""
tut_006268#0,"""Устройства Рюкера"""
tut_006269#0,"""Телепортация"""
tut_006270#0,"""Карта мира"""
tut_006271#0,"""Секции для исследования"""
tut_006272#0,"""Сбор"""
tut_006273#0,"""Теймзы"""
tut_006274#0,"""Быстрая еда"""
tut_006275#0,"""Информация о секции"""
tut_006276#0,"""Быстрое меню"""
tut_006277#0,"""Настройка основной палитры"""
tut_006278#0,"""Заточка снаряжения"""
tut_006280#0,"""Боевая Мощь (БМ)"""
tut_006281#0,"""Ежедневные/Еженедельные задачи"""
tut_006283#0,"""Задачи"""
tut_006284#0,"""*Mission Pass"""
tut_006285#0,"""Группы"""
tut_006287#0,"""Reverse Sign"""
tut_006288#0,"""Карта ARKS"""
tut_006289#0,"""Штампы"""
tut_006290#0,"""Чат"""
tut_006291#0,"""Лобби-экшены"""
tut_006293#0,"""直前の操作の取り消しとやり直し"""
tut_006294#0,"""Характеристики"""
tut_006295#0,"""Меню небоеспособности"""
tut_006296#0,"""Испытания (Trial'ы)"""
tut_006297#0,"""Погода"""
tut_006298#0,"""オーディナルタワー"""
tut_006299#0,"""Салон"""
tut_006300#0,"""Хранилище квеста"""
tut_006301#0,"""Квестовое хранилище"""
tut_006302#0,"""Перемещение между блоками"""
tut_006304#0,"""Изменение движений"""
tut_006305#0,"""Список друзей"""
tut_006306#0,"""Шаблоны"""
tut_006307#0,"""Авточат"""
tut_006308#0,"""Поиск ARKS"""
tut_006309#0,"""Групповой чат"""
tut_006310#0,"""Символ Арты"""
tut_006311#0,"""Настройки управления"""
tut_006312#0,"""Уход с квеста"""
tut_006313#0,"""Предметы Boost-типа"""
tut_006314#0,"""Билеты элементов внешнего вида"""
tut_006315#0,"""Mag'и"""
tut_006316#0,"""Предустановленная способность"""
tut_006318#0,"""Билеты лотерей"""
tut_006319#0,"""Магазин обмена предметов"""
tut_006320#0,"""Титулы"""
tut_006321#0,"""Секции для боёв"""
tut_006322#0,"""Подклассы"""
tut_006324#0,"""PSE (Эффект чувствительности к фотонам)"""
tut_006325#0,"""Редкие враги"""
tut_006326#0,"""Аффикс способностей (абилок)"""
tut_006329#0,"""Разблокировка потенциалов"""
tut_006330#0,"""Снятие ограничений (Limit Break)"""
tut_006331#0,"""Mag'и регионов"""
tut_006333#0,"""クエストカウンター"""
tut_006335#0,"""チャレンジ設定：コクーン"""
tut_006336#0,"""Дромы"""
tut_006337#0,"""Башни"""
tut_006338#0,"""Усиленные враги"""
tut_006339#0,"""Мульти-оружие"""
tut_006340#0,"""Батлдиа: Жёлтый"""
tut_006341#0,"""Мировое Испытание"""
tut_006342#0,"""Срочные квесты"""
tut_006343#0,"""Гигантиксы"""
tut_006344#0,"""Контейнеры с защитой"""
tut_006350#0,"""Физический/атрибутный отрицательный эффект"""
tut_006351#0,"""Батлдиа: Фиолетовый"""
tut_006352#0,"""Влияние погоды на врагов"""
tut_006353#0,"""Изменения при смене дня и ночи"""
tut_006354#0,"""Боссы"""
tut_006356#0,"""Техники"""
tut_006357#0,"""Фотон Арты"""
tut_006358#0,"""Клавиши перемещения"""
tut_006359#0,"""Действия атаки"""
tut_006360#0,"""Регионы"""
tut_006361#0,"""Испытание: Зачистка точки сбора"""
tut_006362#0,"""Испытание: Система контроля над DOLLS"""
tut_006363#0,"""Предложение немедленно начать квест"""
tut_006364#0,"""Шкала падения (Down)"""
tut_006365#0,"""Подбор"""
tut_006366#0,"""Начало срочного квеста"""
tut_006367#0,"""Сообщения"""
tut_006368#0,"""Апдрафтеры"""
tut_006369#0,"""Активный сонар"""
tut_006370#0,"""Испытание: Покорение врагов"""
tut_006371#0,"""Испытание: Стеллар-Пак"""
tut_006372#0,"""Испытание: Защита"""
tut_006378#0,"""Срочные квесты (пароль подбора)"""
tut_006379#0,"""Магазин игрока"""
tut_006390#0,"""DOLLS'ы"""
tut_006397#0,"""Классовые умения"""
tut_006398#0,"""Повышение Боевой Мощи - 1"""
tut_006399#0,"""Лёгкие движения"""
tut_006403#0,"""Дред-враги"""
tut_006404#0,"""Высокоуровневые секции"""
tut_006405#0,"""Операция по восстановлению С-Грейс"""
tut_006408#0,"""Повышение Боевой Мощи - 2"""
tut_006409#0,"""Повышение Боевой Мощи - 3"""
tut_006411#0,"""Оборона установок добычи: Эарио"""
tut_006412#0,"""Устройство доставки"""
tut_006413#0,"""Оружие DOLLS"""
tut_006414#0,"""*Collect Signs*"""
tut_006415#0,"""Функции установок для добычи"""
tut_006416#0,"""Внезапный инцидент"""
tut_006418#0,"""Мобильная пушка"""
tut_006419#0,"""Совет"""
tut_006421#0,"""Брейвер"""
tut_006422#0,"""Катаны"""
tut_006423#0,"""Луки"""
tut_006431#0,"""Баунсер"""
tut_006432#0,"""Реактивные ботинки"""
tut_006433#0,"""Парные клинки"""
tut_006434#0,"""Альтеры"""
tut_006435#0,"""Фомазы"""
tut_006451#0,"""Восстановление в воздухе"""
tut_006452#0,"""Рэппи"""
tut_006453#0,"""N-EX-Cube'ы"""
tut_006454#0,"""Доп-задачи Лиа Мей"""
tut_006455#0,"""Настройки подбора комнат"""
tut_006456#0,"""Испытание: Подавление врагов в зоне шторма"""
tut_006457#0,"""Испытание: Уничтожение Транзава"""
tut_006462#0,"""スターレス"""
tut_006463#0,"""Премиум набор"""
tut_006465#0,"""Цветные вариации оружия"""
