battletrigger_use_check_title#0,"""Жёлтый портал"""
battletrigger_use_check_message#0,"""В вашем инвентаре светится<br>[$(0)].<br>Желаете поставить его<br>на пьедестал?<br>※Активируйте пьедестал и,<br>приняв квест, выполните<br>задачу:<br>\""$(0)\""."""
battletrigger_used_message#0,"""Ближайший пъедестал активировал другой ARKS."""
CodeKey_w1_r1_1#0,"""Фиолетовый портал: Эарио"""
CodeKey_w1_r1_3#0,"""Жёлтый портал: Эарио"""
CodeKey_w1_r2_1#0,"""Фиолетовый портал: Ритем"""
CodeKey_w1_r2_3#0,"""Жёлтый портал: Ритем"""
CodeKey_s2022_1#0,"""Синий портал: Вариативный"""
CodeKey_w1_r3_1#0,"""Фиолетовый портал: Кварис"""
CodeKey_w1_r3_3#0,"""Жёлтый портал: Кварис"""
CodeKey_w1_r4_3#0,"""Фиолетовый портал: Стиа"""
CodeKey_w1_r4_1#0,"""Жёлтый портал: Стиа"""
CodeKey_w1_r1_4#0,"""パープルポータル：エアリオEX"""
battletrigger_error1_title#0,"""<オブジェクト名を代入>"""
battletrigger_error2_title#0,"""<オブジェクト名を代入>"""
battletrigger_error_message_CodeKey_w1_r1_1#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><yellow>※Требуемый предмет:<br>ТБ: Эарио (Фиолетовый) (5шт)<c>"""
battletrigger_error_message_CodeKey_w1_r1_3#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><yellow>※Требуемый предмет:<br>ТБ: Эарио (Жёлтый) (5шт)<c>"""
battletrigger_error_message_CodeKey_w1_r2_1#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><yellow>※Требуемый предмет:<br>ТБ: Ритем (Фиолетовый) (5шт)<c>"""
battletrigger_error_message_CodeKey_w1_r2_3#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><yellow>※Требуемый предмет:<br>ТБ: Ритем (Жёлтый) (5шт)<c>"""
battletrigger_error_message_CodeKey_all#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><br><yellow>※Требуемый предмет:<br>\u3000$(0)（×$(1)）<c>"""
battletrigger_error_message_CodeKey_w1_r3_1#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><yellow>※Требуемый предмет:<br>ТБ: Каврис (Фиолетовый) (5шт)<c>"""
battletrigger_error_message_CodeKey_w1_r3_3#0,"""Особый объект, доступ к которому<br>можно получить, поместив Боевой<br>Триггер (БТ).<br><yellow>※Требуемый предмет:<br>ТБ: Кварис (Жёлтый) (5шт)<c>"""
