Achievements_Fullsize_Title#0,"""Титул"""
Achievements_Form_Title#0,"""Список титулов"""
Achievements_Filter_Accomplished#0,"""Разблокированные"""
Achievements_Filter_InProgress#0,"""Заблокированные"""
Achievements_Filter_All#0,"""Все титулы"""
Achievements_Sort_Normal#0,"""Сорт.: Обычная"""
Achievements_Sort_Get#0,"""Сорт.: По получению"""
Achievements_Point_Title#0,"""Очки достижений"""
Achievements_Point#0,"""$(0) Pt"""
Achievements_Total_Title#0,"""Кол-во титулов"""
Achievements_Total#0,"""$(0) шт"""
Achievements_Unknown#0,"""??????"""
Achievements_Progress_Title#0,"""Прогресс"""
Achievements_Progress#0,"""$(0)/$(0)"""
Achievements_Button_Back#0,"""Назад"""
Achievements_Empty_List#0,"""Нет доступных целевых титулов."""
Achievements_Please_Wait#0,"""Пожалуйста подождите..."""
Achievements_Details_Title#0,"""Инфо о 「$(0)」"""
Achievements_Details_RewardCheck1#0,"""Подробное инфо: <%Function>"""
Achievements_Details_RewardCheck2#0,"""Основное инфо: <%Function>"""
Achievements_Details_Rewind_Condition#0,"""Повтор-сть"""
Achievements_Details_Rewind_Condition_Account#0,"""1 раз на аккаунт"""
Achievements_Details_Rewind_Condition_Character#0,"""1 раз на персонажа"""
Achievements_Details_Overview#0,"""Обзор"""
Achievements_Details_Overview_Template#0,"""После разблокировки, титул<br>「$(0)」<br>можно применить к карте ARKS."""
Achievements_Details_Reward#0,"""Награда"""
Achievements_Details_NoReward#0,"""Нет доступных наград."""
Achievements_Basic_Info#0,"""Основная информация"""
Achievements_Reward_Info#0,"""Инфо о награде"""
Achievements_Operation_Info#0,"""Переключение: ←→"""
Achievements_Details_Unselected#0,"""Титул не выбран."""
Achievements_Detial_Tilte_Unselected#0,"""Инфо задачи титула"""
Achievements_Detial_ItemName#0,"""Титул: “$(0)”"""
Achievements_Reward_Quantity_Num#0,"""×$(0)"""
Achievements_Period#0,"""<yellow>※Период получения:<br>До \u3000$(0)<c>"""
