ScratchMenue_Title#0,"""Игра в лотерею"""
ScratchMenue_Help#0,"""Приобретайте билеты лотереи за валюту или билеты и забирайте призы."""
ScratchChoice_Title#0,"""Выбор лотереи"""
ScratchChoice_Possession#0,"""В наличии"""
ScratchChoice__FreebieListButton#0,"""Список призов"""
ScratchChoice__PossessionTicket#0,"""Ваши билеты лотереи"""
ScratchChoice__PossessionTicketCount#0,"""$(0)枚"""
ScratchChoice__StepUp1#0,"""1-й круг"""
ScratchChoice__StepUp2#0,"""2-й круг"""
ScratchChoice__StepUp3#0,"""3-й круг"""
ScratchChoice__BuyScratchAC#0,"""Сыграть $(1) раз(а) за<br>AC: $(0) <pict Arcscash>"""
ScratchChoice__BuyScratchSG#0,"""Сыграть $(1) раз(а) за<br>SG: $(0) <pict StarGem>"""
ScratchChoice__BuyScratchTicket#0,"""Сыграть $(3) раз(а)<br>с помощью билета<br>лотереи<br>$(0)$(1) $(2) на ($(4))"""
ScratchChoice__BuyScratchNoCharge#0,"""Сыграть $(0) раз(а)<br>бесплатно<br>Ежедневный сброс<br>в <utc>15:00</utc>"""
ScratchChoice__CountBonus#0,"""Ещё $(0) раз(а) и получите подарок!"""
ScratchChoice__CouponButton#0,"""Обмен билетов<br>$(0)"""
ScratchChoice__ScratchCategory_AC#0,"""AC лотереи"""
ScratchChoice__ScratchCategory_SG#0,"""SG лотереи"""
ScratchChoice__ScratchCategory_Ticket#0,"""Только билетами"""
ScratchChoice__ScratchCategory_NoCharge#0,"""Бесплатная лотерея"""
ScratchChoice__ScratchCategory_StepUp#0,"""Шаг вперёд"""
ScratchChoice_ConfirmationAC#0,"""Необходима оплата <pict Arcscash>AC.<br>Вы купите $(1)<br>за $(0) AC.<br>Вы уверены?"""
ScratchChoice_ConfirmationSG#0,"""<pict StarGem>Необходима оплата <pict StarGem>SG.<br>Вы купите $(1)<br>за $(0) SG.<br>Вы уверены?"""
ScratchChoice_ConfirmationTicket#0,"""Вы купите $(3)<br>за <pict $(0)>$(1)  $(2).<br>Вы уверены?"""
ScratchChoice_ConfirmationNoCharge#0,"""Сыграйте $(0)<br>один раз бесплатно.<br>※Бесплатные ежедневные попытки в <utc>15:00</utc>.<br>Вы уверены?"""
ScratchChoice_ConfirmationACre#0,"""Необходима оплата <pict Arcscash>AC.<br>Продолжить приобретение $(1)<br>за $(0) AC.<br>Вы уверены?"""
ScratchChoice_ConfirmationSGre#0,"""Необходима оплата <pict StarGem>SG.<br>Продолжить приобретение $(1)<br>за $(0) SG.<br>Вы уверены?"""
ScratchChoice_ConfirmationTicketRe#0,"""Продолжить приобретение $(3)<br>за <pict $(0)>$(1)  $(2).<br>Вы уверены?"""
ScratchChoice_ConfirmationNoChargeRe#0,"""Продолжить и сыграть $(0)<br>один раз бесплатно.<br>※Бесплатные ежедневные попытки в <utc>15:00</utc>.<br>Вы уверены?"""
ScratchResult_Title#0,"""Результат лотереи"""
ScratchResult_Explanation#0,"""Вы выиграли следующие призы!<br>Заберите его из хранилища лотереи.<br><yellow>※Обратите внимание, что имеется<br>срок действия.<c>"""
ScratchResult_UseTicket_Title#0,"""Использование билета"""
ScratchResult_UseTicket_Mess#0,"""Используется выбранный предмет.<br>Вы уверены?"""
ScratchResult_UseTicket_Mess_NoUse#0,"""Доступны следующие билеты.<br>Желаете использовать его?<br><br>※Вы также можете использовать билеты из списка по очереди."""
ScratchResult_1UseTicket_Mess#0,"""Доступно для использования: $(0).<br>Желаете оставить как есть?"""
ScratchResult_UseTicket_AllUse#0,"""Использовать всё"""
ScratchResult_AllUseTicket_Title#0,"""Подтверждение использования билета"""
ScratchResult_AllUseTicket_Mess#0,"""Желаете использовать все предметы?"""
ScratchError_AC_Shortage_Title#0,"""Недостаточно AC"""
ScratchError_AC_Shortage_Mess#0,"""Недостаточно AC.<br><br>Желаете пополнить AC?"""
ScratchError_SG_Shortage_Title#0,"""Недостаточно SG"""
ScratchError_SG_Shortage_Mess#0,"""Недостаточно SG.<br><br>Желаете пополнить SG?"""
ScratchError_Ticket_Shortage_Title#0,"""Недостаточно билетов"""
ScratchError_Ticket_Shortage_Mess#0,"""Недостаточно <$item_name>."""
ScratchPrizeList_Title#0,"""Список<br>призов"""
ScratchPrizeList_PrizeItem#0,"""Призовые предметы"""
ScratchPrizeList_EmissionRate#0,"""Шанс выигрыша"""
Bonus_Title#0,"""Проверка доп. раз"""
Bonus_Text01#0,"""Количество попыток в лотереи"""
Bonus_Text02#0,"""<$Count> раз(а)"""
Bonus_Text03#0,"""Забрав всё, статус сбросится, и вы сможете получить ещё бонусы."""
PrizeChange_Check_Title#0,"""Использование билета обмена"""
PrizeChange_Check_Mess01#0,"""Желаете обменять $(2)<br>на $(0).<br>Вы уверены?<br>※Израсходуются следующие предметы.<br><br>(Ваш(ы) билет(ы) обмена: $(1))"""
PrizeChange_Check_Complete#0,"""Завершён обмен на бесплатный подарок."""
PrizeChange_Check_Error#0,"""Нельзя обменять в инвентарь.<br>Недостаточно свободного места или уже заполнено."""
