Npc_7001001#0,"""Манон"""
Npc_7002001#0,"""Аина"""
Npc_7002002#0,"""Аина"""
Npc_7003001#0,"""Гароа"""
Npc_7004001#0,"""Крофод"""
Npc_7005001#0,"""Бурудар"""
Npc_7006001#0,"""Ран"""
Npc_7007001#0,"""Лю Лин"""
Npc_7008001#0,"""Росса"""
Npc_7009001#0,"""Орандже"""
Npc_7010001#0,"""ナーデレフ"""
Npc_7011001#0,"""タイヴァス"""
Npc_7012001#0,"""トゥーリ"""
Npc_7013001#0,"""イルマ"""
Npc_7014001#0,"""クッカ"""
Npc_7015001#0,"""メリ"""
Npc_7016001#0,"""グレン"""
Npc_7017001#0,"""ハーディ"""
Npc_7018001#0,"""ジャリル"""
Npc_7019001#0,"""モフセン"""
Npc_7020001#0,"""ムーラ"""
Npc_7021001#0,"""リッス"""
Npc_7022001#0,"""カヌイ"""
Npc_7023001#0,"""ノロシ"""
Npc_7195001#0,"""Сурона"""
Npc_7196001#0,"""Да Чуа"""
Npc_7197001#0,"""Шан Леи"""
Npc_7198001#0,"""Хороман"""
Npc_7199001#0,"""Гуиден"""
Npc_7200001#0,"""Карутевье"""
Npc_7201001#0,"""Сомья"""
Npc_7203001#0,"""Франме"""
Npc_7204001#0,"""アプライザ"""
Npc_7205001#0,"""Рабона"""
Npc_7206001#0,"""Миша"""
Npc_7207001#0,"""Ютирои"""
Npc_7208001#0,"""Куроше"""
Npc_7209001#0,"""Этеруна"""
Npc_7210001#0,"""Торавис"""
Npc_7211001#0,"""Шанди"""
Npc_7213001#0,"""グライフ"""
Npc_7214001#0,"""ラフィカ"""
Npc_7215001#0,"""カタリナ"""
Npc_7216001#0,"""ウラガン"""
Npc_7217001#0,"""アルシオーネ"""
Npc_7218001#0,"""サエッタ"""
Npc_7220001#0,"""￥ソニック"""
Npc_7221001#0,"""￥テイルス"""
Npc_7222001#0,"""￥エミー"""
Npc_7223001#0,"""￥エッグマン"""
Npc_7400001#0,"""Дюадора"""
Npc_7417001#0,"""Дигхор"""
Npc_7418001#0,"""Беркман"""
Npc_7419001#0,"""Боно"""
Npc_7420001#0,"""ハンプデン"""
Npc_7421001#0,"""アリエテ"""
Npc_7422001#0,"""ダーナ"""
Npc_7423001#0,"""バフィン"""
Npc_7424001#0,"""リアメイ"""
Npc_7425001#0,"""ロナルディン"""
Npc_7602001#0,"""Барри"""
Npc_7604001#0,"""Агри"""
Npc_7605001#0,"""Изи"""
Npc_7606001#0,"""Дари"""
Npc_7607001#0,"""Аджэ"""
Npc_7608001#0,"""Отто"""
Npc_7609001#0,"""Морие"""
Npc_7610001#0,"""Уэксу"""
Npc_7611001#0,"""Нандел"""
Npc_7612001#0,"""Хокси"""
Npc_7613001#0,"""Тоуэн"""
Npc_7617001#0,"""Раскина"""
Npc_7618001#0,"""Сеймар"""
Npc_7619001#0,"""Барме"""
Npc_7622001#0,"""Кенджинс"""
Npc_7623001#0,"""Норисимо"""
Npc_7632001#0,"""Лулу"""
Npc_7633001#0,"""Нико"""
Npc_7634001#0,"""Лоло"""
Npc_7635001#0,"""Сура"""
Npc_7636001#0,"""Вера"""
Npc_7637001#0,"""Джури"""
Npc_7638001#0,"""Арнест"""
Npc_7642001#0,"""Рал"""
Npc_7643001#0,"""Редджис"""
Npc_7645001#0,"""Руди"""
Npc_7646001#0,"""Бир"""
Npc_7648001#0,"""Фаин"""
