Title_Partyselect#0,"""Выбор группы"""
Room_Friend_Filter#0,"""Комнаты только с друзьями"""
Room_Team_Filter#0,"""Комнаты только с тиммейтами"""
Basic_Info#0,"""Базовая информация"""
Field_Info#0,"""Информация о области"""
Menber_Info#0,"""Член группы"""
Filter_On#0,"""ON"""
Filter_OFF#0,"""OFF"""
Room_Timecount#0,"""$(0)：$(1)"""
Room_Leaving#0,"""3 часа или больше"""
PasswordTitle#0,"""Ввод пароля"""
PasswordMessage#0,"""Введите пароль:"""
Window_Titletelop#0,"""Координатор квестов"""
Window_TwolineGuide#0,"""Пожалуйста, выберите: быть лидером группы или присоединиться к другой группе."""
Window_ControlGuide#0,"""Принять: <%Decide>\u3000Отменить: <%Cancel>"""
Top_Quest_info#0,"""Информация о квесте"""
Top_Quest_infodetails#0,"""Подробности квеста"""
Title_Quest_Name#0,"""Сводка"""
Title_Quest_Reward#0,"""Награда"""
Title_Quest_Reward_2#0,"""Награда 1-го прохождения"""
Title_Quest_Restriction#0,"""Ограничения"""
Title_Quest_Recommended#0,"""Рекомендованная Боевая Мощь"""
Title_Quest_Order#0,"""Условия взятия"""
Title_Quest_Clear_Failure#0,"""Условия прохождения/проигрыша"""
Title_Quest_Clear#0,"""Условия прохождения"""
Title_Quest_Failure#0,"""Условия проигрыша"""
Title_Quest_Description#0,"""Описание"""
Btn_Departimmediately#0,"""Отправиться немедленно"""
Btn_Partyconfluence#0,"""Вступить в группу"""
AcceptNG_Description1#0,"""Член группы не может принять квест."""
AcceptNG_Description2#0,"""Квест не может быть принят, так как требования не выполнены."""
AcceptNG_Description3#0,"""Квест нельзя принять, так как член группы уже достиг ограничения по количеству прохождений."""
Btn_Fasttravel#0,"""Быстрое перемещение"""
Btn_Storyconfirmation#0,"""Просмотреть историю"""
Title_Mainmission#0,"""Основная миссия"""
Title_Submission#0,"""Доп-миссия"""
Title_Bestscore#0,"""Личный рекорд (в одиночку)"""
Title_Bestscore_pt#0,"""Личный рекорд (в группе)"""
Title_Subjugationtarget#0,"""Целевой враг"""
Title_Recommendeditems#0,"""Выпадаемые предметы"""
Reward_Exp#0,"""$(0)<pict 4space><pict exp_boost_icon>"""
Reward_Meseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Reward_SeasonPoint#0,"""$(0)<pict 4space><pict event_point>"""
Reward_quantity#0,"""$(0) шт"""
Reward_quantity2#0,"""+$(0)"""
Reward_Skillpt#0,"""Очки Умений (SP)"""
Bestscore_time#0,"""$(1):$(2).$(0)"""
Trigger_Reward#0,"""<yellow>Доступная награда<c>"""
Trigger_NoReward#0,"""<vivid_red>Награда уже собрана. Следующая награда: [Дата/время]<c>"""
HighLevelQuestName#0,"""<yellow>Срочный квест<c>"""
CreateNewRoom#0,"""Принять квест"""
InRoom#0,"""присоединиться к группе, что уже на квесте"""
OrdersOption#0,"""Изменить настройки принятия"""
Exit_QuestCounter#0,"""Покинуть координатора квестов"""
SelectPartyList#0,"""К группе в этом блоке"""
SearchPartyList#0,"""Искать квест и присоединиться"""
QuestSelectTitle#0,"""Выбрать квест"""
EventQuestName#0,"""Временный квест"""
