PlayNav_Unit1_Item1#0,"""Достигнуть 7 ур."""
PlayNav_Unit1_Index1#0,"""Одолейте врагов"""
PlayNav_Unit1_Item2#0,"""Поменяйте ваше снаряжение"""
PlayNav_Unit1_Index2#0,"""・Экипируйте оружие и броню серии Renessa"""
PlayNav_Unit2_Item1#0,"""Достигнуть 10 ур."""
PlayNav_Unit2_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Гора Магнус"""
PlayNav_Unit2_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit2_Index2#0,"""・Заточите оружие и броню серии Renessa до +30 и выше<br>・Добавьте по 2 абилки ко всему снаряжению"""
PlayNav_Unit2_Item3#0,"""Изучите умения класса"""
PlayNav_Unit2_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 5 классовых умений основного и под класса"""
PlayNav_Unit3_Item1#0,"""Достигнуть 15 ур."""
PlayNav_Unit3_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Руины лаборатории Ванфорд"""
PlayNav_Unit3_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit3_Index2#0,"""・Снимите ограничения с оружия и брони серии Renessa<br>・Заточите снаряжение до +40<br>・Добавьте по 2 абилки ко всему снаряжению<br>・Высвободите потенциал 1ур. оружия серия Renessa"""
PlayNav_Unit3_Item3#0,"""Изучите умения класса"""
PlayNav_Unit3_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 6 классовых умений основного и под класса"""
PlayNav_Unit4_Item1#0,"""Достигнуть 15 ур."""
PlayNav_Unit4_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Руины лаборатории Ванфорд"""
PlayNav_Unit4_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit4_Index2#0,"""・Снимите ограничения с оружия и брони серии Renessa<br>・Enhance your equipment to +40<br>・Добавьте по 2 абилки ко всему снаряжению<br>・Высвободите потенциал 2ур. оружия серия Renessa"""
PlayNav_Unit4_Item3#0,"""Находите капсулы с абилками"""
PlayNav_Unit4_Index3#0,"""・Получите капсулы с абилками в следующих местах:<br>\u3000Ближние (S) классы: Гора Магнус<br>\u3000Стрелковые (R) классы: Руины лаборатории Ванфорд<br>\u3000Технические (T) классы: Руины лаборатории Ванфорд & Секции для исследования"""
PlayNav_Unit5_Item1#0,"""Достигнуть 18 ур."""
PlayNav_Unit5_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Лес Резол"""
PlayNav_Unit5_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit5_Index2#0,"""・Заточите 4★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки ко всему снаряжению<br>・Высвободите потенциал 3ур. 4★ оружия"""
PlayNav_Unit5_Item3#0,"""Находите капсулы с абилками"""
PlayNav_Unit5_Index3#0,"""・Получите капсулы с абилками в следующих местах:<br>\u3000Ближние (S) классы: Гора Магнус<br>\u3000Стрелковые (R) классы: Руины лаборатории Ванфорд<br>\u3000Технические (T) классы: Лес Резол"""
PlayNav_Unit6_Item1#0,"""Достигнуть 20 ур."""
PlayNav_Unit6_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Гора Магнус (Ранг.2)<br>\u3000Руины лаборатории Ванфорд (Ранг.2)<br>\u3000Лес Резол"""
PlayNav_Unit6_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit6_Index2#0,"""・Заточите 4★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки ко всему снаряжению<br>・Высвободите потенциал 3ур. 4★ оружия"""
PlayNav_Unit6_Item3#0,"""Изучите умения класса"""
PlayNav_Unit6_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 14 классовых умений основного и под класса"""
PlayNav_Unit7_Item1#0,"""Достигнуть 20 ур."""
PlayNav_Unit7_Index1#0,"""・Завершайте доп. задачи<br>・Проходите батлдиа<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Гора Магнус (Ранг.2)<br>\u3000Руины лаборатории Ванфорд (Ранг.2)<br>\u3000Лес Резол"""
PlayNav_Unit7_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit7_Index2#0,"""・Заточите 4★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки ко всему снаряжению<br>・Высвободите потенциал 3ур. 4★ оружия"""
PlayNav_Unit7_Item3#0,"""Изучите умения класса"""
PlayNav_Unit7_Index3#0,"""・Проходите трениа для зароботка SP<br>・Подойдите к координатору классов и изучите<br>по 17 классовых умений основного и под класса"""
PlayNav_Unit8_Item1#0,"""Достигнуть 22 ур."""
PlayNav_Unit8_Index1#0,"""・Завершайте доп. задачи<br>・Сражайте врагов в следующих боев. секциях:<br>\u3000Ритем Эрноза"""
PlayNav_Unit8_Item2#0,"""Улучшайте своё снаряжение"""
PlayNav_Unit8_Index2#0,"""・Заточите 4★ оружие и броню до +40 и выше<br>・Добавьте по 4 абилки ко всему снаряжению<br>・Высвободите потенциал 3ур. 4★ оружия"""
PlayNav_Unit8_Item3#0,"""Добывайте минералы для улучшения снаряжения"""
PlayNav_Unit8_Index3#0,"""・Минералы можно найти в следующих секциях:<br>\u3000Фрагмент фотона: Юг Эарио<br>\u3000Фотонный кварц: Север Эарио<br>\u3000Дуаломайт: Юг Эарио, Запад Эарио<br>\u3000Торанинайт: Север Эарио, Юг Ритем<br>\u3000Тедорасайт: Запад Ритем, Север Ритем, Верхний Макуадо"""
PlayNav_Unit9_Item1#0,"""Достигнуть 24 ур."""
