ActiveStatus_Title#0,"""Изм. сообщение друга"""
ActiveStatus_Info#0,"""Это сообщение будет отображаться в списке друзей других игроков.<br>Нажмите \""Подтвердить\"", чтобы зарегистрировать.<br><br>Ваше сообщение друга пропадёт после выхода из игры.<br>Чтобы отобразить его снова при повторном входе в игру, откройте это меню и ещё раз нажмите \""Подтвердить\""."""
ActiveStatus_Comment#0,"""Сообщение друга"""
ActiveStatus_Send#0,"""Подтвердить"""
ActiveStatus_Cancell#0,"""Отменить"""
ActiveStatus_PartyNum#0,"""$(0)／$(1)"""
ActiveStatus_ApcNum#0,"""(<pict apc_icon> $(0) чел.)"""
ActiveStatus_Connecting#0,"""Загрузка..."""
ActiveStatus_Error#0,"""Сообщение содержит не используемые символы."""
ActiveStatus_SendMessage#0,"""Сообщение зарегистрировано."""
Camera_Title#0,"""Выбор камеры"""
Menu_Normal#0,"""Обычная камера"""
Menu_Camera1#0,"""1-я камера"""
Menu_Camera2#0,"""2-я камера"""
Menu_Camera3#0,"""3-я камера"""
Pop_ChangeCamera#0,"""Включить"""
Pop_ChangeAngle#0,"""Изменить угол"""
Info_ChangeCamera#0,"""Таким образом вы сохраните новый угол<br>обзора камеры на $(0).<br>Уверены?"""
Message_ChangeCamera#0,"""Сохранены новые настройки для $(0)."""
Message_ExitEditingCamera#0,"""Отменено редактирование угла камеры."""
FreeCamera_CameraGuideSave#0,"""Сохранение: """
FreeCamera_CameraGuide_Angle#0,"""Выбор: """
FreeCamera_CameraGuide_Move#0,"""Передвижение: """
FreeCamera_CameraGuide_Height#0,"""Высота: """
FreeCamera_CameraGuide_Rotate#0,"""Угол: """
FreeCamera_CameraGuide_Zoom#0,"""Зум: """
FreeCamera_CameraGuideReset#0,"""Сброс: """
FreeCamera_CameraGuideResetVita#0,"""Сброс: """
FreeCamera_CameraGuideCancel#0,"""Обратно: """
FreeCamera_CameraGuideSave_key#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_key#0,"""Мышь"""
FreeCamera_CameraGuide_Move_key#0,"""<%MultiSelect>＋<%MoveForward>/<%MoveBack>/<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Height_key#0,"""<%MoveForward>/<%MoveBack>"""
FreeCamera_CameraGuide_Rotate_key#0,"""<%MoveLeft>/<%MoveRight>"""
FreeCamera_CameraGuide_Zoom_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_key#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_key#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
FreeCamera_CameraGuideSave_pad#0,"""<%Decide>"""
FreeCamera_CameraGuide_Angle_pad#0,"""<%RStick>"""
FreeCamera_CameraGuide_Move_pad#0,"""<%MultiSelect>＋<%LStick>"""
FreeCamera_CameraGuide_Height_pad#0,"""<%LStick>(Верх/Низ)"""
FreeCamera_CameraGuide_Rotate_pad#0,"""<%LStick>(Право/Лево)"""
FreeCamera_CameraGuide_Zoom_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
FreeCamera_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
FreeCamera_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
FreeCamera_CameraGuideCancel_pad#0,"""<%Cancel>"""
CameraLight_Title#0,"""Выбор камеры/освещения"""
Menu_Camera4#0,"""4-я камера<pict Arcscash>"""
Menu_Camera5#0,"""5-я камера<pict Arcscash>"""
Menu_Camera6#0,"""6-я камера<pict Arcscash>"""
Menu_NormalLight#0,"""Обычное освещение"""
Menu_FreeLightSetting#0,"""1-е освещение<pict Arcscash>"""
Menu_FreeLightSetting2#0,"""2-е освещение<pict Arcscash>"""
Menu_FreeLightSetting3#0,"""3-е освещение<pict Arcscash>"""
Pop_UseFreeLight#0,"""Включить"""
Pop_ChangeFreeLight#0,"""Изменить настройки"""
FreeLight_CameraGuideSave#0,"""Выбрано освещение: """
Title_1#0,"""1-е освещение"""
Title_2#0,"""2-е освещение"""
Title_3#0,"""3-е освещение"""
Title_ColorPicker#0,"""Настройки цвета"""
Title_ChangeFreeLight1#0,"""1-я установка цвета"""
Title_ChangeFreeLight2#0,"""2-я установка цвета"""
Title_ChangeFreeLight3#0,"""3-я установка цвета"""
Headline_LightNum1#0,"""1-я регулировка света"""
Headline_LightNum2#0,"""2-я регулировка света"""
Headline_LightNum3#0,"""3-я регулировка света"""
Headline_CamLight#0,"""Свет камеры"""
Button_1#0,"""Настройки цвета"""
Button_2#0,"""Положение на экране"""
Button_3#0,"""Всё вкл."""
Button_4#0,"""Всё выкл."""
Button_5#0,"""Выбрать всё"""
Button_6#0,"""Принять"""
Button_7#0,"""Выход"""
Text_1#0,"""Сила"""
icon_on#0,"""<pict icon_light_on>"""
icon_off#0,"""<pict icon_light_off>"""
Button_Decide#0,"""Подтвердить"""
Button_Reset#0,"""Восстановить"""
Message_Initialization_all#0,"""Таким образом вы настроите весь свет.<br><br>Вы уверены?"""
Message_ChangeFreeLight#0,"""Таким образом вы настроить свет $(0).<br><br>Вы уверены?"""
Toast_ChangeFreeLight#0,"""Свет $(0) настроен."""
Toast_ExitFreeLight#0,"""Срок действия премиума истёк.<br>Вы не можете использовать эту функцию."""
Toast_ExitEditinglight#0,"""Пользовательские настройки освещения отключены."""
ErrorTitle_ShaderSetting#0,"""Ошибка настройки"""
Error_ShaderSetting#0,"""Пользовательские настройки освещения доступны только в том случае, если для шейдеров установлено высокое качество.<br><br>Настройки шейдеров можно изменить, открыв лаунчер игры, выбрав вкладку настроек, а затем перейдя во вкладку прорисовки."""
Message_DiscardLightSettings#0,"""Выход без сохранения изменений в настройках.<br>Вы уверены?"""
Selfie_OperationGuide#0,"""Скрыть интерфейс:<%NextTabDetails>\u3000\u3000Лицом к камере:<%Decide>\u3000\u3000Изменить выражение лица:<%TabForward>\u3000\u3000Лобби-экшн:<%TabBack>\u3000\u3000Кнопка действия:<%NextWidget>\u3000\u3000Настройки камеры:<%ChangeCtrlWindowForward>\u3000\u3000Отмена:<%Cancel>"""
Selfie_OperationGuide_Camera_Screenshot#0,"""Скриншот:"""
Selfie_OperationGuide_Camera_Move#0,"""Движение камеры:"""
Selfie_OperationGuide_Camera_Rotate#0,"""Вращение камеры:"""
Selfie_OperationGuide_Camera_Zoom#0,"""Масштабирование:"""
Selfie_OperationGuide_Camera_Reset#0,"""Сброс камеры:"""
Selfie_OperationGuide_Camera_Screenshot_Guide#0,"""<%Exception2>"""
Selfie_OperationGuide_Camera_Move_Guide#0,"""<%LStick>"""
Selfie_OperationGuide_Camera_Rotate_Guide#0,"""<%MultiSelect>＋<%LStick>"""
