11_voice_NPC_5483_100#0,"""...Por primera ves en mucho<br>tiempo me pregunto si me recuerdas"""
skit01_02#0,"""...Exmiembro del Mother Cluster<br>Actualmente, profesor nacional actual<br>de Risen Gakuin; Completo = Janice = Las Vitz."""
skit01_03#0,"""En lugar de nosotros....<br>Me gustaria que kuu coopere."""
11_voice_NPC_5483_104#0,"""...¿Qué hicistes, acerca de?"""
skit02_02#0,"""...Es Guardian, y creo que es asequible.<br>Buena suerte"""
skit03_01#0,"""...¿Como vas?"""
11_voice_NPC_5483_104#1,"""...Al ver la fecha limite<br>siento que me apresuro un poco,<br>ya que también soy pareja..."""
skit03_03#0,"""...Gracias, mis mas<br>humildes gracias, por completar la orden"""
11_voice_NPC_5483_100#1,"""...Los ARKS también celebran el dia<br>de San Valentin esa información<br>es valiosa... Memo memo..."""
11_voice_NPC_5483_105#0,"""...¿Sera que tambien...<br>Quieres de nuestro chocolate?"""
skit04_03#0,"""...Si cooperas con nosotras,<br>probablemente lo logres un<br>20%... Tal vez..."""
11_voice_NPC_5483_101#0,"""...Gracias por ayudarme.<br>Parece ser un evento de San Valentin muy seguro, el resto dependera de ti..."""
skit05_02#0,"""Hmm... Prepara el escenario y<br>retrocede, después de eso, miro tan delicadamente como mi hermana... Podria ser una buena linea... Memo memo..."""
11_voice_NPC_5483_106#0,"""...Pero realmente. Guardian,<br>cooperas con nosotros cuando antes eramos enemigos, te respeto profundamente por ello, gracias..."""
