r01_gd_flo_wi#0,"""Fuwan"""
r01_gd_pyc_ba#0,"""Tinos"""
r01_gd_sol_sw#0,"""Pettas Sword"""
r01_gd_sol_swld#0,"""Pettax Sword"""
r01_gd_sol_ri#0,"""Pettas Gun"""
r01_gd_sol_rild#0,"""Pettax Gun"""
r01_gd_sol_ax#0,"""Pettas Axe"""
r01_gd_sol_axld#0,"""Pettax Axe"""
r01_gd_sol_lu#0,"""Pettas Launcher"""
r01_gd_sol_luld#0,"""Pettax Launcher"""
r01_gd_gor_ba#0,"""Gororon"""
r01_gd_gor_bald#0,"""Gororox"""
r01_gd_for_ba#0,"""Dotts"""
r01_gd_box_ba#0,"""Nogleth"""
r01_gd_phe_ba#0,"""Oruq"""
r01_gd_ktn_ba#0,"""Bujin"""
r01_gd_mag_ba#0,"""Varas"""
r01_gd_dra_ba#0,"""Nex Aelio"""
r01_gd_dra_rai#0,"""Nex Vera"""
r01_gd_gia_sw#0,"""Daityl Sword"""
r01_gd_gia_ax#0,"""Daityl Axe"""
r01_gd_sol_rai#0,"""Pettas Vera"""
r01_gd_god_1#0,"""???"""
r01_nat_monki_ba#0,"""Udan Lore"""
r01_nat_month_ba#0,"""Za'udan Lore"""
r01_nat_wol_sm#0,"""Grulf Lore"""
r01_nat_wol_bi#0,"""Phongrulf Lore"""
r01_nat_bir_ba#0,"""Agnis Lore"""
r01_nat_armma_ba#0,"""Gara Garongo"""
r01_nat_bea_ba#0,"""Crag Bear"""
r01_nat_fan_m#0,"""Ard Banser"""
r01_nat_fan_f#0,"""Ard Banshee"""
r01_nat_fan_thum#0,"""Thunder Banser"""
r01_nat_fan_thuf#0,"""Thunder Banshee"""
r01_unk_rap_ba#0,"""Rappy"""
r01_alt_hrp_ba#0,"""Evil Angelo"""
r01_alt_lzd_fl#0,"""Lizard Fray"""
r01_alt_lzd_sn#0,"""Lizard Ice"""
r01_alt_lzd_th#0,"""Lizard Thunder"""
r01_alt_der_ba#0,"""Heruc"""
r01_alt_hog_ba#0,"""Banehog"""
r01_alt_cli_ba#0,"""Chiacurio"""
r01_alt_wlf_ba#0,"""Waulon"""
r01_alt_flg_ba#0,"""Bigg Frogga"""
r01_alt_tis_ba#0,"""Eldi Scythe"""
r01_ani_rbt_w#0,"""Sunny"""
r01_ani_rbt_b#0,"""Moony"""
r01_ani_sli_a#0,"""Otarica"""
r01_ani_ush_a#0,"""Moo Bell"""
r01_ani_ush_b#0,"""Tau Bell"""
r01_ani_boa_a#0,"""Noxxi"""
r01_ani_kit_a#0,"""Voks"""
r01_ani_moo_a#0,"""Dian"""
r01_ani_bir_s#0,"""-"""
r01_ani_brs_a#0,"""Patt"""
r01_ani_bir_b#0,"""Birdoth"""
r01_ani_bir_yz#0,"""Frango"""
r01_non_dro_a#0,"""Drome"""
r01_unk_rap_9av#0,"""Ceremo Rappy"""
r01_gd_sol_swbo#0,"""Boms Sword"""
r01_gd_sol_swbold#0,"""Bomks Sword"""
r01_gd_sol_ribo#0,"""Boms Gun"""
r01_gd_sol_ribold#0,"""Bomks Gun"""
r01_gd_ins_ba#0,"""Destragras"""
r01_unk_rap_mo#0,"""Moongaze Rappy"""
EnemyTitleRareEnemyGti#0,"""Golden"""
EnemyTitleRareEnemySti#0,"""Silver"""
EnemyTitleStrongEnemy#0,"""Malevolent"""
EnemyTitleRegionBossEnemy#0,"""Veteran"""
All#0,"""Unspecified Enemy"""
Generic#0,"""Enemy"""
God#0,"""DOLLS"""
Alter#0,"""ALTERS"""
Another#0,"""Super-Dimensional"""
Animal#0,"""TAMES"""
Natural#0,"""FORMERS"""
Independent#0,"""Unaffiliated"""
SwordPA01#0,"""Spiral Edge"""
SwordPA02#0,"""Twisting Zapper"""
SwordPA03#0,"""Calibur Streak"""
WlancePA01#0,"""Cutting Layer"""
WlancePA02#0,"""Vane Mixture"""
WlancePA03#0,"""Turbulent Train"""
PartisanPA01#0,"""Cleaving Scythe"""
PartisanPA02#0,"""Thrusting Javelin"""
PartisanPA03#0,"""Fatal Tornado"""
TdaggerPA01#0,"""Circling Buzzard"""
TdaggerPA02#0,"""Helzeus Coat"""
TdaggerPA03#0,"""Pirouette Ripper"""
DsaberPA01#0,"""Julien Dance"""
DsaberPA02#0,"""Unchained Circle"""
DsaberPA03#0,"""Quick Gash"""
KnucklePA01#0,"""Swift Rush"""
KnucklePA02#0,"""Thousand Blows"""
KnucklePA03#0,"""Double Drive"""
RiflePA01#0,"""Razing Shot"""
RiflePA02#0,"""Homing Darts"""
RiflePA03#0,"""Blaze Shot"""
LauncherPA01#0,"""Fallen Impact"""
LauncherPA02#0,"""Fear Eraser"""
LauncherPA03#0,"""Multi-launch"""
MachinegunPA01#0,"""Bullet Rave"""
MachinegunPA02#0,"""Aimless Rain"""
MachinegunPA03#0,"""Point Blank"""
Fire01#0,"""Foie"""
Fire02#0,"""Gifoie"""
