NoLimit#0,"""Sin límite"""
LimitedByAccount#0,"""$(0) veces por cuenta"""
LimitedByCharacter#0,"""$(0) veces por personaje"""
LimitedByAccount_Resettime#0,"""<yellow>$(0)に再受注可能です。<c>"""
LimitedByAccount_RepeatSelectTask#0,"""アカウントごと"""
LimitedByCharacter_RepeatSelectTask#0,"""キャラクターごと"""
template_enemy#0,"""Derrota $(0) usando $(1)."""
template_CollisionAccess#0,"""Ve a %(CollisionId)"""
template_GatheringPlayed#0,"""Recoger x%(num) %(ObjectId)"""
template_NpcTalk#0,"""Habla con %(NpcId)"""
template_QuestClear#0,"""Completa %(QuestNo)"""
template_EnemyKill#0,"""Derrota %(num) %(EnemyName)"""
location_guide_arrival#0,"""Ahora ingresando al área correcta para \""$(0)\""."""
location_guide_leave#0,"""Ahora sal del área correcta para \""$(0)\""."""
recommend_focus_main_task#0,"""Se ha recibido una nueva tarea principal.<br>Muestra su información de guía en la lista de tareas."""
acquired_reward_items#0,"""Recibió un artículo de recompensa."""
discarded_task#0,"""Descartada la tarea: \""$(0)\""."""
discarded_task_error#0,"""No se pudo descartar la tarea: \""$(0)\""."""
subobjective_progress_fifty_percent#0,"""Alcanzó el 50% de progreso para la meta.: \""$(0)\"""""
subobjective_progress_eighty_percent#0,"""Alcanzó el 80% de progreso para la meta.: \""$(0)\"""""
subobjective_appeared#0,"""nueva meta: \""$(0)\""."""
subobjective_achieved#0,"""Completada la nueva meta: \""$(0)\""."""
multi_tasks_accepted#0,"""Recibió múltiples órdenes de tareas"""
task_accepted#0,"""Aceptado la tarea: \""$(0)\""."""
focused_task#0,"""Visualización de la info de la guía para la tarea: \""$(0)\""."""
focused_task_error#0,"""No se pudo mostrar la info de la guía para la tarea: \""$(0)\""."""
cancelled_focus_task#0,"""Ocultar la info de la guía para la tarea: \""$(0)\""."""
cancelled_focus_task_error#0,"""No se pudo ocultar la info de la guía para la tarea: \""$(0)\""."""
accomplished_task#0,"""Completó la tarea: \""$(0)\""."""
accepted_task_error#0,"""No se puede aceptar la tarea: \""$(0)\""."""
quest_focus_task_cannot#0,"""La configuración de la pantalla de info de la guía no se puede cambiar mientras una misión está en curso."""
task_unknown_error#0,"""Error desconocido."""
task_order_expired#0,"""Esta tarea ha expirado."""
task_order_restrictions_error#0,"""No se puede aceptar por superar el límite de aceptación."""
task_order_unfulfilled#0,"""Todavía tienes tareas incompletas de tiempo limitado."""
