Window_Titletelop_Exchange_General#0,"""Item Exchange Shop"""
Window_TwolineGuide_Exchange_General#0,"""<c f0df60>Please select a shop.<c>"""
Window_Titletelop_Exchange#0,"""Intercambio de objetos"""
Window_TwolineGuide_Exchange#0,"""<c f0df60>Intercambiar objetos específicos por un objeto de la lista.<c>"""
Window_Controlguide#0,"""Confirm: <%Decide>\u3000Cancelar: <%Cancel>\u3000Ventana de cambio: <%ChangeCtrlWindowForward>"""
Window_Exchange_Itemselection#0,"""Selección de intercambio de objetos"""
Window_Material_Itemselection#0,"""Selección de intercambio de materiales"""
Window_Target_Itemselection#0,"""Selección de objetos de interés"""
Window_Target_Itemlist#0,"""Lista de objetos de interés"""
Window_ExchangeCandidate_Itemlist#0,"""Lista de candidatos al intercambio de objetos"""
Label_Item_Name#0,"""Nombre del objeto"""
Label_Required_Number#0,"""Necesitas"""
Label_Possession_Number#0,"""Tienes"""
Label_Exchange_Number#0,"""Nº de intercambios"""
Window_Special_Ability_Transfer#0,"""Habilidad especial de transferencia"""
Content_Special_Ability_Transfer#0,"""Contenido de la Transferencia de Habilidades"""
Content_Iteminfo_Capacity#0,"""$(0) Capacidad después del intercambio"""
Button_Exchange#0,"""Intercambio"""
Button_Item_Search#0,"""Búsqueda de objetos"""
Window_Want_Item#0,"""Objetos buscados"""
Window_Item_Exchange#0,"""Intercambio de objetos"""
Mes_Item_Unequipped#0,"""Los siguientes elementos están <yellow>equipados<c>.<br>¿Se equipa y procede?"""
Mes_Item_Unlock#0,"""Los siguientes elementos están <yellow>bloqueados<c>.<br> ¿Desbloquear y proceder?"""
Mes_Item_Unequipped_Unlock#0,"""Los siguientes objetos están <yellow>equipados o bloqueados<<c>.<br>¿Desequiparlos/desbloquearlos y proceder?"""
Label_Unequipped#0,"""Sin equipar"""
Label_Unlock#0,"""Bloqueado"""
Label_NoItem#0,"""No hay objetos de destino"""
Mes_Exchange_Start#0,"""Cambia los siguientes objetos por $(0) x$(1)?"""
Mes_Exchange_Completed#0,"""Los objetos han sido cambiados"""
Window_Get_Method#0,"""Obtención de objetos"""
Label_Recommended_TaskList#0,"""Tareas recomendadas"""
Label_Myshop_History#0,"""Historial de compras"""
Button_Myshop_Search#0,"""Buscar en MyShop"""
Label_Strengthening_Value#0,"""Grind Level"""
Label_Quantity#0,"""Cantidad"""
Label_Price#0,"""Precio"""
Window_Titletelop_Recycle#0,"""Reciclar objetos"""
Window_TwolineGuide_Recycle#0,"""<c f0df60>Puedes recibir artículos a cambio de otros artículos específicos. Si ofreces suficientes artículos, puedes recibir más de un artículo a la vez a cambio.<c>"""
Label_Acquisition_Quantity#0,"""Recibir"""
Mes_Shop_Access_NG#0,"""No se puede utilizar durante una misión."""
Special conditions_1#0,"""Nivel de mejora $(0) o superior"""
Special conditions_2#0,"""$(0) Atributo"""
Special conditions_3#0,"""Cualquier atributo"""
Special conditions_4#0,"""Rarity $(0) o superior"""
Special conditions_5#0,"""La capacidad potencial liberada $(0)"""
Special conditions_6#0,"""Potential Level $(0)"""
Special conditions_7#0,"""Special Ability granted $(0)"""
Special conditions_8#0,"""Número de habilidades especiales $(0)"""
Special conditions_9#0,"""Categoría de armas $(0)"""
Special conditions_10#0,"""Tipo de objeto $(0)"""
Special conditions_11#0,"""Se puede equipar con $(0)"""
Special conditions_12#0,"""$(0) & $(1)"""
Special conditions_13#0,"""$(0)$(1)"""
Special conditions_14#0,"""objeto"""
Exchange rate_itemname_1#0,"""$(0) ($(1) pcs.)"""
Exchange rate_itemname_2#0,"""$(0) x$(1)"""
Caution_Failure#0,"""Intercambio fallido"""
Caution_MaximumNumber#0,"""Se ha alcanzado el límite de intercambios máximos."""
EnhancementValue#0,"""Nivel de mejora de +1 o más"""
No_EnhancementValue#0,"""No hay mejoras"""
Button_Item_Search_Myshop_NG#0,"""Este objeto no puede mostrarse en las Tiendas del Jugador."""
Recyclebadge_ac#0,"""Target AC Scratch Items"""
Recyclebadge_sg#0,"""Target SG Scratch Items"""
PaidShop_Top_Title#0,"""AC & SG Shop"""
PaidShop_Top_Help#0,"""Puedes comprar artículos útiles y de Mejora en AC y SG."""
PaidShop_Top_MenuTitle#0,"""Shop Menu"""
PaidShop_Top_MenuItem01#0,"""AC Shop<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem02#0,"""SG Shop<pict 4space><pict StarGem>"""
PaidShop_Top_MenuItem03#0,"""Cargar AC"""
PaidShop_Top_MenuItem04#0,"""Comprar SG<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem05#0,"""Historial de compras"""
PaidShop_Top_MenuItem06#0,"""SG Transaction History"""
PaidShop_Top_CashTitle#0,"""Monedas propias"""
PaidShop_Top_CashItem01#0,"""AC en Propiedad"""
PaidShop_Top_CashItem02#0,"""SG en Propiedad"""
PaidShop_Top_BannerTitle#0,"""Aviso"""
PaidShop_Top_BannerWebOperation#0,"""<%NextTabDetails> para ver los detalles a través de la página web."""
PaidShop_Top_OperationHelp#0,"""Aceptar：<%Decide>\u3000\u3000Return：<%Cancel>\u3000Notificaciones de cambio：<%TabForward><pict 4space><%TabBack>\u3000\u3000Abrir página web：<%NextTabDetails>"""
PaidShop_LimitedItemTitle01#0,"""Información sobre el producto"""
PaidShop_LimitedItemTitle02#0,"""<yellow>Artículo por tiempo limitado<c>"""
PaidShop_LimitedItemTitle03#0,"""<yellow>Artículo por tiempo limitado<c>"""
LimitedItemText1#0,"""$(0) se puede comprar"""
LimitedItemText2#0,"""$(0) restantes"""
LimitedTime#0,"""$(0) Max"""
PacIteminfo_Title#0,"""Pack Item Information"""
PacIteminfo_Bonus#0,"""※Se distribuirá al Visiphone después de la compra."""
PacIteminfo_Possession#0,"""Tienes ($(0))"""
LimitedResetShop_Limited1#0,"""<yellow>(Reinicio: $(0) Dia(s))<c>"""
LimitedResetShop_Limited2#0,"""<yellow>(Reinicio: $(0) hora(s))<c>"""
ItemShop_Title#0,"""Item Shop"""
ItemShop_Help#0,"""Compra armas, armaduras y objetos consumibles, y reabastécete de Signos."""
ItemPac_buy#0,"""Comprar para inventariar"""
WarehouseAll_buy#0,"""Comprar a todos los almacenes"""
WarehousePost_buy#0,"""<pict wh_post_icon> Comprar para almacén temporal"""
WarehouseSystemPost_buy#0,"""<pict wh_management> Comprar para sistema de almacén"""
WarehouseDefault_buy#0,"""<pict wh_icon> Comprar para almacén básico"""
WarehouseCharacter_buy#0,"""<pict wh_chara_icon> Comprar para almacen PJ"""
WarehousePremiere_buy#0,"""<pict wh_premium_icon> Comprar para Premium Storage"""
OneTimePassward_buy#0,"""<pict wh_otp_icon> Comprar para OTP Storage"""
WarehouseEs_buy#0,"""<pict wh_es_icon> Buy to PSO2es Storage"""
WarehouseDish_buy#0,"""<pict wh_dish_icon> Buy to Material Storage"""
WarehouseAddition01_buy#0,"""<pict wh_extend1_icon> Comprar para Expansion Storage 1"""
WarehouseAddition02_buy#0,"""<pict wh_extend2_icon> Comprar para Expansion Storage 2"""
WarehouseAddition03_buy#0,"""<pict wh_extend3_icon> Comprar para Expansion Storage 3"""
WarehouseAddition04_buy#0,"""<pict wh_extend4_icon> Comprar para Expansion Storage 4"""
WarehouseAddition05_buy#0,"""<pict wh_extend5_icon> Comprar para Expansion Storage 5"""
WarehouseAddition06_buy#0,"""<pict wh_extend6_icon> Comprar para Expansion Storage 6"""
WarehouseDrop_buy#0,"""<pict wh_quest_icon> Comprar para Drop Storage"""
WarehousePool_buy#0,"""<pict wh_pool_icon> クエスト倉庫 に買う"""
ItemPac_sell#0,"""<pict wh_item_icon> Vender desde el inventario"""
WarehouseAll_sell#0,"""<pict wh_all_icon> Vender desde todos los almacenes"""
WarehousePost_sell#0,"""<pict wh_post_icon> Vender desde el Temporary Storage"""
WarehouseSystemPost_sell#0,"""<pict wh_management> Vender desde el System Storage"""
WarehouseDefault_sell#0,"""<pict wh_icon> Vender desde el Basic Storage"""
WarehouseCharacter_sell#0,"""<pict wh_chara_icon> Vender desde el Character Storage"""
WarehousePremiere_sell#0,"""<pict wh_premium_icon> Vender desde el Premium Storage"""
OneTimePassward_sell#0,"""<pict wh_otp_icon> Sell from OTP Storage"""
WarehouseEs_sell#0,"""<pict wh_es_icon> Sell from PSO2es Storage"""
WarehouseDish_sell#0,"""<pict wh_dish_icon> Sell from Material Storage"""
WarehouseAddition01_sell#0,"""<pict wh_extend1_icon> Vender desde el Expansion Storage 1"""
