Button_Move_Pad#0,"""<pict Alpha_ls>"""
Button_Move_Keyboard#0,"""<%MoveForward>/<%MoveLeft>/<%MoveBack>/<%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_Dush#0,"""Mantenga <%Avoid>"""
Button_DushJump#0,"""Press <%Jump> mientras Dashing"""
Button_Attack#0,"""<%NormalAttack>"""
Button_Avoid#0,"""<%Avoid>"""
Button_LockOn#0,"""<%LockOn>"""
Button_PhotonArts#0,"""<%PhotonArts>"""
Button_SubPallet_Select#0,"""<%SubPaletteLeft>/<%SubPaletteRight>"""
Button_SubPallet_Action#0,"""<%SubPalette>"""
Button_Glide_01#0,"""Pulsa <%Jump> mientras saltas"""
Button_Glide_02#0,"""o mantenga pulsado <%Jump>"""
Label_Move#0,"""Mover"""
Label_Jump#0,"""Saltar"""
Label_Dush#0,"""Photon Dash"""
Label_DushJump#0,"""Photon Dash Jump"""
Label_Attack#0,"""Normal Attack"""
Label_Avoid#0,"""Evadir"""
Label_LockOn#0,"""Lock-On"""
Label_PhotonArts#0,"""Photon Arts"""
Label_SubPallet_Select#0,"""Subpalette Selection"""
Label_SubPallet_Action#0,"""Activar Subpalette"""
Label_Glide#0,"""Photon Glide"""
