Hypotension#0,"""Madrugador"""
Night#0,"""Night Owl"""
Sun#0,"""Amante del sol"""
Cloud#0,"""Amante de las nubes"""
EnemyLarge#0,"""Cazador de caza mayor"""
EnemySmall#0,"""Cazador de caza menor"""
Pinch#0,"""Amante de los desvalidos"""
Loonie#0,"""Lento en el arranque"""
Lonely#0,"""Alma solitaria"""
DarkerKiller#0,"""Cazador de Falsos Espíritus"""
NativeKiller#0,"""Cazador salvaje"""
MachineKiller#0,"""Cazador Mech"""
DragonKiller#0,"""Cazador Draconiano"""
ChimeraKiller#0,"""Cazador oceánico"""
Tsundere#0,"""Personalidad caliente y fría"""
TitanKiller#0,"""Cazador nocturno"""
PhantomKiller#0,"""Cazador de fantasmas"""
BeastKiller#0,"""Cazador sobrenatural"""
CypherKiller#0,"""Cazador Luminmech"""
Brave#0,"""Espíritu valiente"""
Poser#0,"""Show-Off"""
Shy#0,"""Retirado"""
Leader#0,"""Liderazgo"""
Donkey#0,"""Chico torpe"""
Senior#0,"""Anciano"""
Sickly#0,"""Enfermizo"""
Daredevil#0,"""Intrépido"""
Innocence#0,"""Inocente"""
Blonde#0,"""Cabeza hueca"""
Intellectual#0,"""Intelectual"""
MsgFriendAdd#0,"""$(0) ha sido añadido a tus compañeros."""
MsgJoinEnable#0,"""Ahora puedes invitar a $(0)."""
MsgJoinDisable#0,"""Ya no puedes invitar a $(0)."""
MsgErrorExsit#0,"""$(0) ya ha sido invitado por otro jugador en una misión."""
MsgErrorNoExsit#0,"""$(0) ya ha vuelto o ha sido invitado por otro jugador."""
MsgErrorFullParty#0,"""No puedes invitar a más jugadores porque tu grupo está lleno."""
MsgErrorFullRoom#0,"""No puedes invitar a más jugadores porque se ha alcanzado el límite de jugadores para la búsqueda."""
MsgErrorFullEvent#0,"""No has podido unirte porque se ha alcanzado el límite de jugadores."""
MsgErrorSystem#0,"""No puedes invitar a un compañero porque no se han añadido compañeros, o porque se han eliminado todos."""
MsgErrorLoadApcList#0,"""No se ha podido invitar a un compañero."""
MsgErrorRegisterFriendApc#0,"""No se ha podido añadir el avatar de otro jugador."""
MsgRegisterFriendApc#0,"""Se ha añadido el avatar de otro jugador."""
MsgDeleteFriendApc#0,"""Se ha borrado el avatar de otro jugador."""
MsgErrorDeleteFriendApc#0,"""No se ha podido eliminar el avatar de otro jugador."""
MsgErrorNotRegisterFriendApc#0,"""No has añadido ningún avatar de otro jugador."""
