Symbol_Common_ID#0,"""ID de la pieza"""
Symbol_Common_Name#0,"""Nombre de la pieza"""
Symbol_Common_Pos#0,"""Posición"""
Symbol_Common_Height#0,"""Altura"""
Symbol_Common_Wight#0,"""Width"""
Symbol_Common_Rotate#0,"""Rotación"""
Symbol_Common_Alpha#0,"""Transparencia"""
Symbol_Common_Color#0,"""Color"""
Symbol_Common_Folder#0,"""Carpetas"""
Symbol_Common_Visible#0,"""Visibilidad"""
Symbol_Common_GroupID#0,"""Group ID"""
Symbol_Common_ColorA#0,"""A"""
Symbol_Common_ColorR#0,"""R"""
Symbol_Common_ColorG#0,"""G"""
Symbol_Common_ColorB#0,"""B"""
Symbol_Common_PosX#0,"""X"""
Symbol_Common_PosY#0,"""Y"""
EditVectorSet#0,"""Registrar Symbol Art"""
EditVectorClear#0,"""Borrar registro"""
SoundFile_00_vita#0,"""sonido del globo"""
SoundFile_00#0,"""Seleccione un efecto de sonido"""
SoundFile_01#0,"""Silencioso"""
SoundFile_02#0,"""General"""
SoundFile_03#0,"""Alegre"""
SoundFile_04#0,"""Furia"""
SoundFile_05#0,"""Afligido"""
SoundFile_06#0,"""Ansiedad"""
SoundFile_07#0,"""Sorpresa"""
SoundFile_08#0,"""Pregunta"""
SoundFile_09#0,"""Ayuda!"""
SoundFile_10#0,"""Silbato"""
SoundFile_11#0,"""Timido"""
SoundFile_12#0,"""Decisivo"""
ColorSelectForm_Color_Title#0,"""Ajuste de color"""
ColorSelectForm_Alpha_Title#0,"""Ajuste de transparencia"""
EditForm_Color_Exp#0,"""Seleccione un color de pieza"""
EditForm_Alpha_Exp#0,"""Seleccione un nivel de transparencia para la pieza."""
MoneyForm_Title#0,"""-"""
MoneyForm_Button_Up#0,"""-"""
MoneyForm_Exp#0,"""-"""
EditForm_Title#0,"""Editar Symbol Art"""
EditForm_Button_Save#0,"""Guardar"""
EditForm_Button_AsSave#0,"""Guardar en otra ranura"""
EditForm_Button_NameEdit#0,"""Editar nombre"""
EditForm_Button_Create#0,"""Añadir piezas"""
EditForm_Sort_Big#0,"""Tamaño estándar (Chat / Perfil)"""
EditForm_Sort_Normal#0,"""Tamaño medio (decoración de la habitación)"""
EditForm_Sort_Mini#0,"""Tamaño pequeño (Bandera de Alianza)"""
EditForm_Button_Back#0,"""Deshacer"""
EditForm_Button_Front#0,"""Rehacer"""
EditForm_Button_Minus#0,"""-"""
EditForm_Button_Plus#0,"""+"""
EditForm_Zoom#0,"""$(0)% Zoom"""
EditForm_Title_AddStr#0,"""* (Actualizado)"""
EditForm_VITA_Help#0,"""Ayuda"""
EditForm_VITA_Menu#0,"""<pict Sign_SELECT>Menu"""
EditForm_VITA_Menu_Create#0,"""Crear parte"""
EditForm_VITA_Menu_Save#0,"""Guardar"""
EditForm_VITA_Menu_SaveAs#0,"""Guardar en otra ranura"""
EditForm_VITA_Menu_NameEdit#0,"""Editar nombre"""
EditForm_VITA_Menu_Zoom#0,"""Zoom"""
EditForm_VITA_Menu_Sound#0,"""SFX Ajustes"""
EditForm_VITA_Menu_Size#0,"""Cambio de tamaño del lienzo"""
EditForm_VITA_Menu_Title#0,"""Symbol Art Menu"""
EditForm_VITA_Size_Title#0,"""Cambio de tamaño del lienzo"""
EditForm_VITA_Sound_Title#0,"""SFX Ajustes"""
EditForm_VITA_Zoom_Title#0,"""Zoom"""
EditForm_NoParts#0,"""No hay partes seleccionables."""
EditForm_SaveNoData_Exp#0,"""No puedes ahorrar si no tienes ninguna pieza."""
EditForm_Exit_Exp#0,"""Las ediciones realizadas después del último guardado se perderán.<br>¿Seguro que quieres salir?"""
EditForm_Save_Exp#0,"""Esta ranura ya está en uso.<br> ¿Desea sobrescribir?"""
EditForm_Exten_Exp#0,"""Sólo se guardarán las partes visibles. <br>¿Continuar?"""
EditForm_Draft_Exp#0,"""Este borrador aún no se ha guardado.<br> Al salir se perderán los datos del borrador. ¿Continuar?"""
CreateForm_Title#0,"""Seleccione las piezas"""
CreateForm_Parts_NotFound#0,"""No hay piezas"""
CreateForm_Tab_Font#0,"""Texto"""
CreateForm_Tab_Base#0,"""Formas básicas"""
CreateForm_Tab_Line#0,"""Líneas"""
CreateForm_Tab_Ink#0,"""Tinta"""
CreateForm_Tab_Gradation#0,"""Gradients"""
CreateForm_Tab_Pattern#0,"""Fractales"""
CreateForm_Tab_Mark#0,"""Marcas"""
CreateForm_Tab_Etc#0,"""Otros"""
CreateForm_Tab_Stamp#0,"""Imágenes"""
