extra_assign#0,"""exq_$(0)"""
exq_EnemyAtkDown_010#0,"""El Ataque baja un 10%"""
exq_EnemyAtkDown_020#0,"""El Ataque baja un 20%"""
exq_EnemyAtkDown_030#0,"""El Ataque baja un 30%"""
exq_EnemyAtkDown_040#0,"""El Ataque baja un 40%"""
exq_EnemyAtkDown_050#0,"""El Ataque baja un 50%"""
exq_EnemyAtkDown_060#0,"""El Ataque baja un 60%"""
exq_EnemyAtkDown_070#0,"""El Ataque baja un 70%"""
exq_EnemyAtkDown_080#0,"""El Ataque baja un 80%"""
exq_EnemyAtkDown_090#0,"""El Ataque baja un 90%"""
exq_EnemyAtkUp_010#0,"""El Ataque sube un 10%"""
exq_EnemyAtkUp_020#0,"""El Ataque sube un 20%"""
exq_EnemyAtkUp_030#0,"""El Ataque sube un 30%"""
exq_EnemyAtkUp_040#0,"""El Ataque sube un 40%"""
exq_EnemyAtkUp_050#0,"""El Ataque sube un 50%"""
exq_EnemyAtkUp_060#0,"""El Ataque sube un 60%"""
exq_EnemyAtkUp_070#0,"""El Ataque sube un 70%"""
exq_EnemyAtkUp_080#0,"""El Ataque sube un 80%"""
exq_EnemyAtkUp_090#0,"""El Ataque sube un 90%"""
exq_EnemyAtkUp_100#0,"""El Ataque sube un 100%"""
exq_EnemyAtkUp_200#0,"""El Ataque sube un 200%"""
exq_EnemyAtkUp_300#0,"""El Ataque sube un 300%"""
exq_EnemyAtkUp_400#0,"""El Ataque sube un 400%"""
exq_EnemyAtkUp_500#0,"""El Ataque sube un 500%"""
exq_EnemyDefDown_010#0,"""La defensa baja un 10%"""
exq_EnemyDefDown_020#0,"""La defensa baja un 20%"""
exq_EnemyDefDown_030#0,"""La defensa baja un 30%"""
exq_EnemyDefDown_040#0,"""La defensa baja un 40%"""
exq_EnemyDefDown_050#0,"""La defensa baja un 50%"""
exq_EnemyDefDown_060#0,"""La defensa baja un 60%"""
exq_EnemyDefDown_070#0,"""La defensa baja un 70%"""
exq_EnemyDefDown_080#0,"""La defensa baja un 80%"""
exq_EnemyDefDown_090#0,"""La defensa baja un 90%"""
exq_EnemyDefUp_010#0,"""La defensa sube un 10%"""
exq_EnemyDefUp_020#0,"""La defensa sube un 20%"""
exq_EnemyDefUp_030#0,"""La defensa sube un 30%"""
exq_EnemyDefUp_040#0,"""La defensa sube un 40%"""
exq_EnemyDefUp_050#0,"""La defensa sube un 50%"""
exq_EnemyDefUp_060#0,"""La defensa sube un 60%"""
exq_EnemyDefUp_070#0,"""La defensa sube un 70%"""
exq_EnemyDefUp_080#0,"""La defensa sube un 80%"""
exq_EnemyDefUp_090#0,"""La defensa sube un 90%"""
exq_EnemyHpUp_10#0,"""HP sube un 10%"""
exq_EnemyHpUp_20#0,"""HP sube un 20%"""
exq_EnemyHpUp_30#0,"""HP sube un 30%"""
exq_EnemyHpUp_40#0,"""HP sube un 40%"""
exq_EnemyHpUp_50#0,"""HP sube un 50%"""
exq_EnemyHpUp_60#0,"""HP sube un 60%"""
exq_EnemyHpUp_70#0,"""HP sube un 70%"""
exq_EnemyHpUp_80#0,"""HP sube un 80%"""
exq_EnemyHpUp_90#0,"""HP sube un 90%"""
exq_EnemyHpUp_100#0,"""HP sube un 100%"""
exq_EnemyHpUp_200#0,"""HP sube un 200%"""
exq_EnemyHpUp_300#0,"""HP sube un 300%"""
exq_EnemyHpUp_400#0,"""HP sube un 400%"""
exq_EnemyHpUp_500#0,"""HP sube un 500%"""
exq_EnemyHpDown_10#0,"""HP baja un 10%"""
exq_EnemyHpDown_20#0,"""HP baja un 20%"""
exq_EnemyHpDown_30#0,"""HP baja un 30%"""
