DirectUse_MyRoom_1#0,"""Confirmar el uso del objeto"""
DirectUse_MyRoom_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien carece del derecho a utilizar<br>\""My Room\"" o<br>el periodo de uso ha expirado.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""My Room\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_MyShop_1#0,"""Confirmar el uso del objeto"""
DirectUse_MyShop_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien carece del derecho a utilizar<br>\""My Shop\"" o<br>el periodo de uso ha expirado.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""My Shop\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_Trade_1#0,"""Confirmar el uso del objeto"""
DirectUse_Trade_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien carece del derecho a utilizar<br>\""Item Trading\"" o<br>el periodo de uso ha expirado.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""Item Trading\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_PremiumContainer_1#0,"""Confirmar el uso del objeto"""
DirectUse_PremiumContainer_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de \""Premium Storage\"" or your<br>usage period has expired.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""Premium Storage\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_PremiumLine_1#0,"""Confirmar el uso del objeto"""
DirectUse_PremiumLine_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de \""Premium Craft Lines\"" or your<br>usage period has expired.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""Premium Craft Lines\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_GuildContainer_1#0,"""Confirmar el uso del objeto"""
DirectUse_GuildContainer_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de the \""Team Storage\"" or your<br>usage period has expired.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir the \""Team Storage\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_RentalContainer_1#0,"""Confirmar el uso del objeto"""
DirectUse_RentalContainer_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>No tiene derecho a utilizar el<br>\""Expansion Storage\"", o el período de uso<br>ha expirado.<br><br>¿Desea utilizar el<br><yellow>\""Expansion Storage\""<c> de su inventario para activar la función?<br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_ClientOrder_1#0,"""Item Purchase Confirmation"""
DirectUse_ClientOrder_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de the \""Client Order Expansion\"" or your<br>usage period has expired.<br><br>¿Desea utilizar el <yellow>Premium Set<c><br>que tiene en su Inventario para permitir\""Client Order Expansion\""?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_ClientOrder_3#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>O bien carece del derecho a utilizar<br>\""Client Order Expansion\""<br>or the usage period has expired.<br><br>¿Desea utilizar el<br><yellow>\""Client Order Expansion\""<c> de su inventario para activar la función?<br><br><red>※Si tiene varios tipos de billetes, se utilizará el de mayor duración.<c><br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectBuy_PremiumTicket_1#0,"""Item Purchase Confirmation"""
DirectBuy_PremiumTicket_2#0,"""<pict Arcscash><c ff4f3f>ARKS Cash content<c><br>O bien carece del derecho a utilizar this function,<br>or the usage period has expired.<br><br>You could buy a <yellow>Premium Set<c> to enable it.<br>¿Proceder a la pantalla de compra?<br><br><red>※ If you would like to buy tickets for separate functions, please do so from the AC Shop in the main menu.<c>"""
DirectBuy_PremiumTicket_3#0,"""<pict Arcscash><c ff4f3f>AC Content<c><br>O bien te falta un \""Premium Set\"" para beneficiarse<br>de \""Client Order Expansion\"" or your<br>usage period has expired.<br><br>You can buy a <yellow>Premium Set<c><br>to immediately enable the function.<br>¿Proceder a la pantalla de compra?<br><br><red>※Utilice el menú \""AC Shop\"" si prefiere comprar entradas individuales.<c>"""
DirectBuy_RentalContainer_1#0,"""Item Purchase Confirmation"""
DirectBuy_RentalContainer_2#0,"""<pict Arcscash><c ff4f3f>ARKS Cash content<c><br>No tiene derecho a utilizar el<br>\""Expansion Storage\"", o el período de uso<br>ha expirado.<br><br>Puede comprar un <yellow>[Expansion Storage Ticket]<c><br>y utilizarlo inmediatamente.<br>¿Pasa a la pantalla de compra?"""
DirectBuy_TermWindow_1#0,"""Item Purchase Confirmation"""
DirectBuy_TermWindow_2#0,"""Here you can purchase and use function expansion items.<br>Would you like to make such a purchase?"""
DirectBuy_ClientOrder_1#0,"""Item Purchase Confirmation"""
DirectBuy_ClientOrder_2#0,"""<pict Arcscash><c ff4f3f>AC Content<c><br>O bien carece del derecho a utilizar<br>\""Client Order Expansion\"" o<br>el periodo de uso ha expirado.<br><br>You can buy a <yellow>\""Client Order Expansion\""<c><br>to immediately enable the function.<br>Proceed to the purchase confirmation screen?"""
DirectUse_DishContainer_1#0,"""Confirmar el uso del objeto"""
DirectUse_DishContainer_2#0,"""<pict Arcscash><c 5fdf00>Confirmar el uso del objeto<c><br>No tiene derecho a utilizar el<br>\""Material Storage\"", o el período de uso<br>ha expirado.<br><br>¿Desea utilizar el<br><yellow>\""Material Storage\""<c> de su inventario para activar la función?<br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUseSG_DishContainer_1#0,"""Confirmar el uso del objeto"""
DirectUseSG_DishContainer_2#0,"""<pict StarGem><pure_green>Confirmar el uso del objeto<c><br>No tiene derecho a utilizar el<br>\""Material Storage\"", o el período de uso<br>ha expirado.<br><br>¿Desea utilizar el<br><yellow>\""Material Storage\""<c> de su inventario para activar la función?<br><br><red>※Para utilizar el billete usted mismo,<br>  selecciónelo en su inventario.<c>"""
DirectUse_EquipNote_1#0,"""Confirmar el uso del objeto"""
