YesText#0,"""Si"""
NoText#0,"""No"""
CloseText#0,"""Cerrar"""
OpenText#0,"""Abrir"""
MaxText#0,"""Max"""
MinText#0,"""Min"""
Sort#0,"""Ordenar"""
Copy#0,"""Copiar"""
Peaste#0,"""Pegar"""
NextText#0,"""Siguiente"""
PrevText#0,"""Anterior"""
DecideText#0,"""Confirmar"""
CancelText#0,"""Cancelar"""
OKText#0,"""OK """
ReturnText#0,"""Volver"""
TitleText#0,"""Mensaje"""
CheckText#0,"""No mostrar está ventana de nuevo."""
NoneText#0,"""Nada"""
Preview#0,"""Vista previa"""
SimplePreview#0,"""Vista simple"""
Skip#0,"""¿Seguro que deseas saltar al final<br>de la escena o hasta la proxima eleccion?"""
SkipMovie#0,"""Esto omitira la reproducción del video.<br>¿Quieres continuar?"""
SymbolArt_BANtext#0,"""El Symbol art no puede ser guardado."""
BlockBurstIntoNG#0,"""No puedes unirte al grupo debido a los cambios en el estado de este grupo."""
TimeText#0,"""$(0):$(1):$(2)"""
NumItem#0,"""$(0) x$(1)"""
NumItem2#0,"""$(0) x$(1)"""
Bracket#0,"""($(0))"""
SquareBracket#0,"""[$(0)]"""
ErrorResetAmCoinWithoutWarning#0,"""No se pueden transferir Casino Coins porque superan el limite."""
Ranking#0,"""$(3) $(2) Ranking: $(1) $(0)"""
RankingVita#0,"""$(3) $(2) Ranking: $(1) $(0) Bloque compartido"""
VolcanoClearTime#0,"""Tiempo completado: $(0)"""
Contribution#0,"""Total de puntos obtenidos: $(0)<pict Target_CP>"""
SkipNaviKey#0,"""Usa la tecla <yellow>[Esc]<c> para saltar"""
SkipNaviButton#0,"""Utilizar el <yellow>botón <%AllWindowClose><c> para saltar"""
BoostLevelUp#0,"""El impulso vinculado a las misiones ha subido de nivel hasta $(0).<br>Nuevos efectos disponibles en las misiones potenciadas."""
PreviewZoom#0,""" (<c cfcfcf>Alternar la rotación/<c><yellow>Movimiento<c><c cfcfcf>: <%Exception><c>)"""
PreviewZoom_mouse#0,""" (<c cfcfcf>Alternar la rotación/<c><yellow>Movimiento<c><c cfcfcf>: <pict mouse_right><c>)"""
PreviewMove#0,""" (<c cfcfcf>Pulsar <c><yellow>Rotación<c><c cfcfcf>/Movimiento: <%Exception><c>)"""
PreviewMove_mouse#0,""" (<c cfcfcf>Pulsar <c><yellow>Rotación<c><c cfcfcf>/Movimiento: <pict mouse_right><c>)"""
ErrorMackQuest#0,"""No se puede iniciar porque los miembros del grupo no están en la misión"""
ErrorIgnoreQuest#0,"""La búsqueda no está disponible. Por favor, consulte el sitio de los jugadores para obtener más información."""
BlockType_01#0,"""PSO2 Block"""
BlockType_02#0,"""PSO2: NGS Block"""
Hyphen#0,"""‐"""
All#0,"""Todo"""
FreeSgScratch#0,"""El scratch SG gratuito de hoy está disponible.<br>¿Quieres cobrarlo?"""
BlockMoveFailure#0,"""Fallo en la transferencia de bloques"""
Non_Text#0,"""No hay visualización de texto"""
Menu_Main#0,"""Main Menu"""
Menu_Sub#0,"""Sub Menu"""
Menu_Money#0,"""AC/SG Money"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Weapon Camouflage"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>My Shop"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>World Map"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Message Pack"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Tasks"""
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>Mission Pass"""
Category_Item#0,"""Inventario"""
Category_Equip#0,"""Equipment/Palette"""
Category_SubPallet#0,"""Subpalette"""
Category_Task#0,"""Tasks/Quests"""
Category_WorldMap#0,"""Mundo"""
Category_LogOut#0,"""Logout"""
Category_Communication#0,"""Comunicación"""
Category_Personal#0,"""Personal"""
Category_Chat#0,"""Chat"""
Category_Info#0,"""Información"""
Category_System#0,"""Sistema"""
Category_Scratch#0,"""Draw Scratch"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>Tienda AC y SG<pict 4space><pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>Tienda SG<pict 4space><pict StarGem>"""
Category_MyShop#0,"""Mi Tienda"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Recycle Items"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>Purchase History/Expirations"""
Category_Shop#0,"""Shop"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Inventario"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Friend List"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>Party Commands"""
