Npc_7001001#0,"""Manon"""
Npc_7002001#0,"""Aina"""
Npc_7002002#0,"""Aina"""
Npc_7003001#0,"""Garoa"""
Npc_7004001#0,"""Crawford"""
Npc_7005001#0,"""Dozer"""
Npc_7006001#0,"""Ran"""
Npc_7007001#0,"""Liu Lin"""
Npc_7008001#0,"""Rossa"""
Npc_7009001#0,"""Oranje"""
Npc_7010001#0,"""ナーデレフ"""
Npc_7011001#0,"""タイヴァス"""
Npc_7012001#0,"""トゥーリ"""
Npc_7013001#0,"""イルマ"""
Npc_7014001#0,"""クッカ"""
Npc_7015001#0,"""メリ"""
Npc_7016001#0,"""グレン"""
Npc_7017001#0,"""ハーディ"""
Npc_7018001#0,"""ジャリル"""
Npc_7019001#0,"""モフセン"""
Npc_7020001#0,"""ムーラ"""
Npc_7021001#0,"""リッス"""
Npc_7022001#0,"""カヌイ"""
Npc_7023001#0,"""ノロシ"""
Npc_7195001#0,"""Slona"""
Npc_7196001#0,"""Da Chua"""
Npc_7197001#0,"""Shan Lei"""
Npc_7198001#0,"""Holloman"""
Npc_7199001#0,"""Guiden"""
Npc_7200001#0,"""Cartevei"""
Npc_7201001#0,"""Somua"""
Npc_7203001#0,"""Franmere"""
Npc_7204001#0,"""アプライザ"""
Npc_7205001#0,"""Lavona"""
Npc_7206001#0,"""Misha"""
Npc_7207001#0,"""Eutroy"""
Npc_7208001#0,"""Croche"""
Npc_7209001#0,"""Eterna"""
Npc_7210001#0,"""Travis"""
Npc_7211001#0,"""Xiandy"""
Npc_7213001#0,"""グライフ"""
Npc_7214001#0,"""ラフィカ"""
Npc_7215001#0,"""カタリナ"""
Npc_7216001#0,"""ウラガン"""
Npc_7217001#0,"""アルシオーネ"""
Npc_7218001#0,"""サエッタ"""
Npc_7220001#0,"""￥ソニック"""
Npc_7221001#0,"""￥テイルス"""
Npc_7222001#0,"""￥エミー"""
Npc_7223001#0,"""￥エッグマン"""
Npc_7400001#0,"""Deirdre"""
Npc_7417001#0,"""Excator"""
Npc_7418001#0,"""Berkman"""
Npc_7419001#0,"""Bono"""
Npc_7420001#0,"""ハンプデン"""
Npc_7421001#0,"""アリエテ"""
Npc_7422001#0,"""ダーナ"""
Npc_7423001#0,"""バフィン"""
Npc_7424001#0,"""リアメイ"""
Npc_7425001#0,"""ロナルディン"""
Npc_7602001#0,"""Barry"""
Npc_7604001#0,"""Agri"""
Npc_7605001#0,"""Izzy"""
Npc_7606001#0,"""Dali"""
Npc_7607001#0,"""AJ"""
Npc_7608001#0,"""Otto"""
Npc_7609001#0,"""Maurie"""
Npc_7610001#0,"""Wakes"""
Npc_7611001#0,"""Southerton"""
Npc_7612001#0,"""Northampton"""
Npc_7613001#0,"""Eastman"""
Npc_7617001#0,"""Raskina"""
Npc_7618001#0,"""Weston"""
Npc_7619001#0,"""Balme"""
Npc_7622001#0,"""Kensing"""
Npc_7623001#0,"""Noricimo"""
Npc_7632001#0,"""Lulu"""
Npc_7633001#0,"""Niko"""
Npc_7634001#0,"""Lolo"""
Npc_7635001#0,"""Sula"""
Npc_7636001#0,"""Vera"""
Npc_7637001#0,"""Juli"""
Npc_7638001#0,"""Ernest"""
Npc_7642001#0,"""Ral"""
Npc_7643001#0,"""Regis"""
Npc_7645001#0,"""Rudy"""
Npc_7646001#0,"""Vil"""
Npc_7648001#0,"""Figne"""
Npc_7649001#0,"""Bosy"""
Npc_7653001#0,"""Matilda"""
Npc_7654001#0,"""Communa"""
Npc_7655001#0,"""Wesley"""
Npc_7656001#0,"""Segreto"""
Npc_7657001#0,"""Adilla"""
Npc_7658001#0,"""Radmag"""
Npc_7660001#0,"""Staggy"""
Npc_7661001#0,"""Versinia"""
Npc_7662001#0,"""Dontre"""
Npc_7663001#0,"""Sharkey"""
Npc_7664001#0,"""Hornian"""
Npc_7667001#0,"""Nesca"""
Npc_7687001#0,"""Trace"""
Npc_7688001#0,"""Dimenterna"""
Npc_7690001#0,"""ニムロード"""
Npc_7693001#0,"""イリーダ"""
Npc_7694001#0,"""ライサンダー"""
Npc_7695001#0,"""ツカーノ"""
Npc_7696001#0,"""ムリーヤ"""
Npc_7700001#0,"""シェリダン"""
Npc_7702001#0,"""チコーニャ"""
Npc_7705001#0,"""リンチェ"""
Npc_7707001#0,"""マーリン"""
Npc_7708001#0,"""食事中カップル男"""
Npc_7709001#0,"""食事中カップル女"""
Npc_7710001#0,"""ルスラン"""
Npc_7711001#0,"""ロアーラ"""
Npc_7712001#0,"""ゲパルト"""
Npc_7713001#0,"""ラスタ"""
Npc_7714001#0,"""グラート"""
Npc_7717001#0,"""ビバリー"""
Npc_7718001#0,"""ウォーラス"""
Npc_7719001#0,"""ラーテル"""
Npc_7720001#0,"""ルーイカット"""
Npc_7903001#0,"""Daruge"""
Npc_7904001#0,"""Da Chua"""
Npc_7905001#0,"""Shamal"""
Npc_7906001#0,"""Shan Lei"""
Npc_7907001#0,"""Hosanna"""
Npc_7908001#0,"""Holloman"""
Npc_7991001#0,"""Kuro"""
Npc_7992001#0,"""Shiro"""
Npc_7993001#0,"""Npc_7993001"""
Npc_7994001#0,"""Npc_7994001"""
Npc_7995001#0,"""Npc_7995001"""
Npc_ArksTrainer#0,"""ARKS Instructor"""
Npc_CounterQuest1#0,"""Historiador de ARKS"""
Npc_CounterSalon1#0,"""Salon Staff"""
Npc_CounterLab1#0,"""Item Lab Enhancement Technician"""
Npc_ClassCounter#0,"""Class Counter Admin"""
Npc_EmergencyCounter#0,"""Npc_EmergencyCounter"""
Npc_KitchenPolice#0,"""Personal del puesto de comida"""
Npc_Appraiser#0,"""Item Lab Appraiser"""
Npc_MyShop#0,"""Personal de la tienda de"""
Npc_ItemShop#0,"""Personal de la tienda de artículos"""
Npc_RecycleShop#0,"""Item Trader"""
Npc_Restaurant#0,"""Asistente de área de descanso"""
Npc_MineralResearcher#0,"""ARKS Mineralogista"""
Npc_Communication#0,"""Soporte de información de ARKS"""
Npc_WeatherResearcher#0,"""Meteorólogo de ARKS"""
Npc_Telegraphist#0,"""Oficial de comunicaciones de ARKS"""
Npc_SeniorTelegraphist#0,"""Jefe de Comunicación de ARKS"""
Npc_MagEngineer#0,"""Ingeniero mecánico de ARKS"""
Npc_MeleeInstructor#0,"""Instructor de combate ARKS"""
Npc_MeleeInstructor2#0,"""Instructor Fighter"""
Npc_RangeInstructor#0,"""Instructor de ARKS a distancia"""
